Christianize,Christianise	…をキリスト教化する,キリスト教徒にする
Congregationalism	組合教会主義(各教会が自治運営されるべきだという主義)
Congregationalist	組合教会主義者 / 組合教会主義の
Congressional	(小選挙区制の)下院議員選挙区
Conn.	Connecticut
Connecticut	コネチカット州(米国北東部の州;州都はHartford;《略》Conn.,CT,Ct.)
Conrail	コンレイル(1976年に設けられたアメリカの鉄道公社の鉄道網;the Consolidated Rail Corporationの短縮形)
Cons.	Constable / Consul
Conservative and Unionist Party	(英国の)保守党
Const.	Constable / Constitution
Constantinople	コンスタンティノープル(イスタンブールの旧名)
Continental Congress	大陸会議(1789年まで存続したアメリカ独立戦争中およびその直後のアメリカ議会)
Continental drift	大陸移動説(大陸が南球の表面をゆっくり移動するという説)
Copenhagen	コペンハーゲン(デンマークの首都)
Copernican	コペルニクスの;コペルニクス[の説]のような
Copernican system	コペルニクスの地動説
Copernicus	コペルニクス(『Nikolaus』Copernicus;1473‐1543;地動説を唱えたポーランドの天文学者)
Copt	コプト人(古エジプト人の子孫) / コプト教徒(Coptic Churchの信者)
Coptic	コプト教会の,コプト語の
Coptic Church	コプト教会(エジプトおよびもとエチオピアのキリスト教派)
Cor.	Coroner
Corinth	コリント(古代ギリシアの都市)
Corinthian	コリントの,コリント人のような / (建築様式で)コリント式の / コリント人 / 《複数形で》《単数扱い》(新約聖書の)「コリント人への手紙」
Cornish	コーンウォール地方の;コーンウォール語の
Cornwall	コーンウォール州(英国イングランド南西端の州)
Corsica	コルシカ島(地中海にあるフランス領の島)
Cossack	コサック人(ウクライナとロシア南部に住む)
Costa Rica	コスタリカ(中央アメリカの共和国;首都はSan Jose)
Court of Session	(スコットランドの)最高民事裁判所
Coventry	コベントリー(英国Warwickshire州北東部の都市)
Cr	chromiumの化学記号
Cree	〈C〉〈U〉クリー族[の人](カナダに住むアメリカインディアンの一族) / 〈U〉クリー語
Creek	〈C〉〈U〉クリーク族[の人](Alabama州やGeorgia州に住むアメリカインディアンの一族) / 〈U〉クリーク語
Creole	〈C〉クリオール人(西インド諸島・南米などに移民した白人の子孫) / 〈C〉《米》(Louisiana州などに移住した)フランス系移民の子孫 / 〈U〉クリオール語(フランス系移民の子孫が話すフランス語) / クリオール人の;クリオール語の
Cretaceous	白亜紀[系](中生代に属し,巨大爬虫(はちゅう)類の消滅と昆虫の出現が特徴) / 白亜紀[系]の
Cretan	クレタ島[人]の / クレタ人
Crete	クレタ島(ギリシア東部の島)
