caique	地中海東部で用いる小舟
calculative	計算の / 打算的な;慎重な,抜け目のない
calculator	計算者 / 計算器機(=calculating machine)
calculous	(腎臓内などにできる)結石の
calculus	〈C〉(腎臓内などにできる)結石 / 〈U〉微積分学
caldera	カルデラ(火山の中央部の大きな盆地状のくぼみ)
caldron, cauldron	大がま,大なべ
calendar	〈C〉『暦』,カレンダー / 〈U〉暦法 / 〈C〉年中行事表;訴訟事件表,議事日程表
calendar month	=month1
calendar year	暦年(1月1日から12月31日までの1年)
calender	カレンダ(紙・布などをローラーでつや出しする機械) / 〈紙・布など〉をカレンダにかける
calends	(古代ローマ暦の)月の第1日目
calendula	キンセンカ(キク科の一,二年草)
calf	〈C〉『子牛』 / 〈C〉(象・鯨・アザラシ・鹿などの)幼獣 / 〈U〉=calfskin / ふくらはぎ
calf love	(少年・少女の)幼い恋
calfskin	子牛の皮 / カーフ(子牛のなめし皮)
caliber, calibre	〈U〉〈C〉(円筒・管などの)内径 / 〈U〉〈C〉(砲身・銃身の)口径;(弾丸の)直径(《略》cal.) / 〈U〉器量,資質
calibrate	〈計器〉に目盛りをつける;…の目盛りを決める / 〈管など〉の内径を決める
calibration	目盛り修正 / 口径測定
calibre	=caliber
calico	《米》更紗(さらさ)(細かな,通常明るい色の模様を染めた綿布) / 《英》キャラコ(白の綿布) / 更紗の;キャラコの / まだらの,ぶちの
calif	=caliph
califate	=caliphate
californium	カリフォルニウム(人工放射性金属元素;化学記号は『Cf』)
calipers	カリバー(円筒の直径・内径などを測る器具)
caliph	カリフ(もと,イスラム教教主兼国王としてのマホメットの後継者たちに与えられた称号)
caliphate	カリフ(caliph)の地位(統治[する国])
calisthenic	美容体操の
calisthenics	《複数扱い》美容体操 柔軟体操 / 《単数扱い》美容体操をすること
calk	=caulk / (てい鉄の)すべり止め突起 / (くつのつま先やかかとの裏の)すべり止めのびょう / …にすべり止めのびょうをつける
call	…を『呼ぶ』;〈名簿・リスト〉を読み上げる / …を『呼び寄せる』 呼び集める;〈眠っている人〉を呼び起こす / …を命令する 命じる / 〈会〉を召集する 〈人〉に『電話をかける』 〈人〉を名づける,称する 《『call』+『名』+『名』(形)〈補〉》(…であると)…を思う 考える 〈試合〉を中止する;〈審判が〉…に判定を下す,宣告する 『呼びかける』 叫ぶ (…を)『ちょっと訪れる』 (…に)立ち寄る 〈汽車・船などが〉(…に)停車する 停船する《+『on』+『名』〈人〉,+『at』+『名』〈場所〉》 〈C〉『呼び声』 叫び(cry, shout);(鳥・動物の)鳴き声,さえずり 〈C〉(らっぱ・たいこなどによる)呼びかけ 合図 〈C〉点呼,出席調べ(=roll call) 〈C〉『電話をかけること』,通話;(かかってきた)電話 〈C〉(…への)(短時間の)『訪問』,立ち寄り;(船の)寄港;(駅への)停車《+『on』+『名』〈人〉,+『at』+『名』〈場所〉》 〈C〉(…への)召集,招き;呼びかけ 要請《+『for』(『to』)+『名』》 〈C〉(…に対する)天職,使命《+『to』+『名』》 〈U〉魅力,ひきつけるもの(appeal, fascination) 〈U〉必要性,正当な理由 〈C〉(…に対する)需要 要求 要望《+『for』(『on』)+『名』》
call collect	料金を受信人払いで電話をかける
call girl	コールガール(電話で呼び出せる売春婦)
call letters	(無線局などの)呼び出し符号
call loan	コールローン(主として銀行間の要求払短期貸付金)
call number	(図書館で用いられる,図書の)請求番号
call sign	=call letters
call up	(米軍の)召集令状
call-in	(テレビ・ラジオで)電話による視聴者参加番組(《英》phone-in)
calla	オランダカイウ(ユリ科の植物)
callback	(電話の)折り返し電話 / (演劇・オーディションなどの)再招集,再審査の呼び出し / (プログラミング)コールバック関数
callboard	楽屋掲示板(劇場でリハーサルの日程などを示す)
callbox	公衆電話ボックス
callboy	(俳優の出番を告げる)呼び出し係
caller	訪問客,来訪者 呼ぶ人(物) (スクエアダンスで)ステップを大声で指示する人
calligraphy	能筆,能書 / 筆跡,運筆 / 書道
calling	〈U〉呼ぶこと,叫ぶこと / 〈U〉《文》天職,職業 / (天職に対する)強い義務感,使命感《+『for』+『名』》;(…にしたい)強い義務感《+『to』do》
calling card	名刺(《英》visiting card)
calliope	〈C〉カリオペー(1組の汽笛から成る楽器;サーカスでよく使われる) / 《C-》カリオペ(ギリシア神話のMuseの一人で雄弁・英雄詩をつかさどる神)
callipers	=calipers
callisthenics	=calisthenics
callosity	皮膚硬結,たこ
callous	(皮膚が)堅い / 冷淡な,無感覚の / 堅くなる;無感覚になる / …を堅くする;…を無感覚にする
callow	(ひなが)羽毛がはえていない / うぶな,未熟な
callus	皮膚硬結,たこ / (植物体が傷を受けたときにできる)仮皮
calm	(海・湖などが)『穏やかな』,静かな;(天候などが)穏やかな / (心・態度などが)『平静な』,落ち着いた(composed) / を『なだめる』,静かにさせる / 〈U〉〈C〉『静けさ』,平穏;無風,凪(なぎ) / 〈U〉平静,落ち着き,沈着
calmly	『静かに』,落ち着いて
calmness	平静さ;落ち着き
calomel	塩化第一水銀(下剤・殺菌剤用の白色の粉末)
calorgas	ブタンガスの商標名
caloric	熱の,カロリーの
calorie	(また『small calorie』)グラムカロリー(物理・化学で用いる熱量の単位で,1グラムの水の温度を1℃高めるのに必要な熱量) / (また『large calorie』)キロカロリー(生物などで用いる熱量の単位で,1キログラムの水の温度を1℃高めるのに必要な熱量) / カロリー(生物の熱消費量,食品の燃焼熱) / 1カロリーのエネルギーを生じる食物量
calorific	熱の,熱を生じる
calorimeter	熱量計
calumet	カルメット(北米インディアンが和解の印としてタバコを回し吸いする長い飾りパイプ)
