connotation	言外の意味 / (論理学で)内包
consistory	(キリスト教各派の)教会会議;(カトリックの)枢機卿会議 / 宗教会議場
consolation	〈C〉慰め,慰安 / 〈C〉慰めとなるもの(人)
consolation prize	残念賞
consolatory	慰めの,慰問の
console	(…で)〈人・自分〉を『慰める』,元気づける《+『名』+『with』+『名』》 / コンソール型(ポータブル・卓上型のステレオ・テレビなどに対して床の上に置く大型キャビネット) / (パイプオルガンの)演奏台(鍵盤・ペダルを含む) / コンソール(上部の重量を支える渦(うず)形の受け材)
consolidate	〈組織など〉を固める,〈地位・勢力・知識など〉を強化する / …を一つにする,を合わせて(…に)する《+『名』+『into』+『名』》
consolidation	強化 / 合併,合体
consomme,consommé	コンソメ(肉と野菜からとった澄ましスープ;)
consonance	〈U〉〈C〉(二つの音の)調和;協和音 / 〈U〉(趣味・意味などの)一致,調和 / 〈U〉(音の)共鳴
consonant	子音 / 《文》(…と)調和する,一致する《+『with』(『to』)+『名』》
consonantal	子音の,子音の特徴のある
consort	(特に王,女王などの)配偶者 / 僚船,僚艦 / (特に悪に人と)つき合う,交わる / 〈物事が〉(…と)一致する,調和する(受動態にできない) / 古い音楽を演奏する楽器の編成
consortium	(共通の事業のための)資本連合,企業連合
conspectus	概観,概説 / 要約,摘要
conspicuous	『はっきり見える』,人目を引く,目につきやすい
conspicuous consumption	社会的地位を誇示するためのぜいたく(浪費)
conspiracy	陰謀,たくらみ;陰謀団
conspirator	共謀者,陰謀者
conspire	陰謀をたくらむ,共謀する / 《『conspire to』 do》〈物事が〉重なり合って(…)する / 〈悪事〉をたくらむ,企てる
const.	constable / constant / constitution / constitutional
constable	治安関係の公務員 / 《英》巡査,警官
constabulary	(一管区の)警察隊,保安隊; (単複両扱い) 警官隊(の), 警察(の)
constancy	不変,安定 / 忠実,貞節
constant	『不変の』,一定の / 『絶え間のない』,不断の,繰り返される / 《文》〈人が〉心変わりしない;(…に対して)誠実な,貞節な《+『to』+『名』》 / (数学で)常数;(化学・物理分析などにおける)定量
constantly	『絶えず』,しきりに / (規則的に)しばしば,たびたび
constellation	〈C〉星座;星位 / 〈C〉(名士・美女などの)きら星のように並んだ集まり《+『of』+『名』》
consternation	肝をつぶすような驚き,びっくり仰天
constipate	〈人〉を便秘させる
constipation	便秘
constituency	〈C〉選挙区;〈U〉《集合的に》選挙民 / 〈U〉《集合的に》支持者
constituent	(またconstitutive)(ある物の)構成要素の / 選挙権(指名権)のある,憲法制定(改正)権のある / (ある物質の)成分,[構成]要素 / 選挙有権者,選挙人
constituent assembly	憲法改正(制定)国民議会
constitute	《しばしば受動態で》〈物〉を『構成する』,〈人の本質・体質〉を作っている(進行形にできない) / 《『constitute』+『名』〈目〉+『名』〈補〉》〈人〉を(役目・職務などに)『任命する』,選定する / 〈制度など〉を『制定する』,〈機関など〉を設立する
constitution	〈U〉(物の)『構成』,構造《+『of』+『名』》 / 〈C〉〈U〉『体格』,体質,性質,気質 / 〈C〉政体 / 〈C〉『憲法』,国憲 / 《the C-》合衆国憲法 / 〈U〉(制度などの)制定;(機関などの)設立
constitutional	体質の,生まれつきの;構成上の / 憲法の,立憲の / 《話》健康のための散歩
constitutionalism	立憲主義
constitutionality	合憲性,立憲性
constitutive	(哲学) 論理的構成要素 / =constituent
constrain	《『constrain』+『名』+『to』 do》 / 〈人〉を押さえつけて動けないようにする,〈怒りなど〉を抑えつける
constrained	強制された / (態度・表情・声などが)不自然な,無理な
