cleanness	清潔 / 潔白;清浄
clickety-click	カタカタ(カタコト)という音
client	[『弁護』]『依頼人』,訴訟依頼人 / (商売上の)おとくい(customer)
client state	大国に依存している国
clientele	〈C〉常連客 / 顧客層
cliff	(海に臨む)『がけ』,絶壁
cliff dweller	岩くつ居住者 / 《俗》高層アパートの住人
cliffhanger, cliffhanger	(映画・テレビなどの)連続冒険物 / 未決着ではらはらさせる問題
climacteric	肉体の転換期;厄(やく)年 / 更年期
climactic	最高潮の
climate	〈U〉『気候』 / 〈C〉(ある特定の気候をもっている)地方,風土 / 〈U〉(地域,時代の)傾向,風潮
climatic	気候の;風土の
climatically	気候上;風土的に
climatology	気候学
climax	〈C〉(物語・劇・行事などの)『細高潮』[『部』];(一般的に)絶頂[部] / 〈U〉漸層法(しだいに文勢を強調して最高潮に達する修辞法) / 絶頂に達する / …を絶頂に到達させる
climb	…を『よじ登る』,登る《+『up』+『名』,+『名』+『up』》 / (…に)『よじ登る』,登る《+[『up』]『to』+『名』》 / 《副詞[句]を伴って》はうように進む / 『上がっている』,上昇する《+『up』》 / 〈つるなどが棒・壁などを〉つたい登る《+『up』+『名』》 / 『よじ登ること』,登り;登る所
climb-down	(物事を解決するための)譲歩,撤回
climber	よじ登る人,登山者 / はい登り植物(ツタなど);(キツツキなど)樹幹をよじ登る鳥 / 《複数形で》登攀(とうはん)補助用具(climbing ironsなど)
climbing	登る,はい登る / 登ること,登山
climbing irons	=crampon2
clime	clmate1,2
clinch	〈打ち込んだくぎなどの突出部〉を折り曲げる,つぶす,(くぎなどで)…を固定させる,くっつける / 《話》〈議論など〉に決着をつける;〈取引きなど〉を最終決定する / (ボクシングなどで)…と組み合う,クリンチする / (ボクシングなどで)組み合う,クリンチする / (拳闘などの)組み合い,クリンチ
clincher	くぎを留める人 / 締め具,くぎの先を曲げる道具 / 《話》決定的なとどめ,決め手
cline	(生物の)連続変異(変差)
cling	『くっつく』,くっついて離れない;(…に)くっつく《+『to』+『名』》 / (…を)つたって進む《+『to』+『名』》 / (…に)『執着する』,固執する《+『to』+『名』(a person's do『ing』)》
clinging	(衣服を)体にぴったりついている / 人に頼り過ぎる
clingy	=clinging
clinic	〈U〉(医学の)臨床講義 / 〈C〉《集合的に》臨床講義のクラス / 〈C〉臨床講義室 / 〈C〉(病院・医科大学・社会事業団などに付属した)診療所;《形容詞を判って》医療施設,病院 / 〈C〉(警察・学校・社会事業団などに付属した)相談所
clinical	臨床の,臨床講義の / 病床の / 臨床的な,客観的な態度の
clinical thermometer	体温計
clinician	臨床医
clink	(硬貨・グラスなどの)チン(チリン,カチン,カラン)という音 / チン(チリン)と鳴る,カチンという音が出る / …をチン(チリン,カチン)と鳴らす / 留置場,刑務所
clinker	〈U〉〈C〉硬質れんが / 〈U〉〈C〉(溶鉱炉の中の)金くそ,(セメントのもとになる)焼塊 / 〈C〉《俗》失敗作
clinker-built	(船が)よろい張りの
clinkety-clank	=clickety-click
clinometer	測斜器,傾斜計
clip	『紙ばさみ』,クリップ;留める物 / (機関銃の)挿弾子(そうだんし)、弾倉(だんそう) …を『はさむ』,はさんで留める / (はさんで)…を『切る』,切り取る / 〈羊毛・頭髪・庭木・芝など〉を刈り込む;〈ヒツジ・ウサギなど〉の毛を刈る / …を短くする,切りつめる / 《話》…をバチンとひっぱたく / 切る;刈り込む / 《話》す早く進む,すっ飛ばす / (頭髪・羊毛などを)刈り込むこと,切り取ること;刈られた物,刈り取った羊毛 / 《複数形で》刈り込みばさみ / 《話》鋭い一撃 / 《話》速度 / 《米話》1回,1度
clip-on	クリップで留められる
clipboard	クリップボード(書類をはさむ長方形の堅い板)
clipped word	短縮語,省略語
clipper	《複数形で》はさみ,バリカン / (昔の)快速大型帆船,大型旅客機
clippie	(バスの)女車掌
clipping	切り取ること,刈り込み;刈り取った毛 / 《しばしば複数形で》(新聞などの)切り抜き(《英》cutting)
clipsheet	〈C〉切り抜き台紙 / クリップシート(資料整理用)
clique	徒党,閥
cliquey	=cliquish
cliquish	排他的な,徒党を組む
clitoris	クリトリス(女性器の陰核)
clk.	clerk / clock
cloaca	(鳥類,爬(は)虫類,両生類などの) 排出腔{はいしゅつ くう}、下水道{げすいどう}
cloak	『そでなし外とう』,マント / 口実,仮面 / …に外とうを着せる / …をおおい隠す,装う
cloak-and-dagger	スパイの[ような]
cloakroom	(また『checkroom, coatroom』)(ホテル・劇場などの)外とう・携帯品預り所 / (また『checkroom』)(駅の)手荷物一時預り所 / 《米》議員控え室 / 《英》《遠回しに》便所
clobber	…をひどくぶんなぐる / …をこっぴどくやっつける / 所持品 / 衣服
cloche	(苗・若芽を保護する)つり鐘形(屋根形)のガラスおおい / つり鐘形の婦人帽
clock	『時計』 / (時計・ストップウォッチなどで)…の時間を計る;〈ある時間〉を計る / 靴下(ストッキング)の横につけた刺しゅう飾り
