cottonwood	(種子に房状の綿毛のついた)米国産ポプラ
count	(一つ一つ順に)〈数〉を『数える』,〈物〉を数え上げる《+『up』+『名,』+『名』+『up』》 / …を『勘定に入れる』,含める(include) / …を『思う』,みなす(consider) / 数を数える,計算する《+『up』》 / 数にはいる,数に含まれる / 価値がある,重大である / 〈C〉〈U〉『数えること』,『計算』 / 〈U〉総数,総計 / 〈U〉(起訴状の)訴因 / 《the~》(ボクシングで)カウント(選手がノックダウンされたときレフリーが1から10まで数えること) / 〈C〉(野球で打者の)ボールカウント / 〈U〉《話》考慮,注目(account) / (英国以外の)伯爵
count noun	可算名詞
countable	数えられる / 数えられるもの / 可算名詞
countdown	(ロケット発射時などの)秒読み
countenance	〈C〉『顔つき』,顔色,表情 / 〈U〉〈C〉『落ち着き』,冷静,沈着(composure) / 〈U〉(精神的な)支持,援助,激励 / 〈物事〉に暗に賛成する,を大目に見る
counter	(商店・銀行などの)『売り台』,勘定台,カウンター / (食堂などに)『カウンター』 / (おもちゃの)模造貨幣 / 計算する人 / (特に電動式の)計算器,計数器 / (ゲームの得点計算用)数取り,点棒 / 『反対の』,逆の(opposite) / (一対の)片方の,副の / (…と)反対に,逆に《+『to』+『名』》 / …に『逆らう』,立ち向かう / …を無効にする / (ボクシングなどで)〈打撃〉を返す,に反撃する / (ボクシングなどで)打ち返す / 『逆』,反対,対立物 / (フェンシングの)受け流し / (ボクシングなどで)打ち返し,カウンター / (靴の)かかとの皮
counteract	…の影響(力)を弱める / 〈薬・毒など〉を中和する,〈効力〉を消す
counteraction	反作用 / (計画などの)阻止 / (薬の)中和作用
counterattack	〈敵〉に反撃する / 逆襲する
counterattraction	反対引力,対抗引力,対抗的な魅力
counterbalance	釣合いおもり / (他と)釣り合う力,平衡力 / (また『counterpoise』)…に釣り合わせる / 〈不足〉を埋め合わせる,補う / 〈効力〉を消す
counterblast	《おもに新聞用語》強硬な抗議(反撃)
counterclaim	反対要求,(特に)反訴
counterclockwise	時計と反対回りの,左回りの(《英》anticlockwise) / 時計と反対回りに,左回りに
counterculture	(既成社会に反抗する)反体制文化
counterespionage	(敵のスパイ活動に対する)対抗スパイ活動
counterfeit	〈貨幣など〉を偽造する / …のふりをする,…をまねる,に似せる / にせ物,模造品,偽作 / 模造の,偽造の / 見せかけの,偽りの
counterfeiter	にせ金造り;偽作者
counterfoil	小切手(為替の)控え
counterinsurgency	対ゲリラ作戦(活動)
counterintelligence	対敵情報活動,スパイ防止活動
counterirritant	反対刺激剤(痛みを抑えるために皮膚に軽い刺激を与える薬剤)
counterman	(食堂などで)カウンターの内側から客に給仕する人
countermand	〈命令・注文など〉を取り消す / (命令・注文などの)取消し
countermarch	〈兵隊が〉背面行進する / 背面行進
countermeasure	対応策,報復手段
counteroffensive	反攻,反撃
counterpane	(装飾的な)ベッドカバー(bedspread)
counterpart	(正副2通のうちの)1通,副本,写し / 対応する物(人);よく似た物(人)
counterpoint	対位法(独立した二つ以上の施律を一つに組み合わせる作曲法)
counterpoise	〈C〉釣合い, 安定; =counterbalance{名}
counterproductive	意図に反した結果を招く
counterrevolution	反革命
counterrevolutionary	反革命主義者 / 反革命的な,反革命[主義]の
countersign	(特に戦場で歩哨・斥候などの)合い言葉,応答信号 / 副署(他の人の文書に確認のためにする署名) / …に連署(副署)する
countersink	(ねじなどの頭を埋めるために)…にさら穴をあける;〈ねじなどの頭〉をさら穴に埋める / (さら穴をあける)さらぎり / さら穴
counterspy	逆スパイ(敵のスパイを逆に探るスパイ)
countertenor	〈C〉カウンターテナー(テナーより高い男声の最高音域) / 〈C〉カウンターテナー歌手
countervail	…に匹敵する,同等の力で対抗する
counterweight	釣合いおもり
countess	伯爵夫人(countの夫人,英国ではearlの夫人) / 女性の伯爵
counting frame	=abacus
counting house	(昔の)会計事務所,会計課
counting number	(0を除いた)正の整数
countless	数えきれないほどの無数の(innumerable)
countrified	(人が)いなかじみた,やぼな / (けしきなどが)ひなびた
country	〈C〉『国,国家』,国土 / 《the ~》《集合的に;単数扱い》『国民』(nation) / 〈C〉《one's ~,this ~》『祖国』,故国,母国 / 〈U〉《通例冠詞をつけないで》(地勢から見た)『土地,地方』,地域 / 《the ~》いなか,田園地方,郊外 / いなかの,粗野な,やぼったい
country and western	カントリーアンドウエスタン(米国西部・南部の民俗音楽)
country club	カントリークラブ(ゴルフやテニスなどの設備を持つ郊外のクラブ)
country cousin	おのぼりさん
country dance	列または円になって向かい合って踊る英国の民俗舞踊
country folk	いなかの人たち
country music	カントリーミュージック(米国南部起源の民俗音楽;またその特徴を生かした音楽)
country party	農民党
countryman	《one's ~》同国人 / いなか者
countryseat	(貴族・名士の)いなかの大邸宅
countryside	『いなか』,地方,田園 / 《集合的に》地方の住民
county	《英》『州』 / 《米》『郡』 / 州民,郡民
county borough	(英国の1973年までの)州都市,特別市(州と同格の大都市)
county council	(英国の)州会
county court	(英国の)州裁判所(おもに金銭問題に関する民事裁判を扱う) / (米国の)郡裁判所(民事・刑事裁判を扱う)
county fair	郡農産物品評会・郡共進会(郡内の同一地で毎年開かれる農産物・家畜の品評会)
county seat	郡役所の所在地 郡の首都
county town	《米》=county seat / 《英》州都,州庁所在地
coup	不意に一撃 / 大当たり,大成功 / =coup d'état
coup d'etat,coup d'état	クーデター(武力で反対派を弾圧して国家の権力を握ること)
coup de grâce	(瀕死の人間・動物の苦しみを取り除く)情けの一撃 / とどめの一撃,決定的打撃
coupe	=coupé / (御者台が外についている)屋根つき二人乗り四輪馬車
couple	(同種類の物が)『2個』《+『of』+『名』》 / 『夫婦』,男女一組 / 《話》(…の)いくらか,少数《+『of』+『名』》 / …を『つなぎ合わせる』;(…に)…を連結する《+『名』+『to』(『with』)+『名』》 / …を(…と)関連づける《+『名』+『with』(『to』)+『名』》 / …を結婚させる,〈動物〉をつがわせる / 〈動物〉交尾する
coupler	(車両の)連結器
couplet	(詩の)2行連句,対句(脚韻を踏み同数の音節から成る2行)
coupling	〈U〉連結,結合 / =coupler / 〈U〉(電気回路の)結合
coupon	クーポン(切り取って使う切符) / (広告・商品につく)景品引き換え券,優待券 / (公債の)利札(りふだ)
coupé	クーペ型自動車(2‐6人乗りの二つドア自動車)
