communication satellite	通信衛星(《略》comsat)
compare	〈二つのもの〉を『比較する』,比べる;〈一つのもの〉を(他のものと)『比べる』《+『名』(do『ing』)+『with』(『to』)+『名』(do『ing』)》 / (…に)…を『たとえる』《+『名』+『to』+『名』》 / 〈形容詞・副詞〉の比較変化形を作る / (…と)比較される;匹敵する《+『with』(『to』)+『名』》
comparison	(…と…との)『比較』《+『of』+『名』+『with』(『to』)+『名』》;(…間の)比較《+『between』+『名』》 / (…を…に)たえること《+『of』+『名』+『with』(『to』)+『名』》 / (形容詞・副詞の)比較変化
compartment	区画,仕切り / (客車の)個室;(船の)隔室
compartmentalize,compartmentalise	…を区分する,仕切る
compass	〈C〉『羅針盤』 / 《通例複数形で》(円を描く)『コンパス』 / 周囲;(…の)範囲,限界《+『of』+『名』》 / …を取り囲む / …をぐるりと回る / 〈目的など〉を達成する / …を理解する
compass card	羅針盤の指針面
compass point	=cardinal point
compassion	(…に対する)あわれみ,深い同情(sympathy)《+『on』(『for』)+『名』》
compassionate	あわれみ深い,情け深い
compassionate leave	(仕事・軍隊の)特別休暇
compatibility	一致性,適合性,両立性
compatible	(…と)両立できる,矛盾のない《+『with』+『名』》
compatriot	同国人,同胞の
compeer	(階級・能力などが)同等な人 / 仲間,同僚
compel	《『compel』+『名』+『to』 do》(…するように)〈人〉に『しいる』 / (人に)…を『強要する』《+『名』+『from』+『名』〈人〉》
compellingly	強制的に,やむにやまれず
compendious	簡潔な,簡明な
compendium	大要,要約;概論
compensate	(…に対して)〈人〉に『補償する』《+『名』+『for』+『名』》 / 〈損失など〉を『償う』 / 《米》…に報酬(給与)を支払う / (損失などを)『償う』《+『for』+『名』》
compensation	〈U〉〈C〉(…の)『償い』,代償,埋め合わせ《+『for』+『名』》 / 〈C〉〈U〉(…の)『賠償金』,補償金《+『for』+『名』》 / 〈U〉《米》報酬,給与
compensatory	賠償の,償いの
compere	(ラジオ・テレビなどの)司会者
compete	(…と…を)『競う』,競争する《+『with』+『名』+『for』+『名』》 / 《通例否定文で》(…に)『匹敵する』《+『with』+『名』》
competence	〈U〉能力,適性,力量 / 〈U〉(法律上の)権限,権能 / 《まれ》《a~》相当の資産
competency	=competence
competent	『有能な』,能力ある;適任の / (要求を満たすのに)十分な,満足できる / (役所・役人・証人などが)権限(資格)を持つ
competition	〈U〉〈C〉(…との…の)『競争』《+『with』+『名』+『for』+『名』》 / 〈C〉試合
competitive	競争の,競争による
competitor	競争者,競争相手
compilation	編集;〈C〉編集した物
compile	〈資料など〉をまとめる / 〈辞書など〉を編集する
compiler	編集者
complacence	=complacency
complacency	自己満足,安心
complacent	自己満足した,ひとりよがりの
complain	(人に…について)『不平を言う』,泣きごとを言う,訴える
complainant	=plaintiff
complainer	不平家,苦情を言う人
complaint	〈U〉(…についての)『不平』,苦情,泣きごと,ぐち《+『about』+『名』》 / 〈C〉(…についての)不平の種《+『about』+『名』》 / 〈C〉病気 / 〈C〉(…に対する)告訴,告発《+『against』+『名』》
complaisance	人を喜ばそうとする気持ち;愛想のよさ
complaisant	愛想のよい,いんぎんな
compleat	=complete
complected	=complexioned
complement	(あるものを完全にするため)(…を)補う物(事)《+『of』+『名』》 / 補語(文法で文の成分の一つ) / (必要な)全数,全量;(船の)定員 / …を補足する,補う
complementary	補足的な,補充する
complementary angle	余角,補角(二つの角の和が直角のときその一方の角)
complementary colors	補色,余色
complete	(比較変化なし)『全部の』,完備した / 《名詞の前にのみ用いて》『完全な』,全くの / (比較変化なし)『完成した』,完結した / …を『仕上げる』,終える / …を完全なものにする,完成する
completely	『完全に』,全く,十分に
completeness	完全,十分
completion	完成,成就;完了,修了
complex	『いくつかの部分から成る』,複合の,合成の / 『複雑な』,入りくんだ,こみいった(complicated) / 複合体,合成物 / コンプレックス,複合(抑圧されて心に残った複雑なしこり)
complex fraction	繁分数,複分数・重分数(分数の中に分数がある数)
complex number	複素数
complex sentence	複文(従属節を含む文)
complexion	顔のつや・顔色,血色,顔の色つや; 顔の肌・ (事態の)外観,様子;様相,形勢
complexioned	「顔色(肌の色)が…の」の意を表す
complexity	『複雑さ』,〈C〉複雑なもの
compliance	(要求・命令などへの)承諾,応諾 / 服従,盲従
compliancy	=compliance
compliant	従順な,素直な
complicate	…を複雑にする
complicated	『複雑な』,込み入った(complex)
