canna	カンナ(熱帯植物)
cantaloupe,cantaloup	カンタループメロン(マスクメロンmuskmelonの一種)
cantankerous	つむじ曲がりの,けんか腰の
cantata	カンタータ,交声曲(器楽伴奏つきの,特に宗教的な独唱,合唱団)
canteen	酒保(=post exchange)(兵営内で雑貨・食料などを売る店) / (兵士の)水筒 / (一般工場内の)売店
canter	(馬の)[普通]駆け足,だく足(gallopとtrotの中間;馬の速度にはwalk,amble,trot,canter,gallopの5種類があり,この順序に速さを増す) / [普通]駆け足で駆ける / …を[普通]駆け足て駆けさせる
cantharides	cantharisの複数形
cantharis	=Spanish fly
canthus	目の両端(目がしら及び目尻)
canticle	(聖書の文句からとった)聖歌 / 《the Canticles》(聖書の)雅歌,ソロモンの歌
cantilever	片持ち梁(ばり),張出し梁
cantle	(乗馬用の)くらの後弓
canto	長詩の大きな一区分(散文のchapterにあたる)
canton	(スイスの)州,県
cantonment	(軍隊の)宿営[地]
cantor	聖歌隊長
canvas	〈U〉『ズック』,帆布 / 〈U〉『カンバス』,画布;〈C〉(1つの)カンバス / 〈C〉(カンバスに描いた)油絵 / 〈U〉《集合的に》テント,帆
canvasback	オオホシハジロ(北米産の野生ガモ)
canvass	…を詳しく調査する(検討する),論究する / (票・注文などを得るために)〈ある地区〉を遊説する,勧誘しながら歩き回る;〈人〉に運動する,を勧誘する《+『名』+『for』+『名』》 / (…のために)選挙運動をする;(…の)注文取りをする《+『for』+『名』》 / 運動,遊説;勧誘 / 詳しい調査(検討)
canvasser	(選挙などの)運動員,(販売などの)勧誘員
canyon	峡谷(米国西部やMexicoなどの乾燥地帯に多い)
caoutchouc	天然ゴム,生ゴム
cap	(縁のない)『帽子』,制帽 / (形・用途が)帽子に似たもの;万年筆のキャップ,時計の中ぶた,びんのふた,キノコのかさなど / (銃弾の)雷管;おもちゃのピストル玉 / 頂上,最高 / …に帽子をかぶせる / …の頂をおおう / 〈人が言った・した事〉の上手(うわて)を行く,をしのぐ / …に栄誉を与える
cap and bells	《古》道化師の服
cap and gown	大学の正装
cap-a-pie	頭のてっぺんから足の先まで
cap.	(複caps.)capital letter / capacity / capital; capitalize / captain
capability	能力,才能,手腕;素質,可能性
capable	『手腕のある』,有能な,才能のある(able, competent)
capably	りっぱに,うまく
capacious	広々とした,容量の大きい
capacitance	(導体の)静電容量
capacitate	…を可能にする;〈人〉に能力(資格)を与える
capacitor	=condenser2
capacity	〈U〉《しばしばa capacity》(建物などの)『収容力』,(容器などの)『容量』,『容積』 / 〈U〉《しばしばa capacity》(人の)『能力』,才能;(物の)性能 / 〈C〉(…の)『資格』,地位《+『of』(『as』)+『名』》
caparison	美しい馬衣 / (騎士の)盛装 / 〈馬〉を盛装させる,飾りたてる
cape	ケープ(婦人服の短いそでなし外とう) / 『みさき』(岬) / 《the C-》=the Cape of Good Hope
caper	はね回る,ふざける / はね回り / 《しばしば複数形で》《話》悪ふざけ / ケーパー(地中海沿岸産低木のつぼみで,酢づけにしてつまみに用いる)
capeskin	ケイプスキン(特に手袋に用いる丈夫な子羊や羊の皮)
capful	帽子1杯[の量]
capillarity	毛細管現象 / 毛状,毛管状
capillary	毛状の,毛のように細い / 毛細管の / 毛細管
capital	『主要な』,最も重要な,第一の / 『大文字の』 / 《おもに英》すばらしい,みごとな / 元金の,資本の / 生命にかかわる,死に値する / 〈C〉『首都』 / 〈C〉『大文字』,かしら文字 / 〈U〉『資本』,資本金;元金;《集合的に》資本家階級 / 柱頭(太い柱の上端の飾り)
capital assets	固定資産
capital gains	資本利得(資産売却による利益)
capital goods	資本財
capital letter	大文字,かしら文字
capital levy	資本課税
capital punishment	死刑
capital ship	主力艦(戦艦・航空母艦・巡洋艦など)
capitalism	資本主義
capitalist	資本家 / 《まれ》資本主義者
capitalistic	資本主義的;資本家の
capitalization,capitalisation	資本化;投資 / 大文字で書く(印刷する)こと
capitalize,capitalise	…を大文字で書く(印刷する) / …を資本化する / …に投資する,出資する / …の資本価値を算定する
capitally	{副}死刑に値するほどに / すばらしく《やや古》
capitals	大文字で組む(書く)こと(様式)
capitation	人頭税(各人に等しくかける税)
capitulate	(一定条件のもとで)(…に)降伏する《+『to』+『名』》
capitulation	〈U〉(…への)条件つきの降伏(開城)《+『to』+『名』》 / 〈C〉降伏文書 / 〈C〉(ある問題についての)要項,概要 / 《複数形で》外国人居留者に治外法権を認める協定
capon	去勢した食肉用おんどり
capriccio	狂想曲
caprice	〈C〉気まぐれ,移り気;〈U〉気まぐれなこと / 〈C〉=capriccio
capricious	気まぐれな,移り気の
capriole	カプリオール(前脚を引いて飛び上がり,後脚をけり上げる馬の跳躍)
caps.	capitals / capsule
capsicum	トウガラシ;その実
