coir	ココヤシの実の外側の毛で作ったロープ・マット用のじょうぶな繊維
collect	(趣味として)…を『集める』,収集する / 〈税金・代金など〉を『徴集する』,集金する;〈寄付など〉を募る,集める / 〈勇気・冷静さなど〉を取り戻す,回復する;〈考えなど〉をまとめる,集中する / 〈人が〉『集まる』,集合する / 〈雨水・ほこりなどが〉たまる,積もる / 集金する;募金する / 料金先払いの(で),着払いの(で) / (一部の教会で用いられる)短い祈祷文
collected	落ち着いた,冷静な(calm) / 集められた,収集した
collection	〈U〉〈C〉(…を)『集めること』,(…の)収集,採集;(税金などの)徴集,集金《+『of』+『名』》 / 〈C〉(…の)『収集物』,収蔵物,コレクション《+『of』+『名』》 / 〈U〉『募金』,〈C〉寄付金,献金 / 〈C〉(水・ちりなどの)堆積,集積,たまり《+『of』+『名』》
collective	集めた,収集された;蓄積された,集積した / 総合した,合わせた;集団の,団体の,共同の / =collective noun / 集産主義組織(事業)
collective bargaining	(雇用者と労働組合との)団体交渉
collective farm	(特に旧ソ連の)集団農場,コルホーズ
collective leadership	(特に社会主義諸国で)集団指導制
collective noun	集合名詞(人や物の集合体を意味する名詞;family 家族,herd 牛馬の群れ;など)
collective security	(国際間の)集団安全保障
collectively	集合的に;集団的に / (文法で,名詞が)集合的に
collectivism	集産主義(生産および経済活動のすべてを国家が社会主義的に統制する制度)
collectivize,collectivise	〈国民・産業・経済など〉を集産主義によって組織する
collector	(…の)収集家,採集者《+『of』+『名』》 / (…の)集金人,取り立て人;徴税官;(一般に)(…を)集める人《+『of』+『名』》
collectors item	収集家の目をひく物
colleen	《アイルランド英語》娘,少女;《米》アイルランド娘
college	《しばしば冠詞をつけず単数形で》(一般に)『大学』,カレッジ / 『単科大学』,教養課程大学 《米》(総合大学 universityの)学部 / 《英》(Oxford・Cambridge 大学などの)学寮(university の一部で,教師・外生・研究育で自治組織を作っている) / (特定の)パブリックスクール(public school) / 《英》(universityに併設の)専門学校 / (共通の特権・目的などを持つ人々の)団体,協会,学会
college pudding	干した果物を入れた甘い蒸し菓子
collegial	(特に教会の)共同責任の
collegian	大学生(college student)
collegiate	大学の,カレッジの;大学生の,大学生用の / 大学進学のための高校
collegiate church	聖堂参事会(chapter of canons)の管理する教会 / 《米》協同(合同)教会(数人の牧師で維持される一つ,または二つ以上の教会)
collegium	(各員が平等の地位と権力を持つ)支配者集団,(特にかつての)旧ソ連人民委員会
collide	(…と)『ぶつかる』,衝突する《+『with』(『against』)+『名』》 / 〈意志・利害・目的などが〉(…と)一致しない,〈人が〉(…と)衝突する《+『with』+『名』》
collie	コリー種の犬
collier	炭坑夫(coal miner) / 石炭運送船
colliery	(地上の建物も含めた)炭坑
collinear	同一直線上にある
collins	コリンズ(カクテルの一種;ウイスキー・ラム酒などにレモン水・砂糖などを加えたもの)
collision	(列車などの…との)『衝突』《+『of』+『名』+『with』+『名』》 / (意見・利害などの…との)衝突,不調和《+『of』+『名』+『with』+『名』》
collision course	〈C〉《通例a~》そのまま行けばいずれは衝突することになる進路
collocate	…をいっしょに置く,一まとめにする;…を配列する / 〈語が〉(他の語と)連語をなす《+『with』+『名』》
collocation	〈C〉〈U〉配置,配列 / 〈U〉語の配置,連語法;〈C〉連語(ある語の他の語との結びつき方)
collodion	コロジオン(皮膚の保護剤,写真湿版の感光膜用)
colloid	にわか質の,ころいど性の / コロイド,膠(こう)質
colloidal	コロイド状の
colloquial	(語句・表現などが)口語の,日常会話の;口語体の
colloquialism	口語体,会話体,口語語法;〈C〉口語(会話)的表現
colloquium	非公式会議
colloquy	(公式の)対話,会議
collude	(…と)共謀する,陰謀を企てる《+『with』+『名』》
collusion	ぐるになること,共謀,なれあい
collusive	共謀した,ぐるの
collywobbles	(恐怖・不安による)軽い胃の痛み
cologne	オーデコロン(ドイツの都市Cologne原産の香水)
