entourage	(重要人物の)取り巻き連
envy	〈U〉(…に対する)『ねたみ』,羨望(せんぼう)《+『of』(『at』)+『名』》 / 〈C〉(…の)『羨望の的』,うらやましい物(人,事)《+『of』+『名』》 / …を『うらやむ』,ねたむ
envyingly	うらやんで,ねたんで
enwrap	…を包む,くるむ
enzyme	酵素
eolian	風の堆積(たいせき)作用による,風成の
eon	非常に長い期間;永遠,永世 / 累代(地質学上の年代区分の最大の単位で,代(era)を二つ以上含む)
epaulet, epaulette	肩飾り,(特に軍服の)肩章
epee,épée	エペ(フェンシングで使う切っ先にたんぽのついた細身の剣)
epergne	食卓中央の飾り皿(果実・花などを載せる)
ephemeral	(昆虫・草などが)1日限りの / 短命の,はかない,つかの間の
epic	『叙事詩』 / 叙事詩の,叙事詩に似た / 叙事詩に歌われているような,壮大な
epicene	両性共通の,男女両性をそなえた / めめしい,男らしくない
epicenter,epicentre	震央(しんおう),震源地(地震の震源の真上の地表上の地点)
epicure	飲食に対する洗練された感覚の持ち主,美食家,食通
epicurean	快楽主義の / 食道楽の,飲食にうるさい;美食家向きの / =epicure
epidemic	(病気などが)『伝染性の』,急速に広がる / (一般に)流行している / (一時的な)流行病,伝染病 / 流行,はやり
epidermis	(動物・植物の)表皮,上皮
epidiascope	エピディアスコープ(物体をそのままスクリーンに映す幻燈機)
epiglottis	喉頭蓋,のどぶた
epigram	警句 / 警句的な短い風刺詩
epigrammatic	警句(風刺詩)の,警句ふうの,風刺的な;(人が)警句好きの
epigrammatically	警句的に
epigraph	(建築物・記念碑などの)碑文,題銘 / (書物の巻頭・章頭の)題辞,引用句
epigraphy	墓碑銘学 / 《集合的に》碑銘,碑文
epilepsy	てんかん
epileptic	てんかん[性]の / てんかん患者
epilogue,epilog	(劇の)納め口上,エピローグ / (小説・詩などの)結び,終章
epinephrine	=adrenalin[e]
episcopacy	〈U〉《文》監督(主教,司教)の職(任期) / 《the~》主教(司教)団
episcopal	監督(主教・司教)の / 監督制度の / 《E-》監督派の
episcopate	=episcopacy
episode	挿話的なでき事(人生の特殊な経験など) / (小説・劇などの中の本筋と直接関係のない)挿話的な事件
episodic	挿話的な
episodically	挿話的に
epistemology	認識論(知識の起源・方法などを探求する哲学)
epistle	(特に形式ばった)手紙,書簡 / 《the Epistles》(新約聖書中の)使徒書簡
epitaph	墓碑銘
epithalamion	祝婚歌
epithalamium	=epithalamion
epithelium	上皮[組織](生物体の表皮・血管内壁など)
epithet	(人・物の性質・属性を表す)形容辞,形容語句 / あだ名,別称
epitome	(…の)典型《+『of』+『名』》 / 《まれ》(作品・論文などの)要約《+『of』+『名』》
epitomize,epitomise	…を典型的に示す / 《まれ》…を要約する
epoch	『画期的な時代』,時期 / (歴史上の)新時代,新紀元 / 世(せい)(紀(period)の次に小さい単位)
epoch-making	新しい時代を開く,画期的な
epochal	世(せい)の,世特有の / 新しい時代を開く,画期的な
eponymous	(土地・国・小説などの)名前の起源となった人の,名祖(なおや)の
epoxy	エポキシ[樹脂](接着剤・塗料などに用いる)
epsilon	エプシロン(ギリシア語アルファベットの第5字Ε,ε;英語のE,eに相当)
equability	均等性 / 穏やかさ,平静
equable	一様な,均等な / (気分・気性などが)穏やかな,平静な
equal	『等しい』,同じ / 『平等の』 / 互角の;均等の / (任務・作業などに)耐える力がある,(…する)力量がある《+『to』+名(do『ing』)》 / (…と)『同等の人(物)』《+『of』+『名』》 / …に等しい,匹敵する;(…の点で)…に匹敵する《+『名』+『in(as)』+『名』》
equal sign	(数学の)等号(=)
equal time	(テレビ・ラジオで各立候補者の政見発表の)平等な時間の割り当て
