E pluribus unum	多から一を(諸州の合一を目ざす米国の標語;米国の数種類の硬貨に刻まれている)
Eire	エール(アイルランド共和国(the Republic of Ireland)の旧称)
Eisenhower	アイゼンハワー(『Dwight David ~』;1890‐1969;米国の将軍・政治家,34代大統領(1953‐61))
El Dorado	エルドラド(昔スペイン人が南米アマゾン河畔にあると想像した黄金郷) / (一般に)黄金郷
El Greco	エルグレコ(1541‐1614;クレタ島生まれのスペインの画家)
El Paso	エルパソ(テキサス州西部の都市)
El Salvador	エルサルバドル(中米西部の共和国;首都San Salvador)
Elastoplast	ばんそうこうの一種の商標名
Elbe	エルベ川(北海に注ぐドイツの川)
Election Day	選挙日(特に11月第1月曜日の翌日の火曜日の大統領選挙人を選ぶ日)
Electra complex	エレクトラコンプレックス(娘が父親に抱く無意識の性的欲望)
Elevation of the Host	聖体奉挙(パンとぶどう酒を高くかかげるローマカトリック教会のミサの儀礼)
Elijah	(聖書で)エリヤ(紀元前9世紀ごろのヘブライの預言者)
Elizabeth	《~ I》エリザベス1世(1533‐1603;在位1558‐1603) / 《~ II》現英国女王エリザベス2世(1926‐;在位1952‐)
Elizabethan	エリザベス朝の;エリザベス1世の / エリザベス女王時代の人;(特に)当時の文人
Elysian	極楽の
Elysium	〈U〉(古代ギリシア人が想像した,死者のための)極楽 / 〈C〉《文》至福の地,桃源郷
Emerson	エマソン(『Ralph Waldo ~』;1803‐1882;米国の思想家・詩人)
Emmentaler,Emmenthaler	スイスチーズ(ナッツの風味があり穴が多い)
Emp.	Emperor / Empire / Empress
Empire State	ニューヨーク州の別名
Empire State Building	エンパイア・ステートビル(ニューヨーク市にある102階の高層ビル)
Eng.	England / English
England	『イングランド』(Great Britain島からScotlandとWalesを除いた部分;首都London) / 『英国』,イギリス本国
English	〈U〉《通例冠詞をつけないで》『英語』 / 《the~》《集合的に》《複数扱い》『イギリス人』,イングランド人,英国民[全体] / 英語の先生 / 『イギリスの』,英国の,イングランドの;『イギリス人の』,英国人の / 『英語の』
English Channel	イギリス海峡(英仏の間にある海峡)
English breakfast	英国ふう朝食(ベーコンエッグとマーマレードつきトースト)
English horn	イングリッシュホルン(オーボエに似た木管楽器;《英》cor anglais)
English muffin	円形の軽焼きパン;熱いうちにバターをつけて食べる(《英》muffin)
English setter	イングリッシュセッター(白い毛のまじった黒か茶の中型の猟犬)
English-speaking	英語を話す
Englishman	『イギリス人』,英国人,イングランド人
Englishwoman	『イギリス婦人』,英国婦人,イングランド婦人
Ens.	ensign
Eocene	始新世 / 始新世の(に関する,特有の)
Ephesians	エペソ人への手紙(新約聖書の一書)
Epiphany	主顕(しゅけん)祭(キリスト生誕の際,東方の博士が訪れたこととキリストがユダヤ教徒以外の人の前に初めて姿を現したのを祝う1月6日の祭り)
Episc.	Episcopal / Episcopalian
Episcopalian	=Episcopal / 監督教会員,聖公会会員
Equatorial Guinea	赤道ギニア共和国(中央アフリカの共和国;首都は Malabo)
Er	erbiumの化学記号
Erasmus	エラスムス(『Desiderius ~』; 1466?‐1536;オランダの人文主義者,神学者)
Erie	エリー湖(北米五大湖の一つ)
Erin	アイルランド(Ireland)
Eros	エロス(古代ギリシアの愛の神;ローマ神話のCupidに当たる)
Erse	〈U〉アイルランド語 / スコットランド・ゲール語《古風》
Es	einsteiniumの化学記号
Esk.	Eskimo
Eskimo	エスキモー人 / エスキモー語 / エキスモー人(語)の
Eskimo dog	エスキモー犬
