eugenicist	〈C〉優生学者
everywhere	『至る所に(で)』 / 《接続詞的に》どこへ(で)…しても
evg.	evening
evict	(法律の力で)(家・土地などから)〈人〉を立ち退かせる《+『名』+『from』+『名』》
eviction	立ち退き;追い立て
eviction order	(法廷による)立ち退き命令
evidence	『証拠』,証拠物件 / 印,徴候,形跡(indication)・(証拠をあげて)…を証明する・「in evidence」で「証拠(証人)として」
evident	『明白な』,はっきりした
evil	(思想・行動などが)『邪悪な』,罪深い / 害を与える,有害な / 『不吉な』;不運な / 〈U〉『悪』,罪悪 / 〈C〉『害悪』,悪弊 / 不幸,不運 / 悪く
evil eye	邪眼,悪魔の目・(the ～ eye) 憎悪のこもった目つき; (悪魔の)邪眼 (人に禍を与える)・凶眼,邪眼 《にらまれると災難がくるという》
evil-minded	悪意のある,腹黒い
evil-tempered	よこしまな性質の
evildoer	悪事を働く人,悪人
evince	〈感情・才能など〉をはっきり表す,明らかに示す
eviscerate	…の内臓を抜く
evocation	(霊魂などを)呼び出すこと,招魂《+『of』+『名』》 / (感情・記憶などを)呼び起こすこと《+『of』+『名』》
evocative	呼び起こす,喚起する;(を)呼び起こす《+『of』+『名』》
evoke	(…から)〈霊魂など〉を呼び出す《+『名』+『from』+『名』》 / 〈記憶・感情など〉を呼び起こす
evolution	〈U〉(徐々の)『発展』,進展,展開 / 〈U〉(生物の)『進化』;進化論 / 〈C〉(ダンス・体操などの)旋回[動作]
evolutionary	発展の / 進化の;進化論に関する
evolve	〈計画・理論など〉を『徐々に発展させる』 / …を進化させる / 徐々に発展する / 進化する
evzone	(ギリシアの)陸軍精鋭部隊所属の歩兵
ewe	雌羊
ewer	広口の水差し
ex	先妻,先夫
