embryology	胎生学,発生学
employ	《しばしば受動態で》(…として)〈人〉を『雇う』(hire)《+『名』+『as』+『名』》 / 《文》(…として)〈物・能力など〉を『使う』(use)《+『名』+『as』+『名』》 / 《文》(…に)〈時間・精力など〉を『費やす』,〈自分〉の身をささげる《+『名』+『in』(『for, on』)+『名』(do『ing』)》 / (…の)雇用《+『of』+『名』》
employable	(人を)雇用できる;(物が)使用できる
employee,employe	『雇い人』,従業員
employer	『雇い主』,雇用者
employment	〈U〉(人の)『雇用』 / 〈U〉(物・能力・時間の)使用《+『of』+『名』》 / 〈U〉〈C〉『職』,職業,仕事
employment exchange	(英国の,政府による)職業安定所
emporium	商業の中心地,市場 / 大商店
empower	〈人など〉に(…する)能力(権限)を付与する《+『名』+『to』 do》
empress	『女帝』;皇后
emptily	むなしく
emptiness	からっぽ;空虚;無意味
empty	『からの』,中に何もない(だれも居ない) / 『空虚な』,なんの意味もない / 《話》腹ぺこの / 〈容器など〉を『空にする』 / (容器などから)〈中身〉を出して空にする《+『名』+『out of』+『名』》;(…に)〈中身〉を全部出す《+『名』+『into』(『onto』)+『名』》 / 『空になる』;(…に)全部出て空になる《+『into』+『名』》 / 空き箱,空きびん
empty nester	子供のいない(子供と別居している)老夫婦
empty set	=null set
empty-handed	空手で,手ぶらで
empty-headed	頭が空っぽの
empurpled	紫色をした
empyrean	最高天(古代天文学で五天のうちで最高の天上界) / 天空,大空 / 最高天の;天空の
emu	エミュー(ダチョウに似たオーストラリア産の翼のない大鳥)
emulate	…と張り合う,に負けまいとする / …を手本とする,見習う
emulation	張り合うこと,競争 / 見習うこと,模範とすること
emulator	競争者; 見習う人; エミュレータ (ある機種用のプログラムを別の機種に解読・実行させるためのハードウェアやソフトウェア)
emulous	競い合う,競争心の強い;(…を得ようと)競い合う《+『of』+『名』》
emulsify	…を乳状(乳剤)にする
emulsion	乳状液,乳剤 / (写真の)感光乳剤
emulsive	乳剤質の,乳濁性の
en bloc	一括して,全体として(as a whole)
en masse	いっしょに,一団となって
en passant	途中で,ついでに
en route	(…への)途中で;(…の)途上で(on the way)《+『to』(『for』)+『名』》
enable	《『enable』+『名』+『to』 do》〈物事が〉(…することを)…に可能(容易)にする,…に(…する)能力(資格)を与える / 〈物事〉を可能にする,容易にする
enabling	(制定法などが)権能付与的な,授権する
enact	〈法律〉を制定する;…を法令(条令)化する / (弓など)を演じる;…の役を演じる
enactment	〈U〉立法 / 〈C〉法令,条令 / 〈U〉(劇などの)上演
enamel	〈U〉〈C〉エナメル,ほうろう / 〈C〉ほうろう細工,ほうろう鉄器 / 〈U〉〈C〉エナメル,光沢塗料 / 〈U〉(歯の)ほうろう質 / …にエナメルをかける,ほうろう引きする;〈皮・布など〉につや出しする
enamelware	エナメル容器,ほうろう鉄器
enamelwork	エナメル細工,ほうろう細工
enamored,enamoured	(…に)夢中の,心を奪われた《+『of』(『with』)+『名』》
enc.	enclosed / enclosure
encamp	〈兵士・部隊など〉を野営させる / (テントで)〈部隊などが〉野営する
encampment	〈U〉野営[すること] / 〈C〉野営地
encapsulate	…をカプセルに入れる / 〈事実など〉を矮(わい)小化する
encase	(箱・袋などに)…を入れる,包む《+『名』+『in』+『名』》
encaustic	(れんが・タイルなどが)ろう画の,ろう焼き付けした
encephalitis	脳炎
encephalon	(医学用語で)脳(brain)
enchain	…を(鎖で)つなぐ / 〈注意・感情など〉を引き付けておく
enchant	…に『魔法をかける』 / …を『うっとりさせる』,魅惑する(charm)
