eschatology	終末論(キリスト教の世界の終りに関する学問)
etc.	…『など』,その他…(ラテン語et cetera=and other thingsの略)
etcetera	…など,その他…
etch	〈絵など〉をエッチングで描く(彫る) / エッチングで描く
etcher	エッチングする人,食刻銅版工
etching	〈U〉食刻法,エッチング(銅板にろうを塗り,その上に針で絵などを描き,露出した部分を酸で腐食して原版を作る法) / 〈C〉食刻版画,エッチング
eternal	『永遠の』,永久不変の,不滅の / 《話》絶え間のない,果てしない / 《the E-》神(God),永遠なるもの
eternal triangle	(男女間の)三角関係
eternity	〈U〉永遠,無限の時間;(神・魂などの)永遠性,不滅 / 〈U〉永遠の時間
ethane	エタン(無色・無臭の引火性の気体;燃料ガス用)
ethanol	=alcohol
ether	エーテル(麻酔などに用いる) / (またaether)《詩》天空,青空
ethereal	空気のように軽やかな,きわめて優美な / 《詩》天上の,天空の
ethic	倫理,道徳律 / =ethical
ethical	倫理の,道徳の;倫理学 / 道徳的な,(特に)職業道徳にかなった
ethics	《単数扱い》『倫理学』 / 《複数扱い》『倫理』,道徳[律],規範
ethnic cleansing	民族浄化、人種浄化、ほかの民族を一掃する[壊滅させる]こと
ethnic, ethnical	(共通の言語・文化・歴史を持つ)民族の
ethnicity	民族的特徴(背景),民族性
ethnocentric	自民族中心主義の
ethnocentrism	自民族中心主義
ethnographer	民族誌学者
ethnography	民族誌[学]
ethnol.	ethnological / ethnology
ethnological	民族学[上]の
ethnologist	民族学者
ethnology	民族学
ethology	動物行動学
ethos	(個人・社会の信念・習慣・風習を形成する)気風,心情
ethyl	エチル / エチルの
ethyl alcohol	エチルアルコール
ethylene	エチレン(引火性の気体;吸入麻酔薬に用いる)
etiolate	(光をあてずに)〈植物〉を白く生長させる
etiological	病因学的(原因を調べる学問)
etiology	〈U〉病原学 / 〈C〉〈U〉病気の原因,病因
etiquette	『礼儀』,『作法』,エチケット / (同業者仲間の)礼儀,仁義
etude	(音楽の)練習曲,エチュード;(絵の)習作
etym.	etymological / etymology
etymological	語源の,語源学上の
etymologist	語源研究者,語源学者
etymology	〈U〉語源,語の由来 / 〈U〉語源研究,語源学
eucalyptus	ユーカリ樹(オーストラリア産の芳香ある常緑の巨木)
euchre	ユーカー(高位32枚のカードでするカードゲーム) / (ユーカーで)〈人〉に勝つ / 《米話》〈人〉を出し抜く
eugenic	優生学上の / 優秀な子孫を残す
eugenically	優生学上,優生学的に
