equalitarian	平等主義の / 平等主義者
err	(判断・考え方・選択などで)『誤る』,まちがえる;過ちを犯す,罪を犯す《+『in』+『名』(do『ing』)》 / (正道・目的などから)それる,逸脱する《+『from』+『名』》
errand	『使い』,用足し / (使いの)『用向き』,使命;(旅行などの)目的
errant	(中世の騎士が)冒険を求めて遍歴する / 正道からはずれた;誤った
errata	erratumの複数形
erratic	(動きが)一定しない,定まらない;(考え・心が)ふらついている
erratically	散漫に,(考え・心が)ふらふらして
erratum	誤字,誤記,誤植
erroneous	誤りのある,まちがった
error	〈C〉『誤り』,『まちがい』 / 〈U〉思い違い,誤解 / 〈U〉〈C〉過ち,過失 / 〈U〉(計数の)誤差 / 〈C〉(野球で)エラー,失策
ersatz	代用の;合成の
erst	昔は,以前は
erstwhile	昔の,以前の / 昔は,以前は,かつては
eruct	〈おくび・げっぷ〉を出す / 〈火山などが〉〈煙など〉を噴出する / おくびを出す;吐き出す
eructation	げっぷ,おくび / 噴出
erudite	(人が)学識のある,博学な;(書物・論文などが)学識の深さを示す
erudition	博学,博識
erupt	〈火山灰・間欠泉などが〉噴出する,〈火山が〉噴火する / 〈争いなどが〉突然起こる;〈感情が〉爆発する / 〈溶岩・熱湯など〉を噴出させる / 〈怒りなど〉を爆発させる
eruption	(病気・災害などの)『突発』,(戦争などの)勃(ぼっ)発;(怒り・笑いの)爆発《+『of』+『名』》 / (溶岩・熱湯などの)『噴出』;(火山の)『噴出』;(火山の)『噴火』《+『of』+『名』》;(火山・間欠泉などからの)噴出物
eruptive	噴出する;突発する;爆発しがちな / 噴火する;噴火による
erysipelas	丹毒(たんどく)(連鎖球菌により生じる急性伝染病)
erythema	紅斑(こうはん)(炎症などにより皮膚が異常に赤くなること)
erythrocyte	赤血球
escalate	…を段階的に増す(強める,拡大する) / 段階的に増す(強まる,拡大する)
escalation	段階的な増大(拡大,強化)
escalator	『エスカレーター』[もと商標名]
escallop	=scallop
escalope	豚・牛の肉の薄片を卵とパンくずでまぶして調理したもの
escapade	はめをはずした行為,脱線,いたずら
escape	(危うく…から)『逃げ出す』,脱走する《+『from』(『out of』)+『名』》 / (危うく逮捕・危害などから)『免れる』《+『from』+『名』(do『ing』)》 / (容器などから)〈気体・液体・粒状物などが〉流出する,漏れる《+『from』(『out of』)+『名』》 / (未然に)…から『逃げる』,逃れる,をうまくかわす / 〈逮捕・危害など〉を『免れる』,逃れる / 〈人〉に忘れられる,の注意を引かない;〈人の注意など〉を引かない / 〈言葉・ため息などが〉〈人,人の口〉から思わず出る / 〈C〉〈U〉(…から)『逃げ出すこと』,脱走;(…を)免れること《+『from』(『out of』)+『名』》 / 〈C〉(…から)逃げる(逃れる)手段,逃げ道《+『from』(『out of』)+『名』》 / 〈C〉(…からの)(ガス・水などの)漏れ《+『of』+『名』+『from』(『out of』)+『名』》
escape velocity	重力脱出速度
escapee	逃亡者,脱獄者
escapement	(時計の) 脱進機 《調速機構》,逃がし止め / (タイプライターの)文字送り装置 / (ピアノのハンマーをもとの位置にもどす)休止装置
escapism	現実逃避[主義]
escapist	現実を逃避する / 現実逃避者
escapology	脱出術(袋・鎖から抜け出る奇術)
escargot	エスカルゴ,食用カタツムリ
escarole	(サラダ用の)葉の広いチコリ
escarpment	(地殻の断層・亀裂などによる)断崖(だんがい) / 急斜面をめぐらした城(とりで)
