effeminacy	めめしさ,柔弱
egg timer	(卵をゆでるときに使う)エッグタイマー,ゆで卵用時計
egg whisk	=eggbeater
egg-shaped	卵形の
eggbeater	卵泡立て器
eggcup	ゆで卵立て
egghead	知識人
eggnog	卵酒(卵・クリーム・砂糖・酒類(ブランデー,ラム,バーボン)などの入った飲み物)
eggplant	ナス
eggshell	卵の殻
egis	=aegis
eglantine	=sweetbriar
ego	〈U〉〈C〉自我;《しばしばEgo》主観 / 〈U〉《話》うぬぼれ,自尊心(conceit)
ego ideal	自我理想(個人が到達しようとする理想標準)
ego-trip	自我充足行為(自我・自負を満足させるための行為)
egocentric	自己中心の,自分本位の
egoism	〈U〉利己主義 / 自己中心主義 / 自我主義(哲学)
egoist	利己主義者;自分勝手な人 / うぬぼれ屋
egoistic	利己的な;自分本位な / うぬぼれた
egoistical	=egoistic
egoistically	利己的に,自分勝手に
egotism	自己中心癖・自己中心・自己本位・うぬぼれ
egotist	自己中心主義者 / うぬぼれ屋
egotistic	自己中心の,自分本位の / うぬぼれの強い
egotistical	=egotistic
egregious	{形} とんでもない / ひどく悪い / 目に余る
egress	〈U〉《文》(…から)外へ出ること;外へ出る権利《+『from』+『名』》 / 〈C〉《文》(…からの)出口《+『from』+『名』》
egret	シラサギ,シラサギの羽毛 / (婦人帽などにつける)羽毛飾り
eh	えっ(問い・疑い・驚き・ちゅうちょなど;また相手の同意を求めるときにも用いる)
eider	〈C〉(またeider duck)(北欧沿岸に生息する)ケワタガモ / =eiderdown
eiderdown	〈U〉ケワタガモの綿毛 / 〈C〉(その綿毛を詰めた)羽根ぶとん
eidolon	幻・幽霊・幻想・理想像
eight	〈C〉(数の)8;8の記号(8,VIIIなど) / 〈U〉8時,8分;8歳 / 〈U〉《複数扱い》8人,8個 / 〈C〉八つ(8人,8個)一組のもの;8人のボート選手 / 〈C〉(カードの)8の札;〈U〉(スケートの)8字形[滑走](the figure of eight) / 8の;8人の / 8個の;《補語にのみ用いて》8歳で
eight ball	エイトボール(8と書いてある玉突きの黒い玉)
eight track	(テープの)8音帯
eighteen	〈C〉(数の)18;18の記号(18,XVIIIなど) / 〈U〉(24時間制で)18時,18分;18歳 / 〈U〉《複数扱い》18人,18個 / 〈C〉18(18人,18個)一組のもの / 『18の』,18人の,18個の / 《補語にのみ用いて》18歳で
eighteenth	《the eighteenth》『第18の』,18番目の / 18分の1の / 《the ~》『第18』,18番目[のもの];(月の)18日 / 〈C〉18分の1
eightfold	8倍の,8重の / 8倍に,8重に
eighth	《the ~》『第8の』,8番目の / 8分の1の / 《the ~》『第8』,8番目[のもの];(月の)8日 / 〈C〉8分の1 / 〈C〉(音程の)8度,オクターブ
eighth note	8分音符(《英》quaver)
eightieth	《the ~》『第80の』,80番目の / 80分の1の / 《the ~》『第80』,80番目[のもの] / 〈C〉80分の1
eightsome	(スコットランドの)8人舞踊
eighty	〈C〉(数の)『80』,80の記号(80,LXXXなど) / 〈U〉80歳 / 〈C〉80人,80個 / 《the eighties》(世紀の)80年代; / 『80の』,80人の,80個の;《補語にのみ用いて》80歳で
einsteinium	アインスタイニウム(放射性元素;化学記号は『Es』)
eisteddfod	ウェールズの歌唱祭
either	(二つのうちの)『どちらかの』;どちらでも,どちらの…も / (2者のうちの)『どちらか一方』;『どちらでも』 / …『か』…『か』(どちらか);…『も』…『も』(どちらも) / …『もまた』[…ない],…と同じ程度に[…ない]
either-or	(二者択一して)あれかこれか
ejaculate	…を急に叫ぶ,不意に言い出す / 〈液〉を射出する
ejaculation	急に叫ぶこと,絶叫 / (液などの)射出;射精
eject	(…から)〈人〉を追い出す,追放する《+『名』+『from』+『名』》 / (…から)…を噴出する,排出する,放出する《+『名』+『from』+『名』》
ejection	〈U〉追い出し;追放;排斥 / 〈U〉噴出;排せつ;〈C〉噴出物
ejection seat	(パイロットの緊急脱出の)射出座席(《英》ejector seat)
ejector	射出装置,放出(排出)器
eke	(…で)…の不足を補う《+『out』+『名』+『by』(『with』)+『名』(do『ing』)》 / また(also)
ekistics	生活都市計画学
el	=ell / 《米話》高架鉄道(elevated railroad)
elaborate	『入念な』,手の込んだ / …を念入りに仕上げる,練り上げる / (…について)詳細に述べる《+『on』(『upon, about』)+『名』(do『ing』)》
elaboration	〈U〉(…を)念入りに作り上げる(仕上げる)こと《+『of』+『名』》 / 〈C〉念入りに作り上げたもの,労作
elan	熱意;気力
eland	オオカモシカ(アフリカ産のカモシカ)
elapse	〈時が〉経過する,たつ(pass)
elastic	『弾力のある』,伸縮自在の / 融通性のある / ゴムひも;ゴムひもで作った物,靴下留め,ズボンつり
elastic band	=rubber band
elasticity	弾力,弾性;伸縮自在;融通性
elastomer	エラストマー(ゴムのような弾性物質)
elate	{動}(人を)意気揚々とさせる / 大得意にさせる《文語》
elated	得意の,意気揚々とした
elation	得意,意気揚々
elbow	『ひじ』 / ひじ形(L字形)のもの;ひじ形の屈曲;(管の)ひじ形継ぎ手;(いすの)ひじ掛け / …を『ひじで押す』(『突く』);(…から)…をひじで押し出す《+『名』+『out of』+『名』》
