ex cathedra	権威による,権威ある / 権威をもって
exchequer	〈C〉国庫 / 《the E-》(英国の)大蔵省 / 〈U〉《話》(個人・会社などの)財力,資力
excise	(酒・たばこなどの)物品税,国内消費税 / (体などから)〈できたものなど〉を切り取る《+『名』+『from』+『名』》 / (原文から)〈文章など〉を削除する《+『名』+『from』+『名』》
excision	(…の)切除,削除《+『of』+『名』》 / 削除(切除)部分
excitability	すぐのぼせあがる(かっとなる)性質
excitable	興奮しやすい,激しやすい
excite	〈人〉を『興奮させる』 / 〈物事が〉〈ある感情・興味など〉を『起こさせる』 / 〈体の器官〉を刺激する
excited	興奮した
excitement	〈U〉『興奮』,動揺 / 〈C〉興奮させるもの(事),刺激物
exciting	(物事が)『興奮させる』
excl.	exclamation / excluding / exclusive
exclaim	(感情が高ぶって)…を『叫ぶ』,大声で言う / (喜び・驚きなどで)『叫ぶ』
exclamation	〈U〉〈C〉(怒り・驚きなどの)『叫び』,絶叫《+『of』+『名』》 / 〈C〉感嘆文;感嘆詞(O,ah;Thank Heaven!など)
exclamation mark	=exclamation point
exclamation point	感嘆符(!)(《英》exclamation mark)
exclamatory	感嘆の
exclave	飛び領土(他国の領土に取り囲まれ,本土から離れている領土)
exclude	(…から)…を『除外する』,除く《+『名』+『from』+『名』》 / 〈見込み・可能性・疑いの余地など〉を全く許さない
excluding	…を除いて,含めないで
exclusion	(…を…から)除外すること《+『of』+『名』+『from』+『名』》
exclusive	『除外する』,排他的な;相いれない;(人が)打ち解けない / 入会に制限のある,選ばれた人のための / 《名詞の前にのみ用いて》『独占的な』,専用の / 完全な,全くの / 《話》(商品・ホテルなどが)高級な,一流の / (新聞の)独占記事 / (特定の品の)独占商品
exclusively	排他的に,独占的に;全く(solely)
exclusiveness	排他[性],独占
excogitate	〈計画・難しい考えなど〉を考え出す,ひねり出す
excommunicate	(教会から)〈人〉を破門する
excommunication	(教会からの)破門
excoriate	…から皮をはぐ,の皮膚をすりむく / 〈書物・芝居など〉をひどく悪く言う
excoriation	樹皮をはぐこと
excrement	排泄(はいせつ)物,大便
excrescence	(動植物にできる)異常成長物(いぼ・まめ・こぶなど) / よけいなもの,無用の長物
excreta	排出長(汗・尿・便など)
excrete	…を排泄(はいせつ)する,分泌する
excretion	〈U〉排泄, 排泄作用 / 〈U〉排泄物, 分泌物
excretory	排泄の
excruciating	(頭痛・心労などが)非常に苦しい,耐えがたい
exculpate	〈証拠などが〉〈人〉の罪を免れさせる;(…から)〈人〉を無罪にする《+『名』+『from』+『名』》
exculpation	無実の罪が晴れること,無罪を証明すること
excursion	(特定の目的をもった団体の)『小旅行』,遠足 / (特別割引料金の)周遊旅行
excursionist	遊覧(周遊)旅行者
excursive	(主題が)わきにそれる;とりとめのない,散漫な
excursus	(本の巻末につけた)詳説,補説
