enchanter	魔法使い / 魅力的な人
enfranchise	…に参政権(選挙権,自治権)を与える / 〈奴隷(どれい)など〉を解放する,自由にする
enfranchisement	選挙権(公民権,自治権)の賦与 / 解放,釈放
eng.	engine / engineer / engineering / engraved
engage	…を『雇う』;(…として)…を雇う《+『名』+『as』+『名』》;〈技術・労力など〉を買う / …を予約する / 〈注意,関心〉を引きつける / 〈事が〉〈時間・労力〉を『占める』,使う(occupy) / (…に)〈自分〉を専念(没頭)させる,従事させる《+one『self in』+『名』(do『ing』)》 / 〈自分〉に請け合う,約束する;〈物事〉を請け合う / …と交戦状態にはいる / 〈歯車など〉をかみ合わせる / (…に)『従事する』,たずさわる,参加する《+『in』+『名』》 / 交戦する / 〈歯車などが〉かみ合う,(…と)かみ合う《+『with』+『名』》 / (特に左翼の政治問題に対して)積極的な関心を持つ
engaged	《補語にのみ用いて》(…に)忙しい《+『in』(『on』)+『名』(do『ing』)》 / 《補語にのみ用いて》《英》(電話などが)話し中の,ふさがっている(《米》busy) / 《補語にのみ用いて》約束済みの / 婚約中の / 交戦中の / (歯車が)かみ合った
engagement	〈C〉『約束』,契約,取り決め;(会合などの)約束,予約《+『for』+『名』》;(人との)約束《+『with』+『名』》 / 〈C〉『婚約』;婚約期間 / 〈C〉雇用;雇用期間 / 〈C〉会戦,交戦 / 《複数形で》債務,負債 / 〈U〉〈C〉(歯車などの)かみ合わせ
engaging	人を引き付ける,魅力のある
engender	〈ある感情・状態など〉を生じさせる,引き起こす
engine	『エンジン』,発動機,機関 / 『機関車』(locomotive) / 消防ポンプ(fire engine) / 《古》(一般に)機械装置
engine driver	=engineer
