unchaste	身持ちの悪い,不貞な,ふしだらな
unconsciously	意識を失って;知らずに,無意識に,何気なく
unconsciousness	無意識;意識不明
unconsidered	考慮を欠いた / 軽視された(disregarded)
unconstitutional	憲法違反の;(特に合衆国憲法に)違憲の
uncontrollable	抑制できない,手に負えない
uncontrollably	抑制できないほど,手に負えないほど
uncontrolled	抑制されない,抑えられない,自由な
unconventional	しきたりにとらわれない,型にはまらない
uncork	…のコルク(せん)を抜く
uncountable	数えられない;無数の(numberless) / 不可算名詞(おもに抽象名詞・物質名詞で不定冠詞(a, an)をつけることなく,また複数形にならない)
uncounted	数えてない / 多数の,無数の(innumerable)
uncouple	〈連結したもの〉を離す
uncouth	(人・行為が)洗練されてない,粗野な / 無器用な,ぎごちない
uncover	…の『おおい』(ふた)『を取る』 / 〈秘密など〉を『明らかにする』,暴露する / 《古》(敬意を表して)〈頭〉から帽子を取る / (敬意を表して)脱帽する
uncovered	おおい(ふた)のない,むき出しの
uncritical	批評(批判)的でない,批判能力のない;無批判な
uncross	〈両腕・両足〉の交差を解く
uncrowned	[まだ]王冠を戴かない(いただかない) / 王位につかずに実権を持つ
uncrushable	(布地など)しわのよらない / 《おもに文》(意志が)くじけない,不屈な
unction	(聖別の印として)油を塗ること,塗油式 / (塗油の儀式に用いる)聖油 / 和らげる物 / (話をするときなどの)うわべだけの感激(熱心)
unctuous	油(軟膏)のような,つるつる(すべすべ)した / うわべだけ感激した(熱心)な,お世辞たっぷりの
uncut	(一般に)切られていない,刈られていない / (小説・映画フィルムなど)未削除の / (ダイヤなど)原石のままの,未カットの
undated	日づけのない
undaunted	恐れない,ひるまない
undeceive	…の迷いをさます,誤りを悟らせる
undecided	(人が)決心のついていない;(…について)決めていない《+about+名(wh-節・句)》 / (事が)未決定の
undeclared	(課税対象物品が)税関未申告の / (戦争など)宣戦布告なしに
undefeated	不敗の
undemonstrative	感情などを表に出さない,慎み深い;内気な
undeniable	否定できない,明白な
undeniably	否定できないほどに,疑いなく,明らかに
under	《下方の場所・位置》『…の下に』,に覆われて / 《内部の位置》『…の内側に』,の下に / (重荷・苦痛など)『を負って』,に圧迫されて / (支配・保護・影響など)『…を受けて』,のもとで,の状態で / 《受動状態の継続》『…中』 / (分類項目)『の中に』,に属して / (地位・数量などが)『…に劣る』,より下の / (行動などの基準)に従って,基づいて / 『下へ』,下に / 下位に,抑圧されて,従属して / 下の,下部の;下位の,劣った
under-the-counter	不法に取り引きされる / 不法な,非合法の
underachieve	(特に学業で)水準以下の成績をとる
underact	…を控え目(不十分)に演技をする / 控え目(不十分)に演じる
underage	規定年齢に達しない;未成年の
underarm	腋(わき)の下 / 腋の下の;(野球などの)下手投げの / 下手投げで
underbelly	(動物の体の)下腹部 / 攻撃しやすい場所,弱点,急所
underbid	〈競争相手〉より低い値をつける / (ブリッジなどで)〈持ち札〉の実力より低くかける
underbrush	(林などの)下ばえ
undercarriage	(自動車などの)車台 / (飛行機の)着陸用装置(車輪)
undercharge	〈買い手〉に代価以下に請求する;〈商品〉に代価以下の値をつける / 〈銃砲〉に不十分に装薬する / 代価以下の請求 / 不十分な装薬
underclassman	(大学・高校の)下級生
underclothes	下着,肌着(underwear)
underclothing	=underclothes
undercoat	(動物の長い毛の下の短い)下毛 / (仕上げ塗り前の)下塗り
undercook	…を不十分に調理する
undercover	秘密の,秘密に行う(行われた)
undercurrent	(水流・気流の)下層流,底流 / 《an ~》(思想・感情などの)暗流,底流
undercut	〈競争者〉よりも安く売る(働く) / (彫刻などで)…の下を切り取る(くりぬく) / 〈U〉下を切り取る(くりぬく)こと / 〈C〉《米》(切り倒す木の下方につける)刻み目 / 〈U〉《英》牛の腰部の上肉
underdeveloped	発育不十分の / 開発不十分の
underdog	負け犬,敗者,敗残者 / 社会的(政治的)不正の犠牲者
underdone	(食べ物が)生煮えの;(肉が)生焼けの
underdrawers	(特に少し長目の)ズボン下,ズロース,パンツ
underdress	〈人〉に場所(状況)にそぐわない服装をさせる 略式(簡単)すぎる服装をする くだけすぎた服装をする
underemployed	不完全就業の(自分のもっている能力・技術以下の職業についていることをいう)・〈人が〉パートタイムの; 不完全雇用[就業]の・能力以下の仕事に従事して(いる) ・潜在失業の・(機械・設備など)十分活用されていない・仕事がつまっていない
underestimate	〈価値・質・量・能力など〉を実際より低く評価する(見積もる) / 過小評価
underexpose	〈写真のフィルム〉を露出不足にする
underexposure	(写真)露出不足
underfelt	床とカーペットの間に敷くフェルト地
underfloor	(特に暖房装置が)床面下施工の
underfoot	足の下に,地面に / 《米》じゃまになって
