umbel	散形花序
unbridled	(馬・ラバなどが)馬勒(ばろく)をつけていない・拘束のない,自由な・とめどのない
unbroken	壊れて(破れて)いない,完全な / とぎれない / (記録などが)破られない / (馬などが)乗り慣らされていない / (精神などが)くじけない,不屈の / (規則・約束などが)守られた
unbuckle	…の留め金をはずす
unburden	…の荷物を降ろす / (打ち明けて)〈心〉の重荷を降ろす,を軽くする / 〈悩みなど〉を打ち明ける
unbutton	…のボタンをはずす
unbuttoned	ボタンをはずした(はめていない) / 《まれ》くつろいだ,むとんちゃくな
uncalled-for	適切でない,不当な / 不必要な
uncanny	不気味な,異様な / (直感力などが)並はずれてよい
uncap	…の帽子をとる;…のふた(おおい)を取る
uncared-for	世話(手入れ)されていない,うっちゃらかしの
unceasing	絶え間ない,連続した
unceremonious	不作法な,ぶしつけな / 儀式(形式)ばらない
uncertain	《補語にのみ用いて》(人が)『確信が持てない』,はっきり分からない / (結果などが)『確かでない』,はっきりしない,疑わしい / 『変わりやすい』,不安定な / 明確でない,ぼんやりした
uncertainly	確信なく;疑わしく;変わりやすく;ぼんやりと
uncertainty	〈U〉確信のなさ;疑わしさ;変わりやすさ;不明確さ / 〈C〉《しばしば複数形で》確信のない(疑わしい,変わりやすい,不明確な)こと
unchain	…の鎖を解く,を自由にする
unchangeable	変わらない,不変の;変えられない
unchanged	変化のない,もとのままの
unchanging	変わらない,不変の
uncharitable	無慈悲な,情け容赦のない
uncharitably	無慈悲に,容赦なく
uncharted	(ある場所が)海図(地図)に載っていない,未踏の;未知の
