unheeded	注意されない,顧みられない,無視された
universal joint	自在(万能)継ぎ手 ユニバーサルジョイント
universal product code	商品包装の上に磁気印刷された製品コード;黒い線の列で表わされ磁気ペンで触れると自動的に計算機に記録される;《略》UPC
universalist	普遍主義者 / 《Universalist》ユニバーサリスト(万人救済説(Universalism)を信じるキリスト教の一派の信者)
universality	普遍性,一般性
universalize, universalise	…を一般化する,普遍化する
universally	いたる所に(で);一般に
universe	《the universe,時に the Universe》『宇宙』(cosmos);森羅万象;[全]人類(humankind) / 〈C〉世界,領域,分野
university	〈C〉『[総合]大学』 / 〈U〉《the university》《集合的に》大学生,大学当局
unjust	『不正な』;不公平な,不当な
unjustly	不正に;不公平に
unkempt	(髪が)くしを入れてない,もじゃもじゃの / (服装・外見などが)だらしがない
unkind	『不親切な』,薄情な / (天候が)荒々しい,きびしい(harsh)
unkindly	不親切に,薄情に / 意地悪く,ひねくれて / 荒々しく,きびしく
unknowing	知らない,気づかない
unknown	『知られていない』,不明の,無名の / 『未確認の』,未発見の,未知の
unlace	〈靴など〉のひもを緩める,ひもを解く
unlatch	〈戸など〉の掛け金をはずす
unlawful	不法の,非合法的な・違法の
unlearn	〈学んだこと〉を忘れる;〈考え・習慣など〉を捨て去る
unlearned	学問のない;(…に)通じていない《+in+名》 / 教育のない・学んで覚えたのでない; 無学な, 無教育な・学ばないで知っている
unleash	…の皮ひもをはずす / …を[どっと]解き放つ
unleavened	パン種を入れない / 《比喩的に》新たな影響を受けていない;改善されない
unless	『もし…でなければ』,…でないかぎり
unlettered	無学の,無教育の(uneducated) / 読み書きのできない,文盲の(illiterate)
unlike	『…と[は]違って』,と異なって / …に似ていない;…らしくない / 『似ていない』,異なる
unlikelihood	(…が)ありそうもないこと,(…の)見込みのなさ《+of+名(doing)》
unlikeliness	ありそうもないこと,見込みのなさ(unlikelihood)
unlikely	《補語にのみ用いて》『ありそうもない』,考えられない / うまくいきそうもない,見込み(将来性)のない
unlimber	〈大砲〉の前車をはずす / …の使用(行動)の準備をする / 発砲の準備をする / 使用(行動)の準備をする 柔軟でない しなやかではない 柔軟にする しなやかにする 行動の準備をする
unlimited	(空間的に)限りない,果てしない(boundless) / 無制限の,無条件の / 過度の,非常な(excessive)
unload	(…から)〈荷・乗客〉を『降ろす』《+名+from+名》 / 〈船・車など〉の積み荷を降ろす / 〈銃・大砲など〉から弾丸を抜く / (また《英》off-load)〈悩みなど〉を口にする;(人)〈悩みなど〉を打ち明ける《+名+to(on)+名〈人〉》 / 《話》〈不用品など〉を処分する / 〈船などが〉積み荷を降ろす
unlock	〈戸・箱など〉の錠を開ける / 〈つかんでいた手など〉を離す / 〈秘密など〉をもらす,打ち明ける / 錠が開く / 拘束が解かれる(緩む)
unlooked-for	《文》意外な,予期しない(unexpected)
unloose	(…から)〈鳥・捕虜など〉を離してやる,解放する《+名+from+名》 / 〈つかんだ手など〉を緩める,解く
unloosen	…を緩める,解く,はずす
unlucky	(人が)『不運な』,つきのない / 《文》(物事が)縁起の悪い,不吉な;あいにくの
unmade	作られていない;(寝床の準備などが)できていない
unman	…の勇気をくじく,…をめめしくする
unmanly	男らしくない,ひきょうな / めめしい,柔弱な
unmanned	(船・宇宙船など)乗組員がいない,無人の
