unsaturated	(有機化合物が)不飽和の / (一定温度で)さらに溶解可能の
unsightliness	見苦しさ,不体裁
unsightly	見苦しい,みっともない,目ざわりな
unskilled	未熟な;経験(技量)不足の / 熟練(訓練)を必要としない
unskillful, unskilful	へたな,不器用な,未熟な
unsnap	…のスナップをはずして脱ぐ
unsnarl	…のもつれを解く(ほどく)
unsociable	打ち解けない,人づき合いの悪い
unsocial	非社会的な;非社交的な;家庭生活が優先する
unsolved	未解決の,未解答の
unsophisticated	世慣れていない,人ずれしてない,素朴な,うぶな
unsound	(建物・考え方などが)堅固でない,ぐらついている / 根拠のない,正しい判断に基づかない,論理的でない / 安全(安定)性のない,当てにならない / (心・身体が)健康でない,病的な,不健康な
unsparing	けちけちしない,物惜しみをしない / 遠慮会釈のない
unspeakable	口では言えない,言語に絶する,ひどい
unspeakably	口では言えないほど,なんともひどい
unspoiled	害されない,損なわれない
unspoken	口に出さない,無言の
unspotted	《古》道徳的に潔白な,非の打ち所のない / はん点のない,まだらでない
unstable	(物が)不安定な,ぐらぐらする / 情緒不安定な,落ち着のない / (気候・経済などが)安定性のない,不安定な / (化合物が)分解しやすい
unsteady	ぐらぐらする(shaky) / 不安定な,一定しない / (行為などが)むらのある,あてにできない
unstop	…の栓を抜く,口を開ける / 〈下水溝〉から詰まった物を取り除く
unstressed	(音声が)アクセントのない;強調されない
unstrung	unstring の過去・過去分詞 / (弦楽器・弓などが)弦をはずした(緩めた) / 自制心を失った,取り乱した
unstuck	しっかり留められてない,くっついていない / うまくいかない
unstudied	(行為などが)自然な,わざとらしくない
unsubstantial	がんじょうでない,もろい,弱い / 実質(実体)のない;非現実的な,空想的な
unsuccessful	不成功の,失敗の;(…に)失敗する《+in+名(doing)》
unsuitable	不適当な,ふさわしくない;(…に)不適な《+for(to)+名》
unsuited	不適当な,適合しない;(…に)不適当な《+to(for)+名》
unsullied	汚れがない, 汚点のない; 非の打ち所のない
unsung	詩歌でたたえられていない / 歌われない
unsure	不安定な,不確実な
unsurpassed	勝るものがない,卓絶した,無比の
unsuspected	疑われない,怪しまれない / 思いもよらない
unsuspecting	疑わない,怪しまない
unswerving	(意志などが)確固とした,不動の
unsympathetic	思いやりがない;(…に)同情しない《+to+名》
untamed	飼い慣らされていない,言うことをきかない
untangle	…のもつれを解く,をほどく / 〈混乱・事件など〉を解明する,解決する
untapped	(たるなどが)口を切っていない / 利用されていない
untaught	教えられて会得したのではない / 無学の,無教育の
untenable	擁護(支持)できない;維持できない
unthinkable	全く考えられない;《話》とてもありそうもない
unthinking	考えのない,軽率な / 思考力のない,気がつかない
unthought-of	思いもよらない,意外な
untidily	だらしなく;無精に;乱雑に
untidiness	だらしないこと;無精;乱雑
untidy	だらしがない;無精な;乱雑な
untie	〈結び目・包みなど〉を解く,ほどく / (…から)…のひもを解いて放す;(…から)…を放す,自由にする《+名+from+名》
until	《継続の期限》『…まで[ずっと]』 / 《否定語の後に》『…までは[しない]』,…になって初めて[…する] / 《継続の期限》『…する時まで[ずっと]』 / 《結果》(…して)『ついに』 / 《否定の主節に対して》『…するまでは[…しない]』,…して初めて[…する](before)
untimeliness	時機を失していること,時機の悪さ
untimely	早すぎる,まだその時期できない / おりの悪い,時機を得ない / 早すぎて,おり悪く
untinged	なんの兆候も示さない
untiring	疲れない,疲れを知らない / たゆまない,不屈の
unto	…に,の方へ,まで(to)
untold	話されない,明らかにされない / 数え切れない,計り知れない
untouchable	触れてはならない / 遠すぎて手が届かない;統制の及ばない / (不愉快で)触れる気になれない;さわると危険な / 不可触賎民(インドの最下層民)
untouched	触れられない / 使われていない;食べられていない / 心を動かされない,感動を受けない
untoward	都合の悪い,不運な / 始末に負えない,強情な
untrained	訓練を受けていない,練習を積んでない
untried	試みられていない,試験されてない / 未審理の,公判を受けていない
untrodden	踏まれていない,前人未踏の
untrue	真実でない,虚偽の;(…に対して)不誠実な《+to+名》 / 寸法が合わない,不正確な
untruth	真実でないこと,虚偽;〈C〉偽り,うそ
untruthful	真実性に欠ける,事実に反する / うそをつく
untutored	訓練(教育)を受けていない
untwist	よりがもどる,ほどける,〈糸〉のよりをもどす,〈もつれ〉をほどく
unused	使用していない / 《補語にのみ用いて》(…に)慣れていない《+to+名(doing)》
unusual	『普通でない』,異常な;まれな,珍しい(rare) / 独特の,特有の
unusually	『異常に』,一風変わって / 《話》非常に,ひどく
