hubris	強い自負,ごう慢,おごり高ぶり
hump	〈C〉(背中の)こぶ,(ラクダ・野牛などの)背こぶ / 〈C〉丸い丘(mound) / 〈U〉《the ~》《英話》不きげん,かんしゃく / 〈背〉を丸める / 《英話》…を背にのせて運ぶ
humpback	ねこ背 / ねこ背の人,せむし
humpbacked	ねこ背の,せむしの
humph	ふん,ふふん(不満・軽べつなどを表す)
humus	(動・植物の腐敗によって作られた)腐植土
hunch	〈両肩・背中など〉を丸める / 前かがみの(うずくまった)姿勢をとる / 〈C〉(せむし・ラクダなどの)こぶ(hump) / 《単数形で》《話》(…という)感,六感《+『that節』》
hunchback	=humpback
hunchbacked	=humpbacked
hundred	百 / 〈C〉(数の)『100』 / 《複数形で》何百(もの…),多数(の…)《+『of』+『名』〈『複数』〉》 / 〈C〉《米話》100ドル;《英話》100ポンド / 『100の』,100個の,100人の / 《a ~》数多くの
hundredfold	100倍の
hundredth	《the ~》『第100の』,100番目の / 100分の1の / 〈U〉《the ~》『第100』,100番目[のもの] / 〈C〉100分の1
hundredweight	重量の単位(《略》『cwt.』)(《英》112ポンド=50.8キロ;《米》100ポンド=45.36キロ)
hung	hangの過去・過去分詞
hunger	〈U〉『飢え』,空腹 / 〈C〉《単数形で》(…に対する)『渇望』,熱望《+『for』(『after』)+『名』》 / 空腹を感じる,腹がへる / (…を)切望する,熱望する(long)《+『for』(『after』)+『名』》
hunger march	(失業者などが示威として行う)飢餓行進
hunger strike	ハンスト,ハンガーストライキ
hungrily	飢えて,がつがつと
hungriness	飢え,がつがつしていること
hungry	『飢えた』,空腹の;空腹にさせる / 《補語にのみ用いて》(…を)熱望して,渇望して《+『after』(『for』)+『名』》 / (土地などが)不毛の,やせた
hunk	(パン・肉などの)大きな塊《+『of』+『名』》
hunker	しゃがむ / 尻(しり)
hunky	=honky
hunky-dory	けっこうな,すごい
hunt	〈野生の鳥・動物〉を『狩る』,〈獲物のいる場所〉を狩る,〈馬・犬など〉を狩猟に使う / 〈物・仕事など〉を捜す,見つけようとする / (…を求めて)〈場所〉をくまなく捜す《+『名』+『for』+『名』》 / (…から)…を追いやる《+『名』+『away』(+『away』+『名』)+『from』(『off』, 『out of』)+『名』》 / 『狩りをする』 / (…を)捜し求める《+『for』(『after』)+『名』》 / (…を求めて…を)くまなそ捜す《+『in』(『through』)+『名』+『for』+『名』》 / 『狩り』,狩猟;《英》キツネ狩り / 狩猟隊(会) / (…の)捜索;追求《+『for』+『名』》
hunter	(また『huntsman』)『ハンター』,狩猟家 / 猟犬;(特にキツネ狩りの)猟馬 / (…の)追求者;(…を)探求する人《+『for』(『after』)+『名』》
hunting	狩り,狩猟;《英》キツネ狩り(fox hunting);《米》銃猟(shooting) / 追求,探求
hunting crop	(短い)乗馬用むち
hunting ground	狩猟場 / (一般に)望みの物を捜し回る場所
hunting pink	(キツネ狩り用コートの)赤い色 / 赤い色の
huntress	女性狩猟家
huntsman	=hunter / 狩猟家; (キツネ狩の)猟犬係・(特にキツネ狩りの)狩猟隊の幹事
hurdle	〈C〉(競技用)ハードル,障害物 / 《複数形で;単数扱い》ハードル競走 / 〈C〉困難,障害物 / 〈C〉(臨時に家畜の囲いなどに用いる移動式の)編み垣 / (競技で)〈ハードルなど〉を跳び越す / 〈困難・障害など〉を克服する,に打ち勝つ(overcome)
hurdler	ハードル競技選手
hurdy-gurdy	手回し風琴
hurl	(…に)…を『強く投げる』,ほうり投げる《+『at』(『upon, against』)+『名』》 / (…に)〈悪口など〉を浴びせる《+『名』+『at』+『名』》 / 投げつけること
hurler	投手
hurling	アイルランド式ホッケー(各チーム15人からなる)
hurly-burly	大騒動,大混乱
hurrah	=hurray
hurray	万歳;フレー,がんばれ / 万歳,歓呼の声;がんばれという掛け声 / 万歳を叫ぶ;応援する(cheer)
