halftime	(フットボール・バスケットボールなどの)中休み,ハーフタイム
hammer	『金づち』,ハンマー / ハンマーに似た物,(銃の)撃鉄,(ピアノの弦を打つフェルトの)つち,(競売人の)木づち,(ベル・ゴングなどの)打ち子 / (ハンマー投げの)ハンマー / (耳の中の)槌骨(ついこつ) / (金づち・こぶしなどで)…を『こつこつとたたく』(『打つ』)《+『名』+『with』+『名』》 / …をつちでたたいて作る《+『名』+『out,』+『out』+『名』》 / (人の頭に)〈考え・事柄など〉を繰り返して教え込む《+『名』+『into』(『in』)+『名』》 / 《話》〈相手〉を打ち負かす,やっつける / (…を)金づちで打つ;(つえやこぶしなどで)(…を)ドンドンとたたく《+『at』(『on』)+『名』》
hammer and sickle	つちとかま(共産主義の標章;旧ソ連邦の国旗)
hammerhead	シュモクザメ(頭部がハンマーの頭に似ている)
hammerlock	(レスリングで)腕固め(相手の片腕を背中にねじ上げる技)
hammertoe	槌(つい)状足指(かぎ状に曲がった足の指の奇形)
hammock	ハンモック
hamper	…をじゃまする,妨げる / (食べ物を入れるふた付きの)手さげかご / 《米》洗たく物かご
hamster	ハムスター,チョウセンネズミ
hamstring	膝腱(ひざ(後脚)の後ろのくぼんだところの腱(けん)) / 〈人や四足獣〉の膝腱を切る
hand	『手』(手首から先の部分) / (時計・計器の)針 / 《単数形で》筆跡 / 側,方(side) / 《a~》(…への)援助,手助け《+with(at, to)+名》 / 職工,職人,人手 / 乗組員 / 《前に形容詞を置いて》(…するのが)(じょうずな・へたな)人《+『at』+『名』(do『ing』)》 / 《単数形》技量,腕前;(…の)やり方,扱い方《+『at』(『with』)+名》 / 《単数形で》拍手かっさい / 《文》《one's~,the,》結婚の承諾;確約 / (カードの)持ち札;一勝負 / 《しばしば複数形で》所有,管理 / ハンド(馬の高さを測る単位;4インチ) / 《『hand』+『名』〈間〉+『名』〈直〉=『hand』+『名』+『to』+『名』》…に…を『手渡す』,取ってやる / 《副詞[句]を伴って》〈人〉に手を貸す / 手の(に関する),手のための / 手で操作する / 手持ちの
hand luggage	(旅行者の)手荷物
hand-carry	(消費者が生産者から)…を産地直送で仕入れる
hand-me-down	お下がり[の衣服](《英話》reach-me-down)
hand-to-hand	接近戦の,肉薄した
hand-to-mouth	その日暮らしの
handbag	(婦人用)ハンドバッグ / 小型スーツケース
handball	〈U〉ハンドボール / 〈C〉ハンドボール用のボール
handbarrow	小さな手押し車 / (四隅に取っ手のある)担架式運搬具
handbill	広告ビラ,散らし
handbook	手引き,便覧,学習書 / 案内書,旅行案内
handbrake	(車の)手動ブレーキ
handcar	(線路上を走らせる)手動車
handcart	手押し車
handclap	拍手,手拍子
handclasp	(友情・連帯をあらわす)固い握手
handcraft	=handicraft / …を手仕事で作る
handcuff	手錠 / …に手錠を掛ける
handed	「…の手をした;…の手でする」の意を表す / 「…人(にん)でする」の意を表す
handful	(…の)『一握り』,一つかみ《+『of』+『名』》 / 《a handful》(…の)わずか,少量,少数《+of+名》 / 《話》手に負えない人(物事)
handgun	(片手で扱う)短銃,ピストル
handhold	(岩・壁画などの)手がかり,つかまえ所
handicap	『ハンディキャップ』(競技などで全員に優勝の機会を与えるため優者(劣者)につける不利(有利)な条件) / ハンディキャップつきの競技(競争) / (一般に)『不利の条件』 / …を不利な地位に置く / (競技などで)〈優者〉にハンディキャップをつける
handicapped	身体(精神)に障害のある / 身体(精神)障害者
handicapper	(競馬の)予想屋
handicraft	〈C〉《通例複数形で》(編物などの)手芸・ 手細工,手芸,手仕事・〈U〉手先の器用さ(熟練)・〈C〉手芸品
handily	手際よく,器用に / 便利に(conveniently) / 容易に
handiness	器用,じょうず / 手ごろ,便利
handiwork	〈U〉手工,手細工 / 〈C〉手工品,手作り品 / 〈U〉しわざ
handkerchief	ハンカチ / 《古》ネッカチーフ
handle	『取って』,柄,ハンドル / 手がかり,きっかけ / 《話》(sirなどの)肩書き / …に『手で触れる』;手で持つ / 〈材料・道具など〉を手で扱う / 〈人・動物など〉を『扱う』,統制する / 〈問題など〉を扱う,処理する,〈曲など〉を弾きこなす / 〈商品〉を扱う,商う / 〈自動車などが〉扱われる,操縦される(できる)
handlebar	(自転車・オートバイなどの)ハンドル
handler	(人・物を)扱う人 / 犬(馬など)を品評会に出す人 / (ボクシングの)介添え人
handloom	手織機,手織りばた
handmade	手製の,手で作った
handmaid	侍女,女中
handout	(こじきなどに与える)施し物 / 商品案内,広告ビラ / (広告主・政府機関などが新聞社へ渡す)新聞発表(原稿) / (学会などで資料として配布する)印刷物
handpick	…を注意して選ぶ
handrail	手すり,欄干
handsaw	(片手で使う)手のこぎり
handset	(電話の)送受話器
handshake	握手
handsome	『風采』(ふうさい)『のよい』,(通例男性が)魅力的で均整の取れた,目鼻だちの整った(good-looking),りっぱな / (形・色などが)優れた,みごとな…(趣味などが)洗練された / (数量が)かなりの,たっぷりの / 《米》器用な,上手な
handsomely	りっぱに;豪勢に
handspring	(手を地に着けてする)とんぼ返り
handstand	逆立ち
handwork	手仕事
handwrite	…を手書きする
