hackman	貸し馬車の御者
half	〈C〉〈U〉『半分』,2分の1;約半分 / 〈U〉《時刻を表す数詞と共に用いて》『半』,30分 / 〈C〉《おもに英》(2学期制の学校での)前(後)期 / 〈C〉(競技などの)前(後)半;(野球で1イニングの)表(裏) / 〈C〉=halfback / 『半分の』 / 不十分な,中途はんぱな / 『半ば』,半分[だけ] / 半時間だけ,30分だけ / 不完全に / かなり,ほとんど
half [a] crown	(英国の1971年以前の)半クラウン硬貨
half [a] dozen	6個,半ダース
half crown	=half a crown
half dozen	=half a dozen
half life	(放射性物質の)半減期
half note	2分音符(minim)
half size	ハーフサイズ(12 1/2から24 1/2までの小柄な婦人の服サイズ)
half step	=half tone / (米軍で)半歩
half term	(学期の間にある2・3日間の)中間休み
half volley	(テニス・クリケットの)ハーフボレー(地面からはね上がった球をすぐ打つこと)
half yearly	半年ごとの / 半年ごとに
half-and-half	半々の(に);どっちつかずの(に) / 半々の混合物
half-baked	半焼けの / 《話》(計画・人などが)不十分な,未熟な,未経験の
half-breed	《時に軽べつして》(特に白人とアメリカインディアンとの)混血児 / (動・植物の)雑種
half-brother	異母(父)兄弟,腹違い
half-caste	(特にヨーロッパ人とアジア人の)混血児
half-dollar	(米・カナダなどの)半ドル(50セント)銀貨
half-dozen	半ダースの,6個の
half-hardy	(植物が)半耐寒性の
half-holiday	半日休みの日,半ドン
half-hour	半時間,30分 / (…時半というときの)半,30分 / 半時間の(から成る)
half-length	上半身の
half-mast	半旗(弔旗)を掲げる位置
half-moon	半月;半月の形
half-pint	半パイント / 《話》ちび
half-sister	異母姉妹,腹違い
half-slip	(婦人の)スリップスカート
half-sole	(靴の)半底(土踏まずからつま先まで)
half-timbered	(建物が)木骨塚りの
half-truth	一部だけ真実の言葉
half-witted	知能の足りない;ばかの,まぬけの
halfback	(フットボールなどの)ハーフバック,中衛
halfcock	撃鉄が半分上がった位置 / 準備の不十分
halfcocked	銃の撃鉄が半分上がった / 準備不足の
halfhearted	乗り気でない,熱のない
halfpence	halfpennyの複数形 / 小銭
halfpenny	(英国の)半ペニー[青]銅貨
halfpennyworth	半ペニー分[の量]
