hidalgo	(スペインの)小貴族,下級貴族
high mass	(カトリックの)荘厳ミサ(歌・音楽を伴うミサ)
high noon	正午
high priest	大祭司
high relief	(彫刻の)高浮き彫り
high school	『ハイスクール』(小学校卒業後に入学する中等学校;8‐4制では9‐12年級の学校;6‐3‐3制では,7‐9年級のjunior high schoolと,10‐12年級のsenior high schoolから成る;6‐2‐4制では7‐8年級のjunior high schoolと,9‐12年級のsenior high schoolから成る)
high seas	公海
high season	(商売の)最盛期,(観光地などの)書き入れ時
high spot	満足のいったこと,忘れられないこと
high street	(商店などの集まった)町の大通り,本通り
high table	(英国の大学の食堂の)教授専用食卓
high tea	《英》〈U〉夕方にとる軽食を兼ねたお茶の時間 / 〈U〉(家庭的で実質的な)夕食風のお茶会(アフタヌーンティーより遅い時間に取られる)
high tide	〈C〉〈U〉高潮(たかしお),満潮 / 〈C〉《単数形で》最高潮,絶頂
high time	潮時,ころあい,いい時
high treason	大逆罪(国家・政府などに対する反逆)
high voltage	高電圧
high water	〈U〉満潮[時] / 〈C〉《単数形で》(川などの)最高水位
high water mark	最高水位線(川などで水の到達した最高の位置を示すマーク) / (物事の)最高点,絶頂
high-and-mighty	ごう慢な
high-class	高級の,上等の;上流の
high-flier, high-flyer	志の高い人,野心家
high-flown	(目的・要求などが)途方もない,野心的な / (言葉が)誇張した,大げさな
high-grade	上等の,高級の
high-keyed	(音程が)高音の / 緊張(興奮)度の高い
high-level	高級の,地位の高い / 高所からの
high-minded	気高い,高潔な
high-octane	オクタン価の高い
high-pitched	(声などが)調子の高い,かん高い) / (屋根がこう配の急な
high-powered	(機械などが)高性能の,馬力の強い / (人が)極めて精力的な
high-pressure	高圧の,高圧に耐える / 高気圧の / 《話》高圧的な,無理強いの / …を強引にさせる,買わせる
high-principled	高潔な,高貴な
high-ranking	高い階級の
high-rise	(建物が)高層の / 高層建築の / 建物の高いところにある / 高層建築
high-sounding	(言葉・考えなどが)ぎょうぎょうしい,大げさな
high-speed	高速度の
high-spirited	元気いっぱいの,活力にあふれた
high-strung	非常に緊張した,神経質な,興奮しやすい
high-tension	高圧電流の
high-test	(ガソリンが)沸騰点の低い
high-toned	(性格などが)高潔な,育ちのよい / (演説などが)格調の高い
highball	ハイボール(ウイスキーをソーダ水または水で割った飲料)
highborn	高貴な生まれの
highboy	脚付きの高い洋だんす
highbrow	知識人,インテリア;教養を鼻にかける人 / インテリの,知識人向きの
highchair	脚の高い幼児食事用いす
higher	highの比較級 / 《名詞の前にのみ用いて》高等な,高度の;上級の / highの比較級
higher-up	上役,高官
highfalutin	もったいぶった,大げさな
highflying	高く飛ぶ / 野心的な
highhanded	高圧的な,高飛車の,横暴な
highjack	=hijack
highland	〈C〉《おもに複数形で》高地[地方] / 《the Highlands》スコットランドの北部および中部の高地地方
highlife	《しばしばthe~》上流社会の生活 / 西アフリカの強烈なリズムの踊り
highlight	(絵画・写真などの)最も明るい部分,ハイライト / (事件・勝負・ニュースなどの)最も目立つ部長,最高潮の場面,呼び物 / 〈絵画・写真などの部分〉にハイライトを置く,…を最も明るくする / …を強調する
highly	『高度に』,『非常に』,大いに / 高い位に,高貴に / 高価で(に),高給で(に)
highly-strung, high-strung	神経過敏な,かっとしやすい
highness	(…の位置・程度・地位などが)高いこと《+『of』+『名』》 / 《H-》《His(Her, Your)~》殿下(皇族に対する敬称)
highroad	《おもに英》幹線道路,本道(highway) / 《比喩(ひゆ)的に》楽な道
hightail	そそくさと立ち去る,急いで逃げる
highway	(特に都市間を結ぶ)『幹線道路』,公道 / 《比喩(ひゆ)的に》楽な道
highwayman	(特に馬に乗って公道に出没する)追いはぎ
hijack, highjack	〈輸送中の貨物〉を盗む / 〈運行中の飛行機など〉を乗っ取る / ハイジャック事件
hijacker,highjacker	ハイジャック犯人
hike	『ハイキング』(『徒歩旅行』)『する』 / …をぐいと引っ張り上げる《+『up』+『名,』+『名』+『up』》 / 〈物価など〉を引き上げる / 『ハイキング』,徒歩旅行 / 《米話》(物価などの)引き上げ
hiker	徒歩旅行者,ハイカー
hiking	ハイキング
hilarious	とてもおかしい,こっけいな / 陽気に騒ぐ
hilarity	おもしろさ,おかしさ;陽気な騒ぎ
hill	『丘』,小山 / (特に道路の)傾斜,坂 / 盛り上げた土砂,塚
