haven	安全な所,避難場所 / 《まれ》港
header	頭[部]を取り去る機械,(特に)穂先を切り取る機械 / (くぎなどに)頭[部]を付ける機械 / (サッカーで)ホールを頭で処理すること / 逆さ飛び込み
headfirst	=headlong
headgear	かぶり物(帽子類) / (馬に着ける)おもがい
headhunter	首狩りを行う未開人 / 人材を引き抜く人
headhunting	(未開人の)首狩り
heading	(章・節などの)表題,見出し
headlamp	=headlight
headland	岬(海・湖に突き出た陸地)
headless	頭のない / 指導者のいない
headlight	(自動車・機関車などの)前照灯,ヘッドライト
headline	(新聞などの)見出し,表題 / 《複数形で》(ニュース放送の)おもな項目 / 〈新聞など〉に見出しをつける
headlock	ヘッドロック(レスリングで相手の頭を脇の下で締めつける技)
headlong	『まっ逆さまに』 / 向こう見ずに / 『まっ逆さまの』 / 向こう見ずな
headman	指導者,首長,酋長
headmaster	《英》(小中学校の)校長(principal) / 《米》(私立学校の)校長
headphone	ヘッドフォン(電話・ラジオなどの耳に当てる受信器)
headpiece	頭にかぶるもの,帽子,ヘルメット / (章・ページなどの最初の)花形飾り
headquarters	『本部』,(軍隊の)司令部,(警察の)本署 / (一般に)活動の中心,本拠,本社 / 《集合的に》本部員,司令部員
headrest	(いす・車の座席の)頭の支え
headroom	(トンネルなど天井までの)あき高,桁(けた)高
headset	=headphone
headshrinker	精神科医(psychiatrist)
headsman	首切り執行人・首切り役人
headstall	(馬具の)おもがい(面繫)
headstone	(墓の頭部に立てた)墓石 / (建物の)かなめ石,礎石
headstrong	わがままな,頑固な,強情な
headwaiter	(レストランの)ボーイ長,給仕長
headwaters	(川の)源流,上流
headway	(困難を排除しての)前進
headwind	向かい風,逆風
headword	(辞書などの)見出し語
headwork	頭脳(精神)労働
heady	せっかちな,向こう見ずな / (酒などが)頭にくる / 気分を浮き立たせる
heal	〈傷など〉を直す / 〈悩み・不和など〉をいやす,治める / 〈傷などが〉直る《+『up』(『over』)》
healer	(…を)治療する人(物),(…の)医者,薬《+『of』+『名』》
health	『健康』,健全 / (体の)状態,調子 / 《To one's health!》(健康を祝しての)乾杯
health center	総合医療センター
healthful	健康によい,健康を増進させる
healthily	健康で,健全に
healthiness	健康であること,健全さ
healthy	(人・身心などが)『健康な』,健全な / 『健康によい』,健康を増進する
heap	〈C〉(積み重なった物の)『山』,塊,堆積(たいせき) / 《米方》《英語》《a~, heaps》『たくさん』(の…),多数[量](の…)《+『of』+『名』》 / 《複数形で》《副詞的に》《話》非常に,大いに(much) / …を『積み上げる』,蓄積する《+『up』+『名』,+『名』+『up』》 / (…を)…に山と積む《+『名』+『with』+『名』》 / (…に)…を山と積む,山ほど与える《+『名』+『on』(upon)+『名』》
hear	〈音〉が『聞こえる』,を聞く(進行形にできない) / 〈人の言うこと〉に『耳を傾ける』,を注意深く聞く(listen);(裁判官などが)…の申し立てを聞く / 〈うわさ・ニュースなど〉を『耳にしている』,聞いている / 『耳が聞こえる』 / 《しばしば命令形で》耳を傾ける,注意を向ける / 『うわさ』(『消息』)『を聞く』
heard	hearの過去・過去分詞
hearer	聞き手;傍聴人
hearing	〈U〉『聴力』,聴覚,〈U〉〈C〉(…を)『聞くこと』,(…の)聞き取り《+『of』+『名』》・〈C〉聞いてもらう機会,聞いてやること・聴取・聴聞会〈C〉(法廷などでの)尋問,審問,;(刑罰の減免を求める)釈明,意見陳述 / 〈U〉聞こえる距離(範囲)
