handwriting	〈U〉肉筆,手書き / 〈C〉筆跡,書体
harbourage	= harborage・〈C〉(船の)避難所,停泊所,〈U〉避難,保護
hard	(物体が)『堅い』,(手触りが)堅固な,しっかりした / 『難しい』,努力を要する / 《名詞の前にのみ用いて》(人が)『精力的な』,勤勉な / 激しい,猛烈な / (生活などが)耐え難い,つらい / (季節・天候などが)厳しい;(雨・風などが)激しい / (人が)厳格な;(行為などが)容赦しない,無情な / (方針・条件などが)妥協(譲歩)しない,厳しい / (感情が)うらみを含む,憤然とした / (体が)筋肉質の,がんじょうな / (紙幣に対して)硬貨の,(小切手などに対して)現金の;(貨幣が)容易に兌換(だかん)できる / (子音が)硬音の(c,gがcome, goのように[k],[g]と発音される) / アルコール分の多い / (水が)硬質の / (エックス線が)透過能力が大きい / 一生懸命に,『熱心に』 / 『強く』,激しく,大いに / やっと,かろうじて / 『堅く』 / ひどく悲しんで / 接近して
hard cash	現金,即金
hard cider	=cider 2
hard coal	無煙炭
hard court	アスファルト(コンクリート)テニスコート
hard currency	(ドルなど)他国通貨に容易に換えられる硬貨
hard drink	アルコール分の強い飲料(ウイスキーなど)
hard drinker	大酒飲み
hard drug	麻薬(ヘロインなど)
hard feelings	(人に対する)悪感情,不快感
hard luck	お気の毒に,おあいにくさま
hard luck story	(援助などを求めるための)不幸な身の上話
hard nut	やっかいな物(人)
hard palate	硬口蓋(がい)
hard rock	ハードロック(強いビートのロック音楽)
hard rubber	硬質ゴム
hard shoulder	(高速道路などの)路側帯
hard-bitten	がんこな,不屈の,強情な
hard-line	強固路線(政治信条などの妥協しない・譲れない立場・見解) / 信条を曲げない,妥協しない
hard-sell	強引な販売法,押し売り
hard-shell	がんこな,妥協しない
hardback	=hardcover
hardball	硬式野球
hardboard	硬質繊維板,ハードボード《壁板・床板・家具用など》
hardboiled	(卵など)堅ゆでの / (人が)非情な,冷酷な;(物の見方などが)現実的な,ちゃっかりした;(文学の作風が)非情派の,ハードボイル派の
hardbound	(本が)堅表紙の
hardcore	容易に変わらぬ,強固な;中核の / (道路など最下層の)砕石層 / 《the~》(運動などの)中心人物たち
hardcover	堅表紙の本 / (本が)堅表紙の
harden	〈物〉を『堅くする』,固める / 〈人・心〉を『がんこ(非情)にする』,かたくなにする;〈人〉を(…に)無感覚にする《+『名』〈人〉+『to』+『名』(do『ing』)》 / 〈体など〉を強くする,鍛練する / 〈信念・信仰など〉を強固にする / 〈物が〉堅くなる,固まる / 〈人・心が〉かたくなになる,がんこになる / 〈体が〉強くなる / 〈信念・信仰などが〉強固になる,固まる
hardened	堅くなった・心を堅くした;無情の・常習的な,札つきの・面の皮の厚い
hardhat	(安全帽をかぶった)建設労働者;反動主義者
hardheaded	(特に商売で)抜けめのない,現実的な
hardhearted	不人情な,冷酷な
hardihood	大胆(boldness);ずぶとさ,厚かましさ
hardiness	頑健;耐久力
hardlabor,hardlabour	(懲罰としての)重労働
hardliner	信条を曲げない人
hardly	『ほとんど』…『ない』,おそらく…ない;《遠回しに》少しも(全く)…ない
hardness	(物の)堅さ,強度;(水の)硬度 / 困難,難しさ / 厳しさ,冷酷
hardnosed	鼻っ柱が強い / とても実際的
hardpan	硬い地盤,岩床
hardship	〈U〉『辛苦』,苦難,難儀 / 〈C〉難事
hardstand	(飛行場の滑走路に隣接した)舗装駐機場
hardtack	(兵士・船員用などの)堅パン,乾パン
hardtop	ハードトップ(金属製の屋根の自動車)
hardware	《集合的に》金物類,鉄器類 / ハードウエア(電子計算機の機械部分)
hardwearing	(衣類・靴など)長持ちのする
hardwood	(カシ・マホガニーなど材質の堅い)堅木(かたぎ)
hardworking	働き者の,勤勉な
hardy	(人・動物が)『がんじょうな』(strong);耐久力のある / (植物などが)耐寒性の
hare	『野ウサギ』(rabbitよりも大きく穴居(けっきょ)性がない) / 速く走る《+『off』(『away』)》
hare and hounds	=paper chase
harebell	イトシャジン(青い釣鐘形の花をつける植物・夏から秋にかけて薄青の花を開く)
harebrained	(人・計画などが)気まぐれな,軽率な,向こう見ずな
harelike	野ウサギのような
