hearing aid	補聴器
heave	《副詞[句]を伴って》〈重い物〉を『力を込めて上げる』(『持ち上げる』);《話》…を持ち上げて投げる / 〈息・声〉を『苦しそうに出す』 / 〈胸など〉を膨らませる,上下させる / 〈いかり〉を巻き上げる / 《話》…を投げる / 上下動をする,〈土地などが〉起伏する,〈波などが〉うねる / 〈胸が〉波打つ,あえぐ / 吐き気がする,むかつく / 《副詞[句]を伴って》〈船が〉動く,移動する / (…を)力を込めて持ち上げること(放り投げること)《+『of』+『名』》 / 《単数形で》(…が)上下動すること;膨れ上がること,(…の)隆起;(波の)うねり《+『of』+『名』》
heaven	〈C〉《通例複数形で》『天』,『空』 / 〈U〉(神・天使などが住む)天国,極楽 / 〈U〉《H-》『神』(God) / 〈C〉〈U〉《話》天国のような場所;非常な幸せ
heaven-sent	天与の,願ってもない
heavenly	《名詞の前にのみ用いて》『天の』,空の / 《名詞の前にのみ用いて》天国の[ような],天来の / 《話》楽しい;美しい
heavenward	天に向かう / 天の方へ
heavenwards	=heavenward
heavily	『重く』,どさりと / 重そうに,のろのろと;重苦しく / 『激しく』,ひどく,大いに
heaviness	重いこと,重さ / 無気力 / ぎこちなさ / 重苦しさ
heavy	『重い』,重量のある / (分量・程度・規模・強さなどが)『激しい』,大きい / 『厳しい』,耐えがたい,つらい / 悲しい,陰気な / (動作が)のろい,ぎごちない / ものうい,だるい / (空が)曇った,うっとうしい,(海が)荒れた / (食物が)消化の悪い / 敵役,悪役
heavy hydrogen	重水素
heavy industry	重工業
heavy petting	(性交を伴わない)濃密な愛撫
heavy water	重水(重水素と普通の酸素から成る水)
heavy-duty	{形}(機械などが)長持ちのする,頑丈な / {形}過酷な用途向けの / {形}《口》非常に強力な / 重大な
heavy-handed	手荒に扱う,無器用な / 横暴な,粗野な
heavy-hearted	重い心の,悲しい
heavy-laden	重荷を負わされた / 悩み事の多い
heavyset	やや太めの,がっしりした
heavyweight	目方の重い,重量のある / ヘビー級の / 平均体重以上の人(動物) / (ボクシング・レスリングの)ヘビー級選手(175ポンド,約79.4キログラム以上)3有力者
hebdomadal	1週間の,1週1回の
hecatomb	《文》大虐殺 / (古代の)雄牛100頭のいけにえ
heck	ちぇ,ちくしょう / (強意語として)hellの遠回しの語
heckle	〈弁士・演説〉をやじり倒す,質問攻めにする / やじる
heckler	やじる人,質問攻めにする人
hectare	ヘクタール(面積の単位;100アール;《略》『ha』)
hectic	興奮した,熱狂した,てんてこ舞いの / (病気などで)ほおが紅潮して熱のある
hectically	興奮して,熱狂して
hectogram	ヘクトグラム(100グラム;《略》『hg』)
hectoliter,hectolitre	ヘクトリットル(100リットル;《略》『hl』)
hectometer,hectometre	ヘクトメートル(100メートル;《略》『hm』)
hector	〈人〉を脅す,いじめる(bully) / いばりちらす
hedge	『生け垣』 / (一般に)障壁,境界 / (危険などから)守るもの,(…に対する)保護手段《+『against』+『名』》 / …を生け垣(垣根,さく)で囲む / 〈かけ,投資〉を両方にかけて丸損を防ぐ / (自由に動けないように,障害などで)…を囲む,束縛する《+『名』+『in』(『round』)+『with』+『名』,+『in』(『round』)+『名』+『with』+『名』》 / 確答をしない,逃げ道を作っておく
hedge sparrow	ヨーロッパカヤクグリ(欧米に多いイワヒバリの一種)
hedgehog	ハリネズミ
hedgehop	超低空飛行をする
hedgerow	(生け垣を作る)低木の列;生け垣
hedonism	快楽主義,快楽説
hedonist	快楽主義者
hedonistic	快楽主義の,快楽的な
heebie-jeebies	神経過敏,いらいら / 嫌悪感,困惑感
heed	〈警告・忠告など〉に注意する,気を付ける / 注意する / 注意,留意
heedful	用心深い;(…に)気を付ける《+『of』+『名』》
heedless	むとんちゃくな;(…に)不注意な《+『of』+『名』》
heehaw	ロバの鳴き声 / ばか笑い / 〈ロバが〉鳴く / ばか笑いする
heel	(人間の足の)『かかと』 / (人間以外の脊椎(せきつい)動物の)かかと / (手首に近い)手のひらの縁の肉の盛り上がった部分 / (靴・靴下などの)かかとを包む部分 / (靴の裏の)かかと,ヒール;《複数形で》ヒールのついた靴;ハイヒール / (形・用途・位置などの)かかと状のもの / 《おもに米俗》卑劣な男 / …のすぐ後に付いて行く / 〈靴〉にかかとをつける / すぐ後から付いて行く / 〈船が〉傾く《+『over』》 / 〈船〉を傾ける / (船が)傾くこと
heelball	靴墨(くつずみ)の一種(靴みがき・刷り写しなどに用いる)
heeled	金持ちの,裕福な
