hormonal	ホルモンの,ホルモンの影響を受けた
hosanna	ホサナ(神・キリストをたたえていう言葉) / ホサナの叫び声
hose	〈U〉《集合的に》《複数扱い》靴下類(ソックスおよびストッキングを含む;商売に用いられる語) / 〈U〉《複数抜い》(昔男性がはいた)半ズボン,長ズボン,タイツ / 〈C〉〈U〉(水まきなどに使う)ホース,注水管 / …にホースで水をかける《+『down』+『名,』+『名』+『down』》
hosier	靴下・下着商,メリヤス商
hosiery	靴下類,メリヤス類
hosp.	hospital
hospice	(特に僧院に付属している参拝者・巡礼者の)宿泊所 / (病人・貧困者などの)収容所
hospitable	(人が)『もてなしのよい』 / (もてなし・応対などが)手厚い,とてもよい / 《補語にのみ用いて》心広く受け入れる;(新しいものなどを)よく受け入れる《+『to』+『名』》
hospitably	あいそよく,手厚く
hospital	『病院』
hospitality	〈U〉(客や他人に対する)『親切なもてなし』,歓待 / 〈C〉もてなす心
hospitalization,hospitalisation	入院[加療] / 入院期間 / 入院[費]保険
hospitalize,hospitalise	〈人〉を入院させる
host	(…の)大群,大勢《+『of』+『名』》(multitude) / (客を接待する)『主人』,『主人役』;(…の)主人[役]《+『to』+『名』》 / (旅館の)主人 / 寄生動(植)物の宿主 / 〈晩餐会など〉の主人役を務める,を主催する
hostage	人質
hostel	(学生などのための)宿泊施設 / =youth hostel
hosteler,hosteller	ユースホステルの宿泊者
hostelry	旅館,宿屋
hostess	(客を接待する)『女主人』,主人役の女性 / (レストラン・ナイトクラブなどの)『ホステス』 / (列車・船などの)女性サービス係,(航空機の)スチュワーデス / (旅館などの)女主人,おかみ
hostile	『敵の』,敵国(軍)の / 『敵意のある』,敵対する
hostility	〈U〉(…への)敵意,敵がい心《+『toward』(『to』)+『名』》 / 〈C〉敵対行為 / 《複数形で》戦争[状態]
hostler	(昔,宿屋で客の馬の世話をした)馬丁
hot	『熱い』;『暑い』 / (体が)熱い,ほてる;ほてらせる / (味が)『辛い』,ひりひりする / (気性などの)『激しい』;(気分・感情などの)高ぶった,興奮した(excited);《話》性的に興奮した / 《話》熱烈な,熱狂的な,熱心な(eager) / (状態や動きが)『激しい』,激烈な(violent) / (におい・色など)強く感じる,どぎつい / (ニュースなどが)『新しい』,発表されたばかりの;(料理などが)できたての / 《話》(獲物などの)すぐあとに迫った;(クイズなどで)正解に近い / 《話》(商品などが)人気のある,売れる / (ジャズが)ホットな,強烈な音とリズムの / 《俗》盗んだばかりの;不法に入手した / 熱く,暑く / 激しく,熱心に / 怒って
hot air	むだ話,つまらない考え
hot cross bun	十字印の菓子パン(おもに四旬節(Lent)の間に食べる)
hot flash, hot flush	(全身に走る)熱感(更年期の女性に起こる)
hot pants	ホットパンツ(女性用のショートパンツ)
hot plate,hotplate	電気(ガス)こんろ / (おもに電気で暖める)料理用鉄板;(器)
hot potato	困難な問題(状況),危険なもの(立場)
hot seat	《the hot seat》《俗》電気いす / 《話》窮地,追いつめられた立場
hot spring	温泉
hot stuff	良質の品物 / 色情をあおる人(物)
hot war	熱い戦争,武力を用いた戦争
hot water	湯 / 《話》苦境,難儀
hot water bottle	ゴム製湯たんぽ
hot-blooded	{形}激しやすい
