hillbilly	辺境出身者,(特に米国南部の)奥地の住民(出身者);山男
hoagy,hoagie	=hero sandwich
hoar	=hoary
hoard	(財宝などの)秘蔵;(食物などの)秘密の蓄え,買いだめ《+『of』+『名』》 / (ひそかに)…を貯蔵する,貯蓄する,ため込む
hoarder	財宝管理人;ためこみ屋
hoarding	(あき地などの)板囲い / 広告掲示板(《米》billboard) / 〈U〉秘蔵,貯蔵;買いだめ / 《複数形で》貯蔵物
hoarfrost	白霜
hoarhound	=horehound
hoariness	白髪であること / 古さ,老年
hoarse	(声の)しわがれた;(人・動物が)しわがれ声の
hoarsen	〈声〉をしわがれさせる / 〈声が〉しわがれる
hoary	(髪が)白い,(頭が)白髪の / 古い
hoax	(悪意のない)悪ふざけ / 〈人〉をかつぐ,に一杯くわせる;〈人〉をかついで(…)させる《+『名』+『into』do『ing』》
hoaxer	悪ふざけをする人
hob	なべ・やかんなどを冷めないように載せておく暖炉の中の両側の台 / いたずら小鬼
hobble	ぎこちなく足を引きずって歩く / (自由に動けないように)〈馬など〉の両脚を縛る / 〈人〉を困らせる,妨げる / 〈U〉びっこをひくこと / 〈C〉馬の足を縛る綱
hobble skirt	ホブルスカート(1910年ごろ流行したすその細いスカート)
hobbledehoy	気のきかない青年
hobby	(他の人と多少変わった)『趣味』,道楽
hobbyhorse	棒馬(棒の先に馬の頭がついていてそれにまたがって子供たちが遊ぶ);(メリーゴーランドの)木馬
hobgoblin	いたずら好きな小鬼(お化け)
hobnail	(靴の底に打つ頭の大きい)びょうくぎ
hobnailed	(靴など)びょうくぎを打った
hobnob	(人と)親しくつきあう,打ち解けあう《+『together with』+『名』》
hobo	浮浪労働者,ルンペン(tramp)
hock	(馬・牛などの後脚の)ひざ,飛節・(特に豚の)足肉 / …を質に入れる(pawn) / 質入れ / =Rhine wine 1
hockey	《英》[陸上]ホッケー;《米》アイスホッケー
hockshop	質屋
hocus-pocus	(奇術師の)呪文(じゅもん) / 手品,奇術 / ごまかし
