ventriloquism	腹話術
versatility	多才,多芸;用途が広いこと,万能
verse	〈U〉『韻文』,詩 / 〈C〉詩の一行 / 〈C〉詩節,連 / 〈U〉特定の詩形 / 〈C〉(聖書の)節
versed	(…に)熟練した,精通した《+in+名》
versicle	短詩[句](教会の祈りで会衆の答唱(response)に対し牧師が唱える短句;通例詩篇からの引用)(礼拝式で司祭が唱える)小詩句,短句 《しばしば詩篇の引用》
versification	作詩;作詩法 / 格調,韻律の形式
versifier	詩人
versify	〈散文〉を韻文にする;…を詩で述べる / 《しばしば軽べつして》詩を作る
version	(…の)『翻訳』,訳文(translation)《+of+名》;《しばしば Version》(聖書の)翻訳,欽定訳 / (…についての)[個人的な]『説明』,所見,解釈《+of+名》 / (ある物の)変形,脚色,…版《+of+名》
verso	〈C〉左ページ / 本の左側のページ(表をrectoとする裏面)
versus	(訴訟・競技などで)…対(《略》v.,vs.)(against) / (比較や二者択一において)…に対して
vert.	vertical
vertebra	脊椎骨
vertebral	脊椎骨の;脊椎骨から成る
vertebrate	脊椎(せきつい)動物 / 背骨のある;脊椎動物の
vertex	最高点,頂点,頂上 / (多角形・角錐・円錐などの)頂点;角頂;交点 / 頭頂
vertical	『垂直の』,直立した,縦の / 垂直線(面);垂直位置
vertically	垂直に,直立して
verticillate	(葉などが)輪生の;(貝などの)環生の,うず巻状の
vertiginous	目が回る,めまいを起こす
vertigo	めまい
verve	(芸術品・行動の)熱,活気,力
very	《副詞・形容詞・分詞形容詞を強めて》『非常に』,とても,たいへん,きわめて / 《否定語と共に用いて》『あまり』,さほど,たいして(…でない) / 《same, opposite, [one's]ownなどの前で》『真に,まったく』,ほんとうに / 《古》まったくの,本物の,真の / 《the(this,that,one's)~》『まさにその』,ちょうどその / 《the(one's)~》ただ…だけで(mere);(…)でさえ,までも(even)
very high frequency	超短波(30‐300メガヘルツ;《略》VHF,vhf)
very low frequency	超長波(3‐30キロヘルツ;《略》VLF,vlf)
vesicant	水泡を生じる / 発泡剤;びらん性毒ガス
vesicle	小嚢,小胞,小水(気)胞,小空胞
vesicular	小嚢の小胞の,小嚢(小胞)状の
vesper	《詩》夕暮れ,夕べ / 夕べの祈りの鐘 / 《複数形で》《単数扱い》夕べの祈り,晩祷 / 《V-》よいの明星(夕方見える金星(Venus)のこと) / 夕べの,晩の;晩祷の
vespertine	夕方の,晩の,夕方に起こる,夕方に活動する
vessel	(比較的大型の)『船』 / (特に液体を入れる)容器,器 / (動植物の)『管』,導管,脈管
vest	《米》『チョッキ』(《英》waist-coat) / 《英》=undershirt / 《文》(権利・財産などを)〈人〉に与える,授ける,付与する《+名〈人〉+with+名》 / (人に)〈権利・財産など〉を与える,授ける《+名+in+名〈人〉》 / 《古》《詩》(法衣などを)〈人〉に着せる / 〈権利・財産などが〉(人に)属する,帰属する《+in+名》 / 《古》《詩》祭服を着る
vest-pocket	チョッキのポケットにはいるくらいの,非常に小さい
vestal	ベスタの処女(古代ローマでベスタの神殿に仕え,聖火を守った6人の処女) / 純潔な女性,処女 / 《またV-》女神ベスタの;ベスタの処女の / 純潔の,処女の
vestal virgin	古代ローマでVestaに仕えて祭壇の聖火を守った処女の一人; 非常に貞淑な女
vested	(法律で)(権利・財産などが)既得の,所有権の定まった
vested interest	既得権利,特権
vestee	ベスティー(婦人のブラウスなどの下に着る前飾り;えりもとから見えるようになっている)
vestibule	(建物・家の)玄関,入り口の間 / 《米》(客車の)デッキ,乗降口 / (耳の)前庭,前室
vestibule train	貫通式旅客列車(各車両が通り抜けられる列車)(《英》corridor train)
vestige	(…の)跡,痕跡,形跡《+of+名》 / 《通例否定文で》(…の)ごくわずか,少量《+of+名》 / (生物の器官の)痕跡,退化器官
vestigial	痕跡の,退化した,名残りの
vestment	《文》衣服,(特に)(聖職者・聖歌隊員が礼拝の時に着る)礼服,祭服
vestry	(またsacristy)(教会の)祭服室,祭具室 / 教会付属室(祈祷集会や日曜学校などに用いる) / (英国国教会などの)教区総社,教区委員会
vestryman	教区委員
vesture	衣服,着物;おおうもの
