V	vanadium の化学記号
Victoria	ビクトリア女王(Queen Victoria(1837‐1901);1819‐1901) / ビクトリア湖(Lake Victoria;アフリカ大陸中央東部の湖でナイル川の源流) / オーストラリア南東部の州 / Hong Kong の主都
Victoria Cross	(勇敢な英国の兵士に与えられる)ビクトリア勲章(《略》VC)
Victoria plum	ビクトリアプラム(プラムの一品種)
Victorian	ビクトリア女王の;ビクトリア女王時代の,ビクトリア朝の / ビクトリア朝ふうの / ビクトリア女王時代の人
Vienna	ウィーン(オーストリアの首都;ドイツ名は Wien)
Vientiane	ビエンチャン(ラオスの首都)
Vietnam, Viet-Nam	ベトナム(アジア南東部の社会主義共和国;首都はHanoi) = Viet Nam
Vietnamese	ベトナムの;ベトナムの;ベトナム語の / ベトナム人;〈U〉ベトナム語
Vigilance committee	(米国開拓時代の)自警団
Viking	バイキング(8‐10世紀にわたってヨーロッパの北部および西部海岸を荒らしたスカンジナビア人)
Vinci	レオナルド・ダ・ビンチ(Leonardo da Vinci;1452‐1519;イタリアの画家・彫刻家・建築家・科学者)
Virgil	バージル(70‐19B.C.;Aeneid を書いた古代ローマの詩人)
Virgin Islands	バージン諸島(西インド諸島中の群島)
Virgin Mary	処女マリア,聖母マリア
Virginia	バージニア州(米国東部の州;州都はRichmond;《略》『VA,Va.』)
Virginia creeper	アメリカヅタ(手のひら状の葉の北米産のつた)
Virginia reel	バージニアリール(2名ずつ向かい合って2列に並んで踊るフォークダンスの一種)
Virginian	バージニア人 / バージニア州の;バージニア産の
Virgo	(星座の)乙女(おとめ)座;処女宮
Volga	ボルガ川(ロシア西部を流れカスピ海に注ぐヨーロッパで最長の川)
Voltaire	ボルテール(François Marie Arouet Voltaire;1694‐1778;フランスの思想家・文学者)
Vt.	Vermont
Vulcan	ウルカヌス(ローマ神話の火と鍛冶の神;ギリシア神話の Hephaestus)
Vulg.	Vulgate
Vulgar Latin	古代ローマの平俗ラテン語(貴族階級の使用していた標準ラテン語,文語ラテン語とは異なり,現代のロマンス諸語の起源となる)
Vulgate	ラテン語訳聖書(St. Jerome が翻訳し,A.D. 838年ごろに完成したローマカトリック教会公認の聖書)
v	verb / verso / 《話》very / velocity / volt[s] / volume / vide
v.	versus(《米》vs.)
v.i.	verb intransitive / vide infra(ラテン語)下を見よ
v.s.	vide supra
v.t.	verb transitive
v.v.	vice versa
vacancy	〈C〉『あき部屋』,あいた貸間,あき地 / 〈C〉(地位・役職などの)『空席』,欠員 / 〈U〉〈C〉空間,空虚 / 〈U〉虚脱状態,ぼんやりしていること / 〈U〉何もすることがない状態,無為,暇
vacant	(部屋・家・座席・土地などが)『あいている』,無人の / (地位・役職などが)『空席の』,欠員のある / 放心した,ぼんやりした;間の抜けた,ばかな / (時間などが)『あいている』,暇な
vacantly	ぼんやりと,ぽかんとして
vacate	〈席・家・場所など〉をあける,立ちのく / 〈地位・役職など〉を退く,辞任する
vacation	〈C〉《おもに米》『休暇』,休み(《英》holiday) / 〈C〉〈U〉《文》(部屋・家・土地などを)明け渡すこと,立ちのき;辞職,退任《+of+名》 / (…で)『休暇をとる』《+at(in)+名》
vacationer	休暇をとる人
vaccinate	(…の免疫になるように)〈人・家畜〉に予防接種(ワクチン注射)をする,種痘する《+名〈人・家畜〉+against+名》
vaccination	〈C〉〈C〉(…の)種痘,ワクチン接種,予防注射 / 〈C〉種痘の跡
vaccine	牛痘種,痘苗(牛痘を起こすビールスで,天然痘予防のために人体に接種される) / (伝染病の病原菌から作った)ワクチン
vaccinia	牛痘(=cowpox) 痘疹
vacillate	(いくつかの考え・決心などの間で)ぐらつく,迷う,ためらう《+between+名(doing)+and+名(doing)》
vacillation	(考え決心などの)ぐらつき,動揺
