variety meat	《米》《遠回しに》臓物(offal)
vault	〈C〉(石・コンクリート・れんがなどでできた)『アーチ型天井』,『丸屋根』,丸天井 / 〈U〉《the ~》《詩》丸天井に似たもの,青天井,大空 / 〈C〉(特に貯蔵用に使われる)『地下室』 / 〈C〉(特に銀行などの)金庫室,貴重品管理室 / 〈C〉(教会・墓地の)地下納骨堂 / 〈建物など〉に丸天井をつける / 〈建物など〉を丸天井様式にする / 《副詞[句]を伴って》(手で支えたり棒を使って)飛ぶ,飛び越える / …を飛び越える / 手で支えたり棒を使ったりして飛ぶこと
vaulted	アーチ状の,半円筒形の;半円筒形屋根の
vaulting	アーチ形天井,半筒天井 / 丸天井造り(構造) / 手で支えたり棒を使って飛び上がる(飛び越す) / 誇張された,大げさな
vaulting horse	(体操用の)あん馬
vaunt	(…を)自慢する,誇る《+of(about)+名》 / …を自慢する,誇る / 自慢,誇り,ほめそやすこと
vb.	verb
veal	子牛の肉
vector	(数学で)ベクトル,方向量 / (ハエ・カなどの)病原媒介昆虫 / (飛行機,ミサイルなどの)進路,軌道
veep	=vice president
veer	〈人・車・道路などが〉向き(進路)を変える,方向が変わる / 〈意見・話題・感情などが〉変わる / 〈風が〉右回りに向きを変える / 〈船が〉風下に向きを変える / 〈船〉の方向(進路)を変える / 〈船〉を風下に向きを変える
veery	ツグミの一種(米国東部産の鳴鳥)
veg	野菜,野菜料理
vegan	(肉・魚だけでなく卵・チーズ・ミルクを取らない)菜食主義者
vegetable	〈C〉《複数形で》『野菜』,青物;野菜の食用になる部分 / 〈U〉植物 / 〈C〉植物人間(脳の機能が冒され,呼吸・消化・排出機能などだけが健全な人間) / 植物の,植物性の / 野菜の / 植物のような,単調な,活気のない
vegetable kingdom	植物界
vegetable marrow	西洋カボチャの一品種
vegetal	野菜の,植物[性]の
vegetarian	菜食主義者(道徳上または健康上の理由で魚・肉を食べず,野菜だけを食べる人) / 菜食主義の / 野菜だけの
vegetarianism	菜食主義
vegetate	(植物のように)無気力な生き方をする,無為に過ごす
vegetation	(ある地域の)植物 / 《集合的に》植物,草木
vegetative	植物の / 無気力な,活気のない
vehemence	熱意,熱情 / 《おもに文》激烈さ,激しさ
vehement	(憎しみ,怒りなどが)熱烈な,激しい / 《おもに文》(風などが)猛烈な,激しい
vehicle	〈C〉(車・そりなどの)『乗り物』,車;運搬具 / 〈C〉(思想・感情・情報などの)伝達手段,媒介物;(…の)表現手段《+for(of)+名(doing)》 / 〈U〉展色剤(絵の具を延ばす水・油など)
vehicular	乗り物の,乗り物用の
veil	〈C〉『ベール』(婦人が顔を隠したり,装飾のために頭・肩などにまとう) / 〈C〉(修道女の)ベール;修道女の生活 / 〈U〉《しばしばa ~》(…を)おおい隠すもの(たれ幕,とばりなど),仮面,口実《+of+名》 / …をベールでおおう;…をおおい隠す
veiled	ベールをかぶった;仮面をかぶった / 隠された
veiling	ベール;ベール用の薄い生地 / ベールでおおうこと,隠れているもの
vein	〈C〉『静脈』 / 〈C〉(植物の)葉脈;(昆虫の)翅脈;(石の)石理;(木の)木目 / 〈C〉岩脈,鉱脈 / 〈U〉《しばしば a vein》(…の)傾向,性質《+of+名》 / 〈U〉《the vein》(…に対する)気分,気持ち《+for+名(doing)》
veined	しも(筋)のある,筋のついた
veining	(葉・昆虫の羽などの)脈模様,すじ
vel.	vellum / velocity
velar	(比較変化なし)軟口蓋の / 軟口蓋と舌との接触により発音された / 軟口蓋 / 軟口蓋音
velarize,velarise	…を軟口蓋で発音する / 軟口蓋音を出す
velcro	ベルクロ・マジックテープ・(商標)Velcro
veld,veldt	(南アフリカの)草原
velleity	きわめて弱い意欲 / 単なる願望
vellum	上等皮紙(子牛・子羊・子ヤギなどの皮から作る) / 上質紙,模造皮紙
velocipede	(足で地面をけって進む)昔の自転車;《古》《時にふざけて》自転車 / 《米》子供用三輪車
velocity	〈U〉速度
velour,velours	ベロア(ビロードに似た柔らかで厚い生地)
velum	軟口蓋;(動物の)菌膜;(クラゲの)縁膜
velvet	『ビロード』,ベルベット / ビロード[製]の / 柔らかな,すべすべした
velveteen	錦ビロード,別珍(べっちん)
velvety	(ビロードのように)柔らかな,なめらかな / (色が)落ちついて深い;(声が)豊かでまろやかな / (酒が)口当たりが柔らかい
venal	(人,人の行為・動機が)金で動かされる,金で自由になる,わいろのきく
venality	金しだいで動くこと,買収されやすいこと
venation	脈相(植物の葉脈・昆虫の翅脈などの分布状態)
vend	(特に)〈小さな品物〉を売る,行商する / (法律で)〈土地など〉を売却する
vendee	買い主,買受人
vender	=vendor
vendetta	(近親者による)復しゅう,かたき討ち / 長年にわたる張り合い
vending machine	自動販売器
vendor	(小さな品物を)売る人,行商人 / (法律で)(土地・家などを)売りに出す人
veneer	〈U〉〈C〉突板(つきいた),張り板,化粧張り(家具などを上質材でできているように見せかけるために張り薄い板) / 〈C〉ベニヤ,単板(合板(plywood)を構成する各層の薄い板) / 〈C〉《単数形で》うわべの飾り,見せかけ / (…で)…を化粧張りする《+名+with+名》 / (…で)…のうわべを飾る,…を隠す《+名+with+名》
venerable	(人が)(老齢・品格・地位などにおいて)『尊敬するに足る』,尊ぶべき / (場所・建物などが)(歴史的・宗教的に)『尊い』,神々しい / 《名前の前にのみ用いて》(英国国教会で)…師(大執事(archdeacon)の尊称);(カトリック教会で)尊者(聖人(saint)と呼ばれることになる人の尊称)
venerate	…を尊敬する,崇拝する
veneration	尊敬,崇拝
venereal	性交の,性交から起こる
venereal disease	(性交によって感染する)性病(《略》VD,V.D.)
vengeance	〈U〉『復しゅう』,仕返し / 〈U〉《しばしば a~》復しゅうの行為,あだ討ち
vengeful	(人が)復しゅう心のある,執念深い;(行為が)復しゅうの
venial	(罪・過ちが)重くない,許されるべき,ささいな
venipuncture	静脈注射
venire	(sheriff に対する)陪審員召集令状;召喚状
venireman	陪審員
venison	(食用の)シカ肉
venom	(ヘビ・サソリ・クモ・ハチなどの)毒,毒液 / 悪意,恨み,憎悪
venomous	(動物が)毒液を出す / 毒のある,有毒な / (言葉・行為などが)悪意に満ちた,陰険な / 《時におどけて》いやな,不快な
venous	静脈[血]の / 葉脈の多い
vent	(気体・液体の出入する)『抜け口』,漏れ口,通風(気)孔 / (鳥・魚などの)肛門 / 《単数形で》(感情の)はけ口 / …に出口(はけ口)を与える / (…に向けて)〈感情など〉をあらわにする,漏らす《+名+on+名》 / (上着の背やわきの)裂け目,スリット
ventilate	〈部屋・坑内など〉を『換気する』,に通風する / 〈ある問題・疑問など〉を世に問う,世評に訴える
ventilation	換気,通風 / 換気設備,通風装置 / 世に問うこと,自由討議
ventilator	換気装置,通風機,換気口
ventral	腹の,腹部の
ventricle	(脳髄・喉頭などの)室,空洞,(心臓の)心室
