villus	絨毛(小腸内壁の粘膜の表面にある虫状の血管の多い小さな突起)
virtu	〈U〉(美術品などの)優秀性,よさ,値打ち / 《集合的に》《複数扱い》美術品,骨とう品 / 〈U〉美術品(骨とう品)に対する造詣(知識) = vertu
virtual	(名目上・表面上はそうではないが)事実上の,実際上の
virtually	事実上,実質的には
virtue	〈U〉『美徳』,徳;高潔 / 〈U〉(特に婦人の)節操,貞操 / 〈C〉(特定の)道徳,美徳 / 〈U〉〈C〉(物・事・人などの)(…という)『長所』,美点《+of+名(doing)》 / 〈U〉〈C〉(…するという)効力,ききめ《+of doing》
virtuosity	(特に音楽家の)妙技,技巧
virtuoso	音楽の名手,名演奏家 / 名人,大家
virtuous	『徳の高い』,正しい / 貞淑な,純潔な / 高潔ぶった,気どった
virulence	有毒,毒性 / 憎悪,敵意
virulent	有毒な,毒性の / 憎悪に満ちた,敵意に満ちた
virus	ビールス,ろ過性病原体
vis-à-vis	…と向かい合って / …に関して / …に比べて
vis.	visibility / visual
visa	(旅券の)査証,ビザ,入国出国許可 / 〈旅券〉を査証する
visage	顔(face),顔つき(countenance)
viscera	内臓 / 《話》腸
visceral	内臓の,腸の / 《米》本能的な,感情的な
viscid	(液体が)ねばねばする,粘着性の
viscose	ビスコース(人造絹糸・セロファンなどの原料)
viscosity	ねばねばすること,粘性
viscount	子爵(ししゃく)
viscountcy	子爵の地位(身分)
viscountess	子爵夫人;女子爵
viscous	=viscid
vise	万力(まんりき)(《英》vice)
visibility	〈U〉目に見えること / 〈U〉可視度, 視界
visible	『目に見える』 / 明らかな,明白な
visibly	目に見えて;明白に,ありありと
vision	〈U〉『視力』,視覚 / 〈C〉《単数形で》《文》非常に美しい光景(人など) / 〈U〉(将来への)『見通し』,先見の明;想像力,直観力 / 〈C〉『心に描くもの』,空想,想像 / 〈C〉(…についての)考え,見解《+of+名》 / 〈C〉(…の)『幻』,幻影《+of+名》
visionary	幻の,幻影の,幻想の / 幻を追う,空想にふける / 夢のような,実現不可能の / 幻を見る人 / 空想家
visit	〈人〉を『訪問する』,尋ねる / …を『見物に行く』,見に行く / 〈人〉の客となる,家に滞在する / (視察などのため)〈場所〉を訪れる,に行く / 《受動態で》《文》〈病気・災害などが〉…を襲う,に降り掛かる;〈考えなどが〉…に浮かぶ / (…を)訪問する,見物する;《米》(…に)滞在する《+at(in)+名〈場所〉,+with +名〈人〉》 / 《米》(人と)おしゃべりする,雑談をする《+with+名〈人〉》 / (…への)『訪問』,見物《+to+名》;(…からの)訪問《+from+名》 / (…への)滞在,とう留《+at(in)+名〈場所〉,+with(to)+名〈人〉》 / (職務上の)(…への)訪問,巡視《+to+名》
visitant	《文》幽霊,亡霊 / (またvisitor)渡り鳥
visitation	(視察官などの)公式訪問,巡視《+by(of)+名》 / (…の)天罰,災厄;祝福《+of+名》 / 《話》(…の)迷惑な長とう留《+from+名》
visitation rights	訪問権(離婚した親などが子供を訪問できること)
visiting	訪問,滞在,巡視,見物 / 訪問の,見物の,巡視の
visiting card	=calling card
visitor	(…からの)『訪問者』,泊り客,見物人《+from+名》,(…への)訪問者《+to+名》
visor	(帽子の)まびさし,ひさし / (かぶとの)面頬(顔,特に目を保護するために上げ下げできる部分) / (またsun visor)(車の運転席の)日よけ板
vista	通路(街路など)を通してみたながめ,見通し / 予想,展望;追想,回想
visual	『視覚の』 / 目に見える;目で見た / 有視界の
visual aid	(スライドなど)視覚教材
visual arts	(絵画・彫刻などの)視覚芸術
visualization, visualisation	目に見えるようにすること,思い浮かべること,具象化
visualize, visualise	…を目に見えるようにする;…をありありと心に描く(思い浮かべる)
vital	《名詞の前にのみ用いて》『生命の』,生命に関する(必要な) / 『生き生きとした』,生気に満ちた,エネルギッシュな / 『きわめて重大な』,肝要な / 『命にかかわる』,致命的な / 生命維持に必要な器官(心臓・肺臓・脳など)
vital force	《おもに文》生命力
vital statistics	人口動態統計(出生・死亡・結婚などの人口状況) / 《話》女性のバスト・ウエスト・ヒップの寸法
vitality	『生気』,活気,バイタリティー / 『生命力』,体力,活力 / 忍耐力,持続力,永続力(性)
vitalize, vitalise	…に生気を吹き込む,を活気づける / …に生命を与える
vitally	きわめて重大に
vitamin	『ビタミン』,栄養素(身体の正常な機能を維持するために少量ながら必要な有機化合物)
vitamin A	ビタミン A
vitamin B1	ビタミン B 複合体の一つ
vitamin B2	ビタミン B 複合体の一つ
vitamin B6	ビタミン B 複合体の一つ
vitamin C	ビタミン C
vitamin D	ビタミン D
