vitamin E	ビタミン E
voiceover	(テレビ・映画などの)ナレーターの声(語り)
voiceprint	声紋(声の特徴を表す音響分析図)
void	(法的に)『無効な』 / 《文》『空虚な』,からっぽの / 《補語にのみ用いて》《be void of+名》(…が)『ない』,欠けた / 〈U〉《the ~》(地球の回りの)『空間』,空所,虚空 / 〈C〉《単数形で》(地面・壁などの)すきま,割れ目 / 〈C〉《単数形で》『空虚感』,物足りなさ / (法的に)…を無効にする / …をからにする;…を排泄(はいせつ)する
voile	ボイル(木綿・羊毛・絹・レーヨン製の薄織物)
vol.	volume
volatile	(液体が)揮発性の,揮発しやすい / (人・性格が)変わりやすい,気まぐれの / 不安定な;爆発しやすい / 怒りやすい,短気な
volatility	揮発性 / 移り気,気まぐれ
volcanic	火山の,火山性の / 火山爆発による,火山から噴出した / 激しい,猛烈な(violent)
volcanism	火山作用,火山現象
volcano	『火山』
volcanology	火山学
vole	ハタネズミ(mouseやratの類だが尾の短いのが特色)
volition	意志,決意
volitional	意志の,意志による,意欲的な
volley	(ミサイル・弾丸・矢・石などの)一斉射撃《+of+名》 / (悪口・質問・抗議などの)連発《+of+名》 / (テニス・バレーボールで)ボレー(ボールが地面に落ちる前に打ち返すこと) / 〈矢・弾などが〉一斉に飛ぶ,〈火器が〉一斉に発射される / (テニス・バレーボールで)ボレーする / 〈相手〉にボレーで打ち返す
volleyball	〈U〉『バレーボール』,排球 / 〈C〉バレーボール用のボール
volt	ボルト(電圧の単位;《略》V;イタリアの物理学者 Alessandro Volta(1745‐1827)の名にちなんで)
voltage	電圧,電圧量,ボルト数
voltaic	(化学作用によって生じた)電流の / (化学作用によって)電流を生じる
volte-face	(意見・政策などの)転向,逆転,急変
voltmeter	電圧計
volubility	舌のよく回ること,おしゃべり
voluble	舌のよく回る,おしゃべりな
volume	〈C〉(特に分厚い)『本』,書物 / 〈C〉(シリーズものの)『巻』,冊(《略》(単数形で)vol.,(複数形で)vols.) / 〈U〉(…の)『体積』,容積《+of+名》 / 〈U〉〈C〉(…の)『量』,かさ《+of+名》 / 〈U〉(…の)『音量』,音の強さ,ボリューム《+of+名》 / 《複数形で》多量(の…),たくさん(の…)《+of+名》
voluminous	おびただしい量の / (容器が)容積の大きい,たっぷりはいる / (服などが)ゆったりした,だぶだぶの
voluntarily	みずから進んで,自発的に
voluntary	(強制ではなく)『自由意志でなされる』 / (報酬なしで)『みずから進んでする』,自発の / (生理学で)随意の / 《名詞の前にのみ用いて》篤志によってできた,任意寄付で維持される / (教会の礼拝前後の)オルガン独奏
volunteer	(…の)『志願者』,有志《+for+名(doing)》 / 『志願兵』,義勇兵 / (…を)自発的にやろうとする,(…に)志願する《+for+名(doing)》 / …を自発的に申し出る / 有志の,志願の,自発的な,
voluptuary	享楽者,酒色におぼれる人
voluptuous	享楽的な酒色におぼれる / 肉感的な,なまめかしい / 肉欲にふける; セクシーな; 官能的な 感覚的に快い
vomit	(胃から)吐く,もどす / 〈煙・灰などが〉吹き出る,吐き出される / 〈胃の中のもの〉を吐き出す / (勢いよく)…を噴出する,吹き出す / 〈U〉吐いた物,嘔吐物 / 〈C〉へどを吐くこと
von	…から(from),…の(of)
voodoo	〈U〉ブードゥー教(西インド諸島やアメリカの一部の黒人間で行われる,まじないを信仰する宗教) / 〈C〉ブードゥー教のまじない師;ブードゥー教のまじない / ブードゥー教の
voodooism	ブードゥー教の儀式(呪術)
voracious	むさぼり食う,大食する
voracity	大食,猛烈な食欲;どん欲さ
vortex	〈C〉うず,うず巻き;旋風 / 《the~》《文》《比ゆ的に》(…の)うず《+of+名》
vortices	vortex の複数形
votary	《文》(思想・主義などの)追求者,支持者,研究者 / (特定の神・宗教の)信奉者,信者
vote	〈C〉『票』 / 〈C〉『投票』;(投票・挙手・起立などの)意志表示 / 〈C〉(…に関する)(投票・挙手・起立などによる)『決定』,票決《+on(about)+名》 / 《the vote》《時に複数形で》『投票権』,選挙権 / 《the vote,時に a vote》《集合的に》投票数,得票[数] / 投票する / 〈人〉に『票を入れる』,投票する / 〈法案・予算など〉を可決する / 《vote+名+名〈補〉》《話》《しばしば受動態で》世間が一致して…を(…と)見なす / 《vote+that 節》《話》…することを提案する
vote of censure	不信任投票
voter	投票者;有権者
votive	(誓いを果たすために)奉納した;祈願を込めた
