workroom	仕事部屋,作業室
wreckage	《集合的に》(船・飛行機などの事故後の)残がい(debris);漂流物 / 大破,破壊,難破;破滅,崩壊
wrecker	破壊する人(物) / (建物の)取り壊し業者 / (事故後の)残がいを取り除く人(装備) / 《米》(故障車などをひく)レッカー車 / 難破船救助者(船)
wren	ミソサザイ(北半球に広くすむ小鳥;暗褐色に黒じまがある)
wrench	…を『ぐいとねじる』,ひねる;(…から)…をもぎ取る《+名+off(from, out of)+名》 / 〈手足の関節など〉を『くじく』,…[の筋]を違える / 『ぐいとねじること』,一ひねり / (体・筋肉などを)『くじくこと』,筋違い,ねんざ / (別れの)『悲しみ』,苦痛 / 《米》レンチ,スパナ(《英》spanner) / 《英》=monkey wrench
wrest	(…から)…をねじ取る,もぎ取る《+名+from(out of)+名》 / (…から)…を力ずくで取る,…をやっとのことで手に入れる《+名+from+名》 / 〈事実・意味など〉を曲げる
wrestle	(…と)『格闘する』,レスリングをする《+with+名》 / (問題などと)『取り組む』;(疑念・良心などと)戦う《+with+名》 / …とレスリングをする,格闘する / レスリング,格闘;苦痛
wrestler	レスリング選手,レスラー
wrestling	レスリング
wretch	みじめな人,哀れな人 / 恥知らず,卑劣漢
wretched	『非常に不幸(不運)な』,ひどく気がめいった / (物事が)『みじめな』,悲惨な,ひどい / 《名詞の前にのみ用いて》『卑劣な』,いやな
wriggle	体をくねらせる,もじもじする,身をよじらせる / 《方向を表す副詞[句]を伴って》体をくねらせて進む / 《話》(…から)身をひねって(ごまかして)逃げる《+out of+名》 / 〈体〉をくねらせる;〈道〉を体をくねらせて進む / 身をくねらせること
wriggler	身をくねらせる人(もの) / ぼうふら
wright	「…製造人」「…工」の意味を表す
wring	〈ぬれた物〉を『絞る』《+out+名,+名+out》 / (…から)〈水分〉を『絞り出す』,絞り取る《+from(out of)+名》 / (人などから)…を無理に(努力して)得る《+名+from(out of)+名〈人など〉》 / 〈手〉を握りしめる,もみ絞る / 〈首〉を強くねじる(ひねる) / 〈心〉を深く悲しませる / 絞り,ねじり
wringer	(洗濯機の)絞り機;絞る人
wrinkle	(布地・皮膚の)『しわ』 / …に『しわを寄せる』 / 『しわが寄る』 / 気のきいた思いつき,妙案,入れ知恵
wrinkly	しわの多い;しわになりやすい
wrist	手首関節;(シャツなどの)そで口
wristband	(シャツなどの)そで口,カフス / (腕時計などの)バンド
wristlet	(装飾用)腕輪
