wash leather	(金属つや出し用の)羊のなめし皮,セーム皮 (ヤギなどの)柔らかいなめし皮
watchstrap	腕時計のバンド
watchtower	見張り塔,物見やぐら
watchwoman	婦人警備員,女性の夜警
watchword	合い言葉(password) / 標語,モットー(motto),スローガン(slogan)
water	〈U〉水 / 《しばしば複数形で》『海』(『湖,川』)『の水』 / 《複数形で》流れる水;(海・川・湖などの)波立つ水《+of+名》 / 《複数形で》(特定の)水域,領海,近海 / 〈U〉潮位,水位;《the water》水面 / 〈U〉分泌液(涙・汗・尿など) / 〈U〉溶液,…水 / 《複数形で》(飲用の)鉱泉水 / 〈U〉(織物・金属などの)波紋 / …に『水をかける』(まく,やる) / 〈動物〉に水を飲ませる / …に水を供給する;…を潅漑(かんがい)する / 〈液体など〉を水で割る,薄める《+名+down,+down+名》 / 〈織物・金属など〉に波紋(波模様)をつける / 〈動物などが〉水を飲む:〈船・機関などが〉給水を受ける / 〈目・口などが〉分泌液を出す
water ballet	水中バレエ
water bird	水鳥
water biscuit	ビスケットの一種(小麦粉・水・バターなどで作る薄くて堅いビスケット)
water blister	水疱(すいほう),水ぶくれ
water bottle	(ガラス製の)飲料水容器 / 《おもに英》水筒(canteen)
water buffalo	スイギュウ(水牛)
water bug	水生昆虫(ミズスマシ・ゲンゴロウなど)
water butt	天水おけ
water cannon	高圧放水器
water cart	(道路の)散水車,送水車
water chestnut	ヒシ / ヒシの実
water closet	水洗便所(《略》WC,W.C.)
water cooler	冷水器
water gap	(尾根の)峡変,水隙(すいげき)
water gas	(燃料用の)水性ガス
water glass	〈C〉水飲みコップ / 〈U〉水ガラス(珪酸ナトリウムの溶液)
water hen	=moorhen
water ice	(フルーツジュースを凍らせた)アイスケーキ,シャーベット
water jacket	水ジャケット(機械の過熱防止のための水冷装置)
water jump	(障害物競走などで馬が飛び越える)水たまり,水濠
water level	水位,水平面
water lily	スイレン / スイレンの花
water main	水道本管
water meadow	(よく冠水する)湿地牧野
water moccasin	ミズヘビ(米国南部の沼地に住む毒蛇)
water ouzel	カワガラス
water pipe	〈C〉水道管 / 水パイプ(水を通す管) / 水タバコ用のパイプ
water polo	水球,ウォーターポロ
water rate	《英》水道料金
water ski	水上スキー / 水上スキーをする = water-ski
water softener	〈U〉硬水軟化剤 / 〈C〉浄水器
water spaniel	ウォータースパニエル犬(水鳥狩猟用の,泳ぎのできる猟犬)
water strider	アメンボ
water supply	給水,給水設備 / 給水量
water system	〈C〉(川とその支流を合わせた)水系 / 〈U〉〈C〉(都市などの)給水系統,水道
water table	地下水面
water tower	給水塔 / 消火用貯水塔
water vapor	水蒸気
water vole	(水辺に住む)ハタネズミの総称 / ニオイネズミ
water wagon	=water cart
water wings	(水泳練習用の)翼形浮き袋
water witch	水脈をdowsing rod(占い棒)などによって見つける人:「大学の地質学者に頼んでもたいしたことはないけれど、water witchなら必ず水脈を見つけてくれる」とNew Mexico州の人から聞きました / 水探知機、水中に住む魔女
