weasel words	《複数扱い》《米話》(率直な表現を避け)わざとぼかした言葉
well	『井戸』 / (石油・天然ガスを取るための)井 / 『泉』,《比喩的に》源 / 井戸状のくぼみ;(エレベーターの)縦穴;(回り階段の)階段穴 / 《英》(法廷の)弁護士席 / 〈水などが〉わき出る,噴出する《+out》 / わき上がる《+up》 / 『よく』,満足に,申し分なく / じょうずに,うまく,巧みに / 『十分に』,全く / 《他の副詞または前置詞句と共に用いて》『相当に』,かなり / (個人的に)親しく,親密に / 《can't, couldn't と共に用いて》『正当に』,適切に / はっきりと,確かに,全く / 親切に,好意的に / 《おもに補語に用いて》『健康な』,じょうぶな / 《補語にのみ用いて》『好都合の』,満足すべき,申し分のない / 《驚いて》『おや』,まあ,へー / 《ためらい・同意を表し,文・言葉を切り出して》『えーと』,さて,ところで / 《譲歩を表して》『それじゃ』,まあ / 《安心・あきらめを表して》『やれやれ』,どうも
well deck	凹甲板(1段低い甲板)
well-advised	思慮のある,賢明な
well-appointed	申し分なく設備の整った,よく整備された
well-balanced	よく釣り合いのとれた / 分別のある,常識のある
well-behaved	行儀のよい
well-being	幸福な状態,(特に)健康
well-bred	育ち(しつけ・行儀)のよい,上品な / (動物が)良種の,血統のよい
well-chosen	(語句などが)適切な
well-conditioned	体調がよい,健康な / 性質(態度)のよい
well-connected	身内(親類)がよい
well-defined	輪郭のはっきりした;(定義・意義が)明確な
well-developed	考え抜かれた;りっぱに行われた / 体格のりっぱな
well-disposed	気だてのよい,思いやりのある / 《補語にのみ用いて》(…に)好意を抱いた《+toward(to)+名》
well-done	じょうずになされた / (肉が)よく焼けた
well-earned	十分に価値のある,十分受けるに値する
well-established	(原理などが)論証のしっかりした,確立した / 定着した
well-favored	(人が)魅力的な容貌の,器量のよい
well-fed	栄養の行き届いた;よく肥えた
well-fixed	金持ちの,裕福な
well-found	(船が)準備(整備)のできた
well-founded	事実に基づいた,根拠の確かな
well-groomed	(人が)身なりのきちんとした,こぎれいな / 手入れの行き届いた
well-grounded	=well-founded / 《補語にのみ用いて》(…を)十分に教え込まれた《+in+名》
well-heeled	金持ちの
well-hung	(女性が)おっぱいの大きい;(男性が)おちんちんの大きい
well-informed	広く物事に通じている,博識の / (特定の問題を)よく知っている
