Wirephoto	有線電送写真機の商標名
waits	(クリスマスの夜,家々を回る)聖歌隊
waive	〈権利・主張など〉を自分から放棄する(撤回する) / …をとりあえず見送る(延期する)
waiver	〈U〉権利放棄 / 〈C〉権利放棄証書
wake	『目を覚ます』(awake)《+up》 / 《文》目を覚ましたままでいる,寝ずにいる《+up》 / (…に)気づく,目覚める《+up to+名》 / 〈人〉の『目を覚まさせる』,を起こす(awaken)《+名+up,+up+名》 / 《比喩的に》(…に)…を目覚めさせる,気づかせる,活発にする《+up+名(+名+up)+to+名》 / (死者のために)通夜をする / 《おもにアイルランド・イギリス北部》通夜 / 物が通った跡,(特に)航跡
wake robin	エンレイソウ(北米産マムシグサの類の植物の総称)
wakeful	(人が)眠れない,目を覚ましている / (夜など)眠っていられない / 用心深い
waken	〈人〉の『目を覚まさせる』,を起こす(wake) / 《比喩的に》…を目覚めさせる,気づかせる,活発にする《+up+名(+名+up)+to+名》
waking	目が覚めている,起きている
waldorf salad	ワルドルフサラダ(セロリ・りんご・木の実をマヨネーズであえる)
wale	むちで打たれた跡,みみずばれ / (織物などの)うね / 〈皮膚〉をみみずばれにする
walk	《様態・方向を表す副詞[句]を伴って》『歩く』,『歩いて行く』 / 『散歩をする』,ぶらつく / (特定の態度で)ふるまう,生きる / (野球で)フォアボールで一塁に出る / (バスケットボールで)(パス・ドリブルしないで)3歩以上歩く / 〈場所・道など〉を『歩く』 / 〈動物〉を歩かせる;〈人〉といっしょに歩く,を案内する / 〈時間〉を歩いて費やす《+away+名,+名+away》 / (野球で投手がフォアボールを与えて)〈打者〉を一塁に歩かせる / 『歩くこと』,歩行 / 『散歩』,遠足 / 『歩行距離』,道のり / 『歩道』,散歩道,遊歩道 / (特徴をもった)湾き方,歩きぶり / (人・動物の)並み足,正常歩 / 職業,地位 / (野球で)フォアボールで一塁に出ること
walk of life	地位,職業 社会的階級 身分 階層
walk-in	人が歩いて出はいりできる大きさの / (勝利などが)容易な,楽な
walk-on	(せりふのない)端役,通行人役 / 端役の俳優
walkabout	〈U〉(オーストラリア原住民の)放浪 / 〈C〉(政府首脳などが)市民の声を聞く視察
walkaway	楽勝,楽勝の試合
walker	歩く人(物) / 歩行器
walkie-talkie, walky-talky	携帯用無線電話機,トランシーバー
walking	歩くこと,歩行 / 歩き方 / 歩く,歩行する / 歩行用の
walking papers	解雇通知(《英》marching orders)
walking stick	《英》ステッキ,つえ / ナナフシ(細い枝状の胴体の昆虫)
walkout	ストライキ,同盟罷業(strike)
walkover	楽勝
walkup	エレベーターのない建物(アパート) / エレベーターのない建物の2階以上の部屋
walkway	(玄関から通りまで,また工場内などの)歩行者用通路
wall	〈C〉(石・れんがなどの)『壁』,へい / 〈U〉(胃などの)内壁,内側 / 〈C〉(…の)壁[のようなもの]《+of+名》 / …を壁(へい)で囲む / …を壁で仕切る / 〈窓・入り口など〉を壁でふさぐ《+up+名,+名+up》
wall painting	〈C〉(フレスコ画法の)壁面 / 〈U〉フレスコ画法
