water-repellent	(防水でなく)撥水加工の,水をはじく加工の
waver	(上下・前後・左右に不安定に)『揺れる』;〈チョウなどが〉ひらひらと動く;〈人が〉よろめく / 〈光などが〉『揺らめく』,ちらちらする;〈音・声などが〉震える / 〈気分・物価などが〉不安定になる;(…と…の間を)揺れ動く《+between+名+and+名》 / 〈人が〉『迷う』,ためらう,たじろぐ
waverer	考え(決断)のぐらつく人
waveringly	揺れ動いて,震えながら,ためらって
waviness	波立ち,波形
wavy	波立っている / 波形の,起伏する
wax	『ろう』(ミツバチが巣を作るために用いる beeswax,その他の動物性,植物性・鉱物性ろうの総称) / 耳あか(earwax) / (床・家具・自動車などをみがく)『ワックス』 / …をワックスでみがく;…にろうを塗る / 〈月が〉だんだん大きくなる,満ちる / 〈大きさ・強さ・数量などが〉増大する / 《古》《形容詞を伴って》〈人が〉(…に)なる / かんしゃく,腹だち(rage)
wax bean	インゲンマメの一種
wax myrtle	ヤマモモ
wax paper	ろう紙
waxed	ろうを塗った,ろう引きの
waxen	ろう製の / ろうのように青白い
waxwing	レンジャク(連雀)属の鳥
waxwork	ろう細工;ろう人形 / 《複数形で》《単数扱い》(特に有名人の)ろう人形博物館
waxy	(手ざわり・外観が)ろうのような,すべすべした,青白い / ろう製の,ろう引きの / かんしゃくを起こした,立腹した
way	〈C〉(…へ向かう)『道』,通り道;(…への)道筋《+to+名》 / 〈C〉『方向』,方角 / 〈U〉道を進むこと,進行,前進 / 〈U〉《しばしば a way》距離,道程 / 〈U〉《しばしば形容詞とともに》『やり方』,方法,手段 / 〈C〉特有なやり方,流儀,癖 / 〈U〉《しばしば複数形で》《単数扱い》習慣,風習,しきたり / 〈C〉《in…way[s]の形で》(…の)点(箇所)で / 〈U〉《しばしば a way》(特に健康の)ぐあい,様子 / 〈C〉経験の及ぶ範囲;人生(行動,経験)の道 / 通行権(the right of way) / はるかに,大いに,ずっと
way out	(窮状などを救う)解決法 / 《英》(劇場などの)出口(exit)
way station	(二つの主要駅間の)中間駅;(急行通過の)小駅
way-out	《英俗》ざん新な,奇抜な / 《米話》異国ふうな,風変わりな
waybill	運送目録,貨物運送状;乗客名簿
wayfarer	旅人,(特に)徒歩旅行者
wayfaring	旅をして歩く,徒歩旅行の
waylay	〈人〉を持ち伏せする / 〈人〉を持ち受けて呼び止める
ways and means	(…する)方法,手段《+of doing》 / 《米》(政府・団体の)歳入の道
wayside	道ばた / 道ばたの,路傍の
wayward	いうことを聞かない,強情な,わがままな / 気まぐれな,むら気な
wayworn	旅疲れの,旅やつれした
we	『私たちは(が)』,われわれは(が) / 《総称的に》『人は』,われわれは / 《論説・評論などで I の代りに用いて》私たちは,吾人(ごじん)は,筆者は / 《子供・病人などに対して,you の代りに用いて》あなたは / 《君主が公式の場でI の代りに用いて》余は
we'd	we had, we should, we wouldの短縮形
we'll	we will, we shallの短縮形
we're	we are の短縮形
we've	we have の短縮形
weak	(物が)『弱い』 / (通常よりも)『衰えている』,力が弱い,勢いがない / (性格の点で)『弱い』,意志薄弱な / 『劣っている』 / (相場などが)値下がりぎみの / 水っぽい,薄い / (音節・母音・語が)強勢のない,弱強勢の;(動詞が)弱変化の
weak form	弱音;弱形
weak-kneed	(性格的に)決断力のない,優柔不断の
weak-minded	頭の鈍い,低能な
weaken	…を『弱くする』 / …を薄くする / 弱くなる / 〈人・人の態度が〉軟化する,ぐらつく
weaker sex	《集合的に》女性,婦人 / (一人の)女性
weakfish	ニベ科の食用魚の総称
weakling	(肉体的・精神的に)弱い人,弱虫
weakly	じょうぶでない,ひ弱な,虚弱な / 弱く,力なく;いくじなく
weakness	〈U〉(体・心・性格が)『弱いこと』《+of+名》 / 〈C〉『弱点』,短所 / 〈C〉(特に良くないものに対する)特別な好み,愛好《+for+名》
weal	福祉,幸福,繁栄 / みみずばれ(welt)
weald	森林地帯
wealth	『富』,財産 / 《しばしば a wealth》『豊富』(な…),たくさん(の…)《+of+名》
wealthy	(人が)『富裕な』,富んだ / 豊富に持っている;(…に)富んだ《+in+名》
wean	〈赤ん坊・動物の子〉を離乳させる / (楽しみ・習慣などから)〈人〉を引き離す,思い切らせる《+名〈人〉+away from+名(doing)》
weapon	『武器』,兵器 / 『攻撃(防御)手段』
weaponless	武器を持たない,武器のない
weaponry	《集合的に》武器,兵器類 / 兵器開発(製造)
wear	〈服・靴・帽子・装飾品・ひげなど〉を『身につけている』 / 〈ある表情・態度など〉を『表している』,示している / (使用して)…を『すり減らす』,使いふるす;(摩擦などで)…をを損なう / 〈穴・みぞなど〉をすり減らして作る(あける) / (使用・摩擦などで)『すり減る』,すり切れる / 《様態・時間を表す副詞[句]を伴って》〈品物などが〉長もちする / 『着用』,使用 / 《集合的に》《単数扱い》『衣類』,衣料品 / すり切れ,消耗,摩滅 / (衣類などの)耐久力,もち
wearable	着られる,着用に適する,すぐ着られる
wearily	疲れて,疲労して
weariness	疲労;退屈
wearing	疲労させる,消耗させる
wearing apparel	衣服,衣類(しばしば業界用語として用いる)
wearisome	疲れさせる / うんざりさせる,退屈な
weary	『疲れた』,疲れはてた / 人を疲れさせる / 『あきあきさせる』,退屈な / 〈人〉を『疲れさせる』 / (…で)〈人〉を『退屈させる』,うんざりさせる《+名〈人〉+with+名(doing)》 / (…に)疲れる,うんざりする《+of+名(doing)》
weasel	《米話》(義務などから)逃げる《+out of+名》
