wood pulp	木材パルプ(製紙原料)
workforce	労働人口,全労働力
workhorse	使役馬(乗馬・競馬用に対して,農耕・運搬用の馬) / 馬車馬のように働く人,働き者,よく働く(役に立つ)機械
workhouse	《米》感化院 / 《英》救貧院,貧民収容施設
working	(機械・器具などが)『動く』,使える / (特に生活のために)『働く』,[肉体]労働に従事する / (知識などが)『実際に役立つ』,実用的な / 『労働(仕事)上の』,労働(仕事)用の / (機械などの)動き方,動かし方《+of+名》 / (鉱山などの)作業場,現場
working capital	運転資本,営業資本
working class	労働者階級 / 労働者階級の
working day	=workday
working knowledge	実用的知識
working order	(機械などの)順調な動き
working party	(議会などの)専門委員会;(会社の)作業班
working week	=workweek 週間労働(就労)時間
working-out	算出;立案
workingman	働く人,労働者,労務者,職人,工員
workingwoman	働く婦人,(女の)労働者,女工員
workman	=workingman / 《形容詞を伴って》仕事の…な人
workmanlike	職人らしい,腕ききの
workmanship	(職人の)手腕,技量 / (仕事の)できばえ,手ぎわ / 制作品,製品,細工
workout	運動,練習,トレーニング
workpeople	[工場]労働者,工員
