windily	風が強く
wineglass	ワイングラス,ぶどう酒用グラス
winepress	(ワインを作るための)ぶどうしぼり器(おけ)
winery	ぶどう酒醸造所
wineskin	ぶどう酒用の皮袋(ヤギ1頭分を縫い合わせて作る)
wing	(鳥の)『翼』,(昆虫の)羽 / (飛行機・風車などの)『翼』,羽 / (建物の)翼(よく),そで / (政党などの)『分派』,…翼 / 《複数形で》(舞台の)そで,たもと(観客から見えない部分) / (サッカーなどの)ウィング,ウィングの選手 / (部隊・艦隊の左右の)翼,側面部隊;(空軍の)飛行大隊 / 《複数形で》パイロット記章 / 《英》=fender 1 / 《wing one's way の形で》飛んで行く / …を飛ばす;…にスピードをつける / (…で)…に翼をつける《+名+with+名》 / 〈鳥〉の翼を傷つける,〈人〉の腕を傷つける / 〈芝居の役など〉をせりふを暗記しないで演じる / 《方向を表す副詞[句]を伴って》飛ぶ
wing commander	英空軍中佐
wing nut	(2枚の耳のついた)つまみナット,ちょうナット
wingding	どんちゃん騒ぎの[祝賀]パーティー = wing-ding
winged	翼のある / 飛翔(ひしょう)するような,速い
winger	(ラグビー・ホッケーなどで)ウィングの位置にいる選手
wingless	翼のない
wingspan	=wingspread
wingspread	(鳥・飛行機などの)全翼長,翼幅(翼を広げたときの両端の間の長さ)
wink	(合図として)(…に)『目くばせする』,ウインクする《+at+名》 / 〈人・両眼が〉『まばたきする』,まばたく / 《英》きらきらする,〈星・光が〉またたく(《米》blink) / 《古》(眠くて)目をつむる / 〈目〉をまばたきさせる;(…に)〈目〉をウインクして合図する《+名+at+名》 / 〈涙など〉をまばたきして払いのける《+back(away)+名,+名+back(away)》 / 〈同意など〉をウインクで合図する / 《英》〈光・灯など〉を点滅させる(《米》blink) / 〈C〉ウインク,目くばせ / 〈C〉まばたき,またたき;(光の)きらめき / 〈U〉《しばしば a wink》《通例否定文で》またたく間,一瞬間(の…)《+of+名》
winkers	ウインカー(自動車の点滅式方向指示灯)(blinkers)
winkle	タマキビガイ(海水産の食用の巻き貝) / (ピンなどで)…を引っぱり出す《+out+名,+名+out》 / (…から)〈情報・人など〉を引き出す《+名+out of+名》
winner	『勝利者』,優勝者;(競馬の)勝ち馬 / 受賞者 / うまくいくもの(こと),期待できるもの(こと)
winning	決勝の,勝利を得た / (表情・性格などが)魅力のある,愛きょうのある / 〈U〉勝つこと,勝利 / 《複数形で》(特にとばくで)勝った金,賞金
winning post	(競馬の)決勝点(標)
winnow	(もみがらを取り除くために)〈穀物〉を吹き分ける / (穀物から)〈もみがら〉を吹き飛ばす《+away(out)+名+from+名》 / 《文》…をふるいにかける;(…から)…をえり分ける,識別する《+名+from+名》
wino	[安]ぶどう酒びたりの人,のんべえ
winsome	(顔・態度が)人を引きつける,魅力のある(attractive)
winter	『冬』,冬季 / 『冬の』,冬に適した,冬用の / (…で)冬を過ごす,越冬する《+in+名》
winter garden	常夏の園(冬でも熱帯植物に囲まれた総ガラスの建物)
winter solstice	冬至
winter sports	(雪・氷の上で行う)冬季スポーツ
wintergreen	〈C〉ヒメコウジ(北米原産の常緑の低木) / 〈U〉冬緑油(1の葉から採り薬用・香料に使う)
winterize, winterise	…の冬支度をする,に冬期装備をほどこす
winterkill	〈小麦など〉を冬枯れさせる / 冬枯れする
wintertide	冬[季](wintertime)
wintertime	冬,冬期,冬季
wintery	wintry
wintry	冬の,冬のような,寒寒とした / 冷淡な,冷ややかな
winy	(味・香りなどが)ワインの[ような]
wipe	〈物など〉を『ふく』,ぬぐう / 〈よごれなど〉を『ふき取る』,ぬぐい去る《+『away』(『off』)+『名,』+『名』+『away』(『off』)》;(…から)…をふき取る《+『名』+『off』(『from, out of』)+『名』》 / (…に)〈布など〉をこすりつけてふく(ぬぐう)《+名+over(across)+鳴》 / ふくこと,ぬぐうこと
wiper	ぬぐう人(物) / (車の)ワイパー(=windscreen wiper)
wire	〈U〉〈C〉『針金』,金属線 / 〈C〉『電線』,ケーブル;金網 / 《おもに米》〈U〉〈C〉『電報』(telegram) / …を『針金で結ぶ』《+名+together》 / (…のために)〈家など〉に電線を取り付ける《+名+for+名》 / 〈人〉に『電報を打つ』 / (…に…を求めて)電報を打つ《+to+名+for+名》
wire cutters	針金切り,ペンチ
wire netting	金網
wire puller	あやつり人形使い / 陰の実力者,黒幕
wire recorder	針金式磁気録音機
wire service	通信社
wire wool	(さび落としに使う)鋼線
wirehair	フォックステリア犬の別名;針金のような剛毛がある
wirehaired	(特に犬が)針金のような堅い毛の
wireless	〈U〉『無線』,無線電信 / 〈U〉《the wireless》《英》ラジオ[放送,番組];〈C〉『ラジオ』[受信機] / 無線[電信,電話,電報]の / 《英》ラジオの
wiretap	〈電話・電信〉を盗聴する / 電話(電信)を盗聴する / 盗聴 / 盗聴器
wiretapping	盗聴すること,盗聴技術
wireworm	ハリガネムシ(コメツキムシの幼虫.ハリガネムシ目に属する寄生動物とは別)
wiriness	針金に似ていること,針金状 / 筋ばった強じんさ
wiring	(電気の)配線[工事]
wiry	針金製の / 針金のような,堅い / (人が)やせているが頑強な
wisdom	『賢いこと』,賢明さ,知恵,分別;《集合的に》賢明な思考,名言
wisdom tooth	親知らず,知恵歯
wise	(人・行為などが)『賢い』,賢明な,思慮分別のある / 『博識な』,学識豊かな;事情に詳しい,物事が分かっている / 《俗》生意気な / …を気づかせる,…に教える《+up+『名』,+『名』+up》 / (…に)気づく,(…を)知る《+up to+『名』》 / やり方(way),方法,流儀(manner)
wise guy	物知り顔(知ったかぶり)をする人,生意気なやつ
wiseacre	知ったかぶりをする人(=wise guy)
wisecrack	気のきいた文句,警句 / 気のきいた文句を吐く
wisely	『賢明にも』,思慮深く
wish	《現在の反対への願望を表して》《wish+that『節』》…『であればよいのにと思う』 / 《過去の事実と反対の仮定・想像を表して》《wish+that『節』》…『であればよかったのにと思う』 / …を『望む』,したい / 《『wish』+『名』〈人〉+『名』=+『名』+『to』+『名』〈人〉》〈人〉に〈あいさつ,幸運を祈る言葉など〉を『述べる』,言う,祈って言う / 《実現の可能性がある願望》…であればよいと思う / (…に)…を押しつける,無理して頼む《+『名』+on(upon)+『名』》 / (…を)『望む』,ほしがる《+for+『名』》 / (…に)願いをかける《+on(upon)+『名』》 / 〈C〉〈U〉『願い』,願望,希望 / 〈C〉《複数形で》(人の幸福などを願う)『祈願』,好意 / 〈C〉『望みの物』,願いごと
wishbone	叉骨(鳥の胸の二またになった骨;二人でこの骨を引き合って長い方を取った人は望みがかなえられるという)
wishful	望んでいる,切望している
wishful thinking	希望的観測
wishy-washy	気力の乏しい,迫力に欠けた / (スープ・茶などが)水っぽい,薄い
wisp	(毛髪・わら・小枝などの)房,一握り,小束《+of+名》 / (煙・雲などの)一片,細長いもの《+of+名》 / ほっそりした(人・物)《+of+名》
wispy	一場(束)の,小さな,か細い
wist	wit の過去・過去分詞
