phrasebook	熟語集 / (海外旅行用などの)慣用俵現集
piazza	(特にイタリアの都市の)広場 / 《米》ベランダ
pibroch	ピブロック(スコットランド高地でbagpipesで演奏される曲)
pic	映画 / 写真[pictureの短縮形]
pica	パイカ活字;(特に1インチに10字打てる)タイプライター用パイカ活字 / 〈C〉パイカ(行の幅の単位;約4.2ミリ)
picador	ピカドール(闘牛の初めにやりで牛の首を突き,おこらせる役)
picaresque	(物語が)悪漢を題材として
picayune	少しばかりの;つまらない / (考えなどが)けちくさい
piccalilli	ピカリリー(野菜に香辛料・酢を加えたつけ合わせ)
piccaninny,pickaninny	黒人の子供
piccolo	ピッコロ(フルート(flute)より高い音の管楽器)
pick	(入念に)…を『選ぶ』,選び取る / 〈草花・果実など〉を『摘む』,もぐ / 〈鳥など〉の羽をむしる;(…から)…をむしる《+『名』+『from』+『名』》 / (とがった物で)…をつつく,つついて穴をあける《+『名』+『with』+『名』》 / 〈鳥などが〉〈えさ〉をつつく,つついて食べる / 〈争いなど〉をしかける;(人に)〈口論など〉をふっかける《+『名』+『with』+『名』〈人〉》 / (針金などで)〈錠〉をこじあける / 〈ポケット・さいふなど〉の中身をすり取る / 〈弦楽器・弦〉を指で鳴らす,つまびく / 入念に選ぶ / 〈鳥が〉えさをつつく;(食欲がなくて)〈人が〉(…を)少しずつ食べる《+『at』+『名』》 / 〈U〉(…の)選択(choice),(…を)選ぶこと(権利)《+『of』+『名』》 / 〈C〉(…から)選択された人(物);《the~》(…から)選ばれた最上の人(物)《+『of』+『名』》 / 《複合語を作って》「ほじる(つつく)道具」の意を表す / 《話》=plectrum
pick-me-up	《話》元気を回復させるもの(酒・栄養剤・コーヒーなど)
pickaback	=piggyback
pickax, pickaxe	つるはし
picked	精選された
picker	つつく(摘む,拾う,集める)人・つつく道具;綿採集機;つるはし
pickerel	(小さな種類の)カマス
picket	(先のとがった)くい / 見張り兵;《集合的に》警戒部隊 / (労働争議・政治デモなどで)ピケを張る人,ピケ隊員 / …にくいを打つ,柵(さく)をめぐらす / 〈動物〉をくいにつなぐ / (ストライキなどのときに)〈建物など〉にピケを張る / …に見張りを置く / ピケを張る,ピケ要員をつとめる
picket fence	杭垣(くいかき)(くいを並べた垣)
picket line	ピケライン(ストライキなどで就業を阻止する監視員の列)
picking	〈U〉入念に選ぶこと,摘み取ること;〈C〉摘み取った物 / 《話》《複数形で》摘み残し,残り物;役得,盗品
pickle	〈C〉《複数形で》(野菜,特にキュウリの)『ピクルス』 / 〈U〉(ピクルス用の)つけ汁 / 〈C〉《単数形で》《話》苦境,窮地,困った立場(plight) / 〈U〉(金属などを洗う)希薄酸液 / 〈C〉《英語》いたずら小僧 / …をつけ汁につける,ピクルスにする
pickled	(食物が)塩(酢)づけにした / 《話》《補語にのみ用いて》酔っぱらった
pickpocket	すり
pickup	〈U〉〈C〉pick upすること / 〈C〉(レコードプレーヤーの)ピックアップ / 〈U〉〈C〉(自動車の)加速[能力] / =pickup truck / 〈C〉《米話》(健康・景気・仕事・生産などの)好転,向上《+『in』+『名』》・拾うこと; 集めること, 集配; 車に乗せること; ふとした知り合い, 行きずりの女[男]; ヒッチハイカー[タクシー客](を拾うこと)・現場から本局への中継(組織); 放送現場; 〔話〕 疲労回復剤[飲料], 刺激; よせ集めの, 即席の, (食事が)有り合わせの
pickup truck	(荷台の屋根のない)小型集配用トラック
picky	ささいなことにやかましい,気むずかしい
picnic	『ピクニック』,(野外の食事を伴う)遠足 / 《話》《通例否定文で単数形で用いて》楽な仕事,楽しい時 / ピクニックに行く
picnicker	ピクニックをする人
picot	ピコット(ししゅう・レース・リボンなどの縁に施す丸い輪飾りの一つ) / …にピコットで縁飾りする
picric acid	ピクリン酸
pictograph	絵文字,象形(しょうけい)文字 / ピクトグラフ,統計画(数字の代わりに絵や図を用いて表す)
pictographic	絵文字の,象形文字の
pictorial	『絵画の』;絵で表した / 絵入りの,さし絵のはいった / 目に見えるような,生き生きとした / 写真中心の新聞(雑誌),画報
picture	〈C〉『絵』,『絵画』 / 〈C〉『写真』 / 〈C〉『映画』;《the pictures》《おもに英》(興行としての)映画 / 〈C〉『生き生きとした叙述』(『描写』) / 〈C〉《単数形で》絵のように美しい人(物,風景) / 〈U〉《the~》(人の)『生き写し』;(ある性質・気分などを)絵にしたようなもの;(…の)見本,化身(embodiment)《+『of』+『名』》 / 〈C〉《単数形で》(…の)像,心像;画像,画面《+『of』+『名』》 / 〈U〉《the~》状況,事態 / {動}を絵に描く / …を絵に描いたように描写する / …を心に描く,想像する
picture phone	テレビ電話
picture tube	(テレビの)受像管,ブラウン管
picture window	(外の景色を見るための大きな)見晴らし窓
picturesque	『絵のように美しい』,絵のような / (文章・話しぶりなどが)生き生きした,真に迫った
piddle	だらだら時を過ごす / 《小児語》おしっこする / 〈時〉をだらだら過ごす
piddling	つまらない,ささいな
pidgin	混合語(外国人同士が互いの,またはいくつかの言語を簡略化・混合して伝達に使う補助言語)・《one's~》《英話》仕事[businessの中国なまり]
pidgin English	ピジン英語 (基盤となる英語に中国語・ポルトガル語・マレー語などが混合した言語; 中国の東部海岸で通商用語として広く使われた; 現在メラネシア・西アフリカなどで用いられている同様の混成語:中国人が外国人との取引きに使うなまりの多い英語)
pie	パイ / =pi
pie-eyed	酔っぱらった
piebald	(特に馬などが)白黒まだらの / (特に)白黒まだらの馬
piece	(全体から分離した)『部分』,『断片』,破片 / (…の)…『個』,『片』,枚《+『of』+『名』》 / (セット・グループを構成するものの)一つ;(ゲームで使う)こま,チェスの歩(pawn)以外のこま / 《英》硬貨(coin) / (音楽・美術・文学などの)作品《+『of』+『名』》 / 銃,砲,ピストル / 《単位として》(布などの)1反,一巻き《+『of』+『名』》;《the~》仕事量 / 《俗》(性交の対象としての)女 / …を継ぎ合わせる / …を継ぎ合わせて作る / …を繕う
piece goods	反物
piecemeal	一つ一つ,少しずつ・ひとつずつ,少しずつ; 漸次・ばらばらの・断片的な,ひとつ[少し]ずつの・ばらばらに(into pieces)・断片的な,少しずつなされる
piecework	出来高払いの仕事
pieceworker	出来高払いの仕事をする人
piecrust	パイの皮
pied	まだらの,ぶちの
pied-à-terre	仮の住まい(宿)
pier	『船着き場』,さん橋(さんばし),埠頭(ふとう) / 橋脚 / (窓と窓の間の)窓間(まどあい)壁
pierce	〈物が〉…を『突き刺す』,に突き通る;〈人が〉(ナイフなどで)…を突き通す《+『名』+『with』+『名』》 / 〈穴〉を突いてあける / …を洞察する / 〈寒さ・痛み・悲しみなどが〉〈人・人の心・体〉を突き通す,刺す / 〈光・声などが〉…を鋭くさし込む / 『突き刺さる』,(…に)突き刺さる《+『in(into, to)』+『名』》,(…を)突き抜ける《+『through』+『名』》
piercing	刺し通すような;身にしむ
pieta	〈C〉聖母マリアがキリストの遺体を膝に置きながら嘆く像や絵
piety	〈U〉敬けんなこと,信心 / 〈U〉(両親・母国・理想などに対する)忠誠,敬愛 / 〈C〉敬けんな行為(信仰)
