Prot.	Protestant
pace	〈C〉『1歩』;歩幅(ほぼ75‐100cm) / 〈C〉〈U〉『歩調』,速度,ペース / 〈C〉《単数形で》(馬の)側対歩(同じ側の前後の脚を同時に上げ下げする歩き方) / …を一定の歩調で歩き回る / …を歩いて測る,歩測する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 / …の速度を調整する / 《副詞[句]を伴って》ゆっくり(普通の速さで)歩く,ゆっくりと行ったり来たりする / 〈馬が〉側対歩で歩く / (自分と意見を異にする人に敬意を示して)…には失礼ですが
pace bowler	(クリケットで)速球を投げる投手
pacemaker	(また《おもに米》『pacesetter』)ペースメーカー(レースで先頭に立って速度の調整役となる走者) / 脈拍調整器(心臓病の治療器)
pacer	歩測者 / 側対歩で進む馬
pacesetter	=pacemaker
pacesetting	歩調調整の
pachyderm	厚皮動物(カバ・ゾウ・サイなど)
pachysandra	フッキソウ(アメリカで芝生の代りに植える常緑草)
pacific	平和的な,平和を好む / 穏やかな,平穏な
pacifically	平和的に
pacification	なだめること,和解すること / 平和,講和;講和条約
pacifier	調停者,仲裁者 / 《米》(乳児用の)ゴム製乳首(《英》dummy)
pacifism	平和主義,平和論,反戦主義(論)
pacifist	平和主義者,平和論者,戦争反対者
pacify	〈人,人の感情など〉をなだめる,〈苦痛など〉を和らげる / 〈国など〉を静める,平和にする
pack	『包み』,『束』;荷物 / (…の一つの)『包み』,組,そろい《+『of』+『名』》 / (人・動物などの一つの)『隊』,群れ《+『of』+『名』》 / 《a~》たくさん(の…)《+『of』+『名』》 / (傷口などに当てる)湿布 / (美容のための)パック / 〈物など〉を『包む』,『束ねる』,荷作りする / (物)〈容器など〉に『詰める』,入れる《+『名』+『with』+『名』》 / (容器に)〈物など〉を『詰め込む』,いっぱいに入れる《+『名』+『into』(『in』)+『名』》 / 《しばしば受動態で》(人・物が)〈場所・乗り物など〉を『いっぱいにする』 / 《米話》…を身につけている / (運搬・保管などのために)『荷作りする』,『包装する』《+『up』》 / 〈物が〉荷作りできる,包装し得る / (…に)〈物が〉ぎっしりはいる《+『into』+『名』》 / 〈人材・カードなど〉をえり好みする(stack)
pack animal	荷を運ぶ動物;荷馬
pack ice	=ice pack
package	(あまり大きくない)『包み』,梱包(こんぽう);詰め合わせ品 / (箱・ケースなど,荷作り用の)容器 / …を荷作りする,包む;…を箱に入れる
package deal	一括契約(取引),一括購入(販売)
package store	酒類小売店(びん売りに限られ,店内での飲用はできない)
package tour	セット旅行(業者が仕立てた旅行;交通費・宿泊費を含む)
packed	満員の,すし詰めの
packed-out	(室内・建物などが)人々でぎっしり詰まった
packer	(特に食品を)荷造りする人(機械),梱包(こんぽう)業者,出荷業者
packet	(小さい)包み;小荷物 / (またpacket boat)(郵便・旅客・貨物などを運ぶ)定期船,郵便船 / 《英俗》大金
packhorse	(荷物を運搬する)駄馬(だば)
packing	荷造り,包装 / (荷造りの)詰め物,パッキング
packinghouse	(特に精肉などの)食品包装加工場
packrat	モリネズミ(北米産;小さく光る物を巣に集める習性がある)
packsack	(革または布製の)肩掛けかばん,リュックサック
packsaddle	(馬・ロバなどの)荷ぐら
packthread	荷造りひも
pact	協定(agreement),条約(treaty)
pad	(衝撃・摩擦などを防ぐ)『当て物』,クッション,詰め物;(洋服の肩などの)パッド,(球技用の)胸当て:すね当て;(いすなどの)敷き物 / はぎ取り式の帳面,用紙つづり / (また『inkpad』)スタンプ台,インク台 / (犬・ウサギなどの)足裏の柔らかいふくらみの部分 / (スイレンなどの)大きな浮き葉 / (ロケットなどの)発射台(launching pad) / 《俗》(自分が住む)部屋,家 / 《俗》《the pad》わいろ / (…で)…に『当て物をする』,詰め物をする,パッドを入れる《+『名』+『with』+『名』》 / (不必要な文句を入れて)〈文など〉を引き延ばす《+『out』+『名』+『with』+『名』》 / (費用などを)〈帳簿など〉に水増しして記帳する《+『名』+『with』+『名』》 / 足音を立てずに歩く / (足音などの)静かな音
padding	(毛・綿などの)詰め物 / (文章・演説などの)挿入語句,埋め草
paddle	パドル(カヌーなどをこぐ短く幅の広いかい) / (ピンポンなどの)ラケット / (かき混ぜたり打ったりする)へら状の道具 / (アヒルの)水かき / 〈カヌーなど〉をかいでこぐ / 《話》〈人,人のおしりなど〉をへら棒で打つ,平手で打つ / かいでこぐ / (浅い場所で)水をパシャパシャさせる;浅瀬を歩く
paddle steamer	外輪船(水かき車を回転させて進む船)
paddlefish	ヘラチョウザメ(米国Mississippi川周辺に住む)
paddlewheel	外輪(昔の汽船の両舷(けん)の外側についた水かき車)
paddling pool	(公園などの)水遊び場,水たまり(《米》wading pool)
paddock	(馬小屋や納屋に付近にある)小牧場 / (競馬場の)パドック(馬にくらを付け騎手が乗る囲い地)
paddy	〈U〉米;もみ / (またpaddy field)〈C〉稲田,水田 / 激怒,ふきげん,大むくれ
padlock	なんきん錠 / …になんきん錠を掛ける
padre	(イタリア・スペイン・ポルトガル・南米などの)神父(father) / 《話》従軍牧師
paean	喜び(感謝)の歌,賛歌
paederast	=pederast
paederasty	=pederasty
