prescriptive	指示する,規定する / 時効による;長年の使用(慣行)によって得られた
president	《しばしばPresident》『米国大統領』;(一般に共和国の)『大統領』 / 《時にPresident》(組織体の)『会長,総裁,長官』 / 《時にPresident》《米》『社長』 / 《しばしばPresident》(大学の)学長,総長 / 《米》議長,司会
presidential	大統領の,会長の,社長の
presidium,praesidium	(旧ソ連などの)最高会議幹部会
presoak	(しみ抜きで)…をあらかじめ液剤にひたす / あらかじめ液剤にひたす / しみ抜き / しみ抜き剤
press	(力・重量をかけて)…を『押す,圧する』 / (…から)〈果汁・油など〉をしぼり出す《+『名』+『from』(『out of』)+『名』》 / 〈服など〉にアイロンをかける(iron) / (親愛・共感の表現として)…を抱き締める,握り締める / (人をかきわけて)〈道〉を押し進む / 《しばしば受動態で》…を圧迫する,苦しめる(harass) / (人に)〈物事〉を無理に押しつける,強要する《+『名』+『on』(『upon』)+『名』〈人〉》 / (物事を)〈人〉に無理に押しつける,迫る,強要する / (…を)『押す,圧する』《+『on』(『upon, against』)+『名』》 / 《副詞[句]を伴って》〈衣服が〉アイロンがかかる / 押し進む,突き進む;〈群衆などが〉押し寄せる,殺到する / 〈時間が〉切迫している;《話》〈物事が〉急を要する / (…を)しつこくせがむ,せきたてる《+『for』+『名』》 / 《a~》『押すこと』,『圧迫』;握り締めること / 〈C〉圧搾(縮),締め具,(果汁の)しぼり機 / 〈C〉《通例P-》印刷所,発行所 / 〈U〉印刷 / 《the~》(新聞・雑誌・ラジオ・テレビなどの)報道機関,言論界;《集合的に》報道陣,新聞(雑誌)記者 / 〈C〉《単数形で》(新聞での)論評,取り上げ方 / 〈U〉(押し合う)雑踏,人だかり,群衆 / 〈U〉(事態・仕事などの)切迫していること,火急,急迫 / 〈C〉《話》アイロンをかけること / 〈他〉強制徴兵する
press agency	通信社
press agent	(芸能人・映画会社などの)新聞係,宣伝係,報道係
press baron	新聞王
press box	(スポーツ大会場などの)記者席,放送席
press conference	記者会見
press cutting	《通例複数形で》新聞の切り抜き
press gallery	(英国議事堂内の)報道記者席
press lord	=press baron
press release	新聞社向けの発表
press-stud	ホック
press-up	《英》=push-up
pressed	(食品が)プレス加工の / 《補語にのみ用いて》(…に)追われた,切迫して《+『for』+『名』》
pressgang	水兵強制徴募隊(18世紀に英国海軍が兵集めに組織した) / 《話》(部隊などへ)…を強制編入させる《+『名』+『into』+『名』》
pressing	緊急の,差し迫った / (人・頼みなど)たっての,熱心な / (原盤よりプレスして作られた)レコード
pressman	印刷工 / 《英語》新聞記者
pressmark	(書籍につけた)書架記号
pressure	〈U〉『押すこと』,『押しつけること』,圧搾,圧縮;〈C〉〈U〉『圧力』,圧力の強さ / 〈U〉『圧迫』,『強制』 / 〈U〉(不快な)圧迫感 / 〈C〉〈U〉(精神的な)重荷,苦悩;(時間・金銭的)切迫 / 〈U〉多忙,あわただしさ / 《おもに米》…に圧力をかける,強制する(《英》pressurise)
pressure cabin	(飛行機内の)与圧室,気密室
pressure cooker	圧力がま(なべ)
pressure gauge	圧力計
pressure group	圧力団体
pressure suit	(宇宙旅行などで着る)気密服,与圧服
pressurization,pressurisation	与圧[状態]
pressurize,pressurise	〈飛行機・宇宙船などの内部〉の気圧を正常に保つ,に与圧する / (平常より高く)〈気体・液体〉に加圧する
prestidigitation	手品,奇術
prestige	(成功・業績などによる)『威信』,『名声』,声望
prestigious	誉れの高い,高名な;尊敬されている
prestissimo	(音楽の指示で)最も速い / 最も速く
presto	(音楽で)(テンポを)急速に / (テンポが)急速な / 急速曲
prestressed	(コンクリートが)補強鋼線入りの
presumable	仮定(推定)できる,ありそうな(probable)
presumably	たぶん,おそらく
presume	…を推定する,仮定する / 《『presume to』 do》『思い切って』『する』,大胆(生意気)にも…する(dare) / 思いあがった(生意気な,大胆な)ことをする / (…に)つけ入る,つけ込む,甘える《+『on』(『upon』)+『名』》
presuming	=presumptuous
presumption	〈C〉推定(仮定)すること;(…であるという)推定《+『that節』》 / 〈U〉でしゃばり,(…する)ずうずうしさ《+『to』do》
presumptive	推定上の,推論(仮定)に基づく
presumptive heir	法廷推定相続人
presumptuous	でしゃばりのずうずうしい,生意気な
presuppose	(当然のこととして)…を予期する,予想する;〈…であること〉を予期する《+『that節』》;(…すると)…を予想する《+『名』+『to』 do》 / …を前提とする;〈…であること〉を前提する《+『that節』》
presupposition	〈U〉予期(予想)すること / 前提となる事柄;(…という)前提《+『that節』》
preteen	ティーンエイジ(teen age)前の子供(10‐12歳ぐらい)
pretence	=pretense
pretend	…の『ふりをする』,に見せかける / 《話》《『pretend』『to』do》…すると言い張る,主張する / (遊びで)…のまねごとをする / 『見せかける』,『取り繕う』,まねごとをする / (知識・才能などがあると)自負する,自任する《+『to』+『名』》 / (王位などの権利があると)主張する《+『to』+『名』》 / おもちゃの,空想上の
pretended	装ったふりをした,偽りの,にせの
pretender	装う人,…ぶる人;(…の)詐称者,要求者《+『to』+『名』》
pretense,pretence	〈U〉《a~》『見せかけ』,ふり,まね / 〈U〉気取り,てらい,自称
pretension	〈C〉《しばしば複数形で》(自分が実際はそうでないのに,そうだと)気取ること,自称,自任 / 〈U〉《文》見せかけ,みえ
pretentious	うぬぼれた,思い上がった / 見えをはる,ぎょうぎょうしい
preterit,preterite	(文法で)過去時制; (動詞の)過去形 / (文法で)過去の動作
preternatural	異常な / 超自然的な,不可思議な
pretest	(新製品などの)試用,予備テスト / …を試用(予備テスト)する / 試用(予備テスト)する
pretext	『口実』,『弁解』
pretor	=praetor
pretorian	=praetorian
prettification	飾りたてること,粉飾
prettify	…を飾りたてる,装飾する
prettily	きれいに,かわいらしく;上品に,行儀よく / 適切に,みごとに
prettiness	きれいさ,かわいらしさ / こぎれいさ,すっきりしていること
pretty	(女・子供などが)『きれいな』,『かわいらしい』;(事物・場所などが)きれいな,こぎれいな / (目・耳・心に)『快い』,楽しい / 《名詞の前にのみ用いて》《しばしば皮肉に》みごとな,けっこうな;ひどい / 《名詞の前にのみ用いて》《話》(数量・規模・範囲などが)『かなり大きい』,相当な / 『かなり』(fairly);わりあいに(somewhat) / とても,ずいぶん(very) / 《話》《まれ》《呼びかけに用いて》かわいい子(女)
pretty-pretty	(絵などが)ただきれいというだけの,飾り立てただけの
pretzel	プレッツェル(ねじり巻きにしたひもを結んだ形にして焼いた塩のきいたビスケット;ビールのつまみにする)
prev.	previous / previously
prevail	《文》 / (…に)〈強さ・影響力が〉『勝る』,勝つ《+『over』(『against』)+『名』》 / (…に)『普及している』,広く行きわたる《『in』(『among』)+『名』》
prevailing	《名詞の前にのみ用いて》 / 『最も一般の』;『広く行きわたっている』; / 有力な,優勢な
prevalence	広く行きわっていること,普及 / 優勢,支配
prevalent	『いたる所ににある』,流行している
prevaricate	言い紛らす,言葉じりを濁す / 《遠回しに》うそをつく,ごまかす(lie)
prevarication	言い紛らすこと,言い逃れ
prevaricator	言い逃れをする人
prevent	〈物事〉が『起こらないようにする』,予防する,防ぐ,妨げる / 〈物事が〉〈人〉の邪魔をする,妨げる
preventable,preventible	予防できる,妨げられる
