proselyte	改宗者;転向者 / =proselytize
province	〈C〉(国の行政区画としての)州,省,県 / 〈U〉(権威・責任などの及ぶ)範囲,(学問・活動などの)領域,分野 / 《the provinces》(首都・大都市に対して)『地方』,いなか / 〈U〉(特定の動植物の)生息地域,繁殖地域 / 〈C〉属州(古代ローマで,ローマの支配下にあったイタリア本国以外の土地) / 〈C〉(大主教・修道会の)管区
provincial	《名詞の前にのみ用いて》『地方の』,いなかの;州の,省の,県の / 地方特有の;いなかめいた / 偏狭な / 地方人,いなか者・管区長
provincialism	(作法・話しぶり・考えなどの)いなかふう,いなかっぽさ / 〈C〉お国なまり,方言
proving ground	(新理論・新機具・新構想・新装置などの)実験場・性能試験場
provision	〈U〉(…の)『供給』,『支給』《+『of』+『名』》 / 〈U〉(…に備える)『用意』,準備《+『for』(『against』)+『名』》 / 《複数形で》食糧[供給] / 〈C〉(法律などの)条項,規定 / …に食糧を供給する
provisional	仮の,一時的な,暫定的
proviso	(法令・契約などの)ただし書き,条件
provocation	怒らせること,挑発する(される)こと / 〈U〉〈C〉怒らせる原因,挑発するもの
provocative	(物事が)人を刺激する,挑発的な;(特に性的に)刺激する
provoke	…を『怒らせる』,不きげんにする / (ある状態に)〈人〉を『駆り立てる』 / 〈けんか・議論・関心・感情など〉を『引き起こす』
provoking	人を怒らせる,人を刺激する
provolone	プロバローニ(芳醇(ほうじゅん)なイタリアチーズ)
provost	《米》(大学の)事務総長;《英》(大学の)学寮長 / 《スコットランド》市長(mayor)
provost marshal	憲兵司令官 警務隊長 憲兵隊長
prow	《おもに文》船首,へさき(bow);機首
prowess	《文》(特に戦場での)すばらしい勇気,武勇 / すぐれた能力(技量)
prowl	《副詞[句]を伴って》(獣がえさを求めて,または人が盗みをしようと)足音をしのばせてうろつき回る / 〈場所〉をうろつく / 《単数形で》うろつくこと,さまよい歩き
prowl car	《米》=patrol car
prowler	うろつく人;(えさを求めて)徘徊(はいかい)する動物
prox.	proximo (ラテン語)来月
proximal	(骨などが)近位の(体の中心に近いこと)
proximate	(時間・順序・血族などが)最も近い,直接の;(…の)直前(直後)の《+『to』+『名』》
proximity	(場所・時間・血族関係など)(…に)近いこと,近接《+『to』+『名』》
proximo	来月の
proxy	〈U〉(…の)代理,代理権;〈C〉代理人《+『for』+『名』》 / 〈C〉委任状
prude	(言動・服装などで)お上品ぶった人,すまし屋
prudence	用心深さ,慎重さ;思慮深さ,分別 / 倹約,つましさ
