polo shirt	ポロシャツ(丸首,あるいは折返しえりのついた半そでのスポーツシャツ)
poor boy	おんぼろ装置
poor law	貧民救済法
poor white	(特に米国南部の黒人社会のなかの)貧しい白人
poor white trash	下層白人、貧乏白人
poor-spirited	おく病な,勇気のない
poorhouse	(昔の)救貧院
poorly	『貧しく』,乏しく,不十分に / 『へたに』,まずく / 健康がすぐれない,病身な
poormouth	貧乏を言い訳にする,貧しいとこぼす
pop	ポンと音がする;ポンとはじける / 《話》《副詞[句]を伴って》ひょいと動く / 《話》《副詞[句]を伴って》〈目が〉ポンととび出るほど開く / 《話》(…を)ズドンと撃つ《+『at』+『名』》 / (野球で)小飛球を打ち上げる《+『up(out)』》 / …をポンと鳴らす,ポンとはじく / 《話》《副詞[句]を伴って》…をひょいと動かす / 《話》〈鉄砲〉をズドンと撃つ / 《話》〈質問〉をだしぬけにする / 《話》〈人〉をポンとたたく《+『名』+『on』+『名』》 / 〈C〉『ポン(パチン,パン)という音』 / 〈U〉ポップ,発泡飲料水 / ポンと[音をたてて];ふいに / 大衆向きの / (ある人の)とうちゃん,おやじさん / (親しみをこめて)おじさん / ポピュラー音楽
pop art	ポップアート(主題・技法などが,漫画・広告ポスターなどから派生した絵画)
pop fly	(野球の)ポップフライ,小飛球
popcorn	ポップコーン(とうもろこしの一種をいったもの)
pope	ローマ教皇(法王)
popery	ローマカトリック教[の教義・儀式]
popeyed	(驚き,興奮などで)目を丸くした・= pop-eyed
popgun	空気鉄砲(コルクの栓などを用いるおもちゃ)
popinjay	しゃれ者,気取り屋
popish	ローマカトリック教的な,ローマカトリック教に特有の
poplar	〈C〉ポプラ / 〈U〉ポプラ材
poplin	ポプリン(綿・絹・羊毛・レイヨンなどの交織織物)
