priory	小修道院(格はabbeyの下)
proconsular	地方(植民地)総督[管下]の
proconsulate	地方(植民地)総督の職(地位,任期)
procrastinate	ぐずぐず延びる,遅れる
procrastination	遅延,引き延ばし
procreate	〈子〉をもうける,〈子孫〉を作る(beget) / 繁殖する
procreation	出産;生殖
procrustean	強引に画一化する,無理に規準に合わせる
proctor	(大学の)試験監督官;《英》(大学の)学生監,学生部長 / 〈試験〉の監督をする
procurable	入手(取得)できる
procurator	(古代ローマの)[皇帝の]代官,行政長官
procure	…を『努力して手に入れる』 / 《米》《英古》…を引き起こす,もたらす / [女]を売春のためかかえる
procurement	(…の)入手,獲得,調達《+『of』+『名』》
procurer	〈C〉(必要な物や人を手配する)調達者 / 売春のあっせん人,ポン引き
procuress	〈C〉(女性の)売春あっせん人 / 女ポン引き
prod	突き刺す(つつく)こと / 刺し針,突き棒 / (一般に)刺激 / (先のとがったもので)…を突き刺す,つつく《+『名』+『with』+『名』》 / …を刺激する,呼び起こす;〈人〉を励まして(…を)促す《+『名』〈人〉+『to』(『into』)+『名』(do『ing』)》 / (…を)突く,つつく《+『at』+『名』》
prod.	produce / produced / producer / product / production
prodigal	金を浪費する,金づかいの荒い;(…を)惜しげもなく使う《+『of』(『with』)+『名』》 / 浪費家;放蕩者
prodigality	浪費,放蕩 / (いくら使っても尽きないほど)たくさんあること
