patronymic	父や祖父の名にちなんだ / 〈C〉父や祖父の名にちなんだ名前
peacock blue	光沢のある青緑色
peafowl	クジャク(雌雄ともにいう)
peahen	雌クジャク
peak	(とがった)『山頂』,峰;最も高い所 / (独立した)鋭峰,孤峰 / 『とがった先』,先端 / (事の)最頂点,絶頂,ピーク / (帽子の)前びさし / 最高の,最大の,ピークの / 頂点に達する,最高(最大)になる / 《古》〈勢いが〉衰える;〈人が〉病み衰える,やつれる
peaked	先のとがった;前びさしのある / やせた,やつれた
peaky	峰のようにとがった / 衰えた,やつれた / 《話》気分が悪い
peal	鐘の響き,チャイムの音 / チャイム / (雷・笑い声などの)響き,とどろき《+『of』+『名』》 / 〈鐘など〉を鳴り響かせる / 鳴り響く,とどろく
peanut	『落花生』,南京(なんきん)豆,ピーナッツ(《英》groundnut) / (1年草の)落花生;ピーナッツのさや / 《複数形で》《米俗》つまらない絹(物);ごく少額の金
peanut butter	ピーナッツバター
pear	『西洋ナシ』;西洋ナシの木
pearl	〈C〉『真珠』,パール / 〈C〉(形・光沢などが)真珠のようなもの / 〈C〉(真珠のように)価値のあるもの(人),傑出したもの(人) / =mother-of-pearl / (また『pearl gray』)〈U〉真珠色 / 真珠の[ような] / 真珠色の / 真珠を採取する
pearl barley	(ついて白くした)精白麦,丸麦,つき麦
pearl diver	真珠貝採集の潜水夫
pearl fishery	真珠貝を採集(養殖)する海底
pearly	真珠のような / 真珠をちりばめた
peasant	(ヨーロッパなどの小さい農地を所有して耕作する)『農夫』;借地農民,小作農 / 《軽蔑して》小百姓;無学者
peasantry	小農[階級]
pease	《古》peaの複数形,しみ出す,漏れ出る
peashooter	(子供たちが遊ぶ)豆鉄砲
peat	ピート,泥炭(でいたん)
peaty	泥炭を含む,泥炭に似た
pebble	『小石』(おもに海岸・川岸で水の作用で丸くなったもの) / 〈道など〉を小石で舗装する / 〈皮など〉に凹凸模様をつける
pebbledash	小石打ちつけ塗り(小石を混ぜたモルタル外壁の仕上げ)
pebbly	小石の多い,小石で覆われた,小石のような
pecan	ペカン(米国原産のクルミの一種);ペカンの実(食用になる)
peccadillo	軽い罪,微罪,ちょっとした誤り
peccary	ペッカリー(米大陸産;イノシシに似た動物)
peccavi	罪のざんげ(告白)
peck	…を『くちばしでつつく』 / 〈穴など〉をくちばし(とがった道具)でつついて開ける / 〈鳥が〉…をついばむ / 《話》(あいさつなど)〈人〉に軽いキスをする / (…を)『くちばしでつつく』《+『at』+『名』》 / 〈C〉ペック(穀物など乾燥した物質の量の単位で約9リットル) / 《a~》たくさん(の…),多量(の…)《+『of』+『名』》
pecker	ちんぽこ(penis)
pecking order	つつき順位(人間の上下関係;鳥の世界で強いものが下をつつく順位があることから)
peckish	空腹の,腹がへった
pectic	ペクチンの,膠素(こうそ)の
