permissibly	許されて,差し支えなく
personally	『自分自身で』,本人自ら / 《文頭に置いて》『自分としては』 / 『一個の人間として』,個人的に / 自分に向けられたものとして,個人に当てつけて
personalty	=personal property
personate	(劇などで)…の役を演ずる / (だますため)…のふりを装う,になりすます
personification	〈U〉〈C〉擬人化 / 〈C〉《the personification》(…が)擬人化されたもの,(…の)典型,権化(ごんげ),化身(けしん)《+『of』+『名』》 / (修辞学で)擬人法
personify	(…として)…を擬人化する《+『名』+『as』+『名』》 / (人などが)…を具現する,の典型(権化,化身)である
personnel	《集合的に》《おもに複数扱い》(官庁・学校などの)全職員 / 人事局(部,課) / 職員の,人事の
perspective	〈U〉『遠近[画]法』,透視図法 / 〈C〉遠近画,透視図 / 〈C〉遠景,眺め / 〈U〉(距離の遠近による)物の見え方,遠近感 / 〈U〉〈C〉(広い視野からの)『観点』,立場,見地 / 〈U〉(物事の)相互関係,釣り合い / 遠近法の(による)
perspicacious	(人が)鋭い観察力(判断力)のある,理解力のある;(判断などが)先見の明のある,明敏な
perspicacity	洞察力,明敏
perspicuity	(言葉などの)明快さ,理解しやすさ
perspicuous	(言葉・議論などが)理解しやすい,明快な
perspiration	汗 / 発汗[作用]
perspire	汗をかく,発汗する
persuade	〈人〉を『説得する』 / 〈人〉に『信じさせる』
persuasion	〈U〉『説得』;説得力 / 〈U〉〈C〉『確信』,信念 / 〈U〉〈C〉(宗教上の)信条,教派,宗派
persuasive	説得できる,説得力のある
pert	生意気な,こしゃくな / 活発な,元気のよい / (服装などが)いきな
pert.	pertaining
pertain	(…に)関係がある,関連する《+『to』+『名』》 / (…に)付属する《+『to』+『名』》
pertinacious	(信念・目的・意見などを)固守する,頑固な,執ような
pertinacity	根気強さ,粘り強さ,執よう,頑固
pertinence	適切さ,妥当性
pertinent	直接の関係がある
perturb	〈人・人の心〉を非常に不安にさせる(心配させる)
perturbation	〈U〉動揺,不安;混乱 / 〈C〉不安(混乱)のもと
peruke	=periwig
perusal	(…を)熟読(精読)すること,(…の)綿密な調査,精査《+『of』+『名』》
peruse	…を熟読する,精読する;(単に)…を読む,通読する(read)
pervade	〈におい・感情などが〉…にみなぎる
pervasion	一面に広がること,みなぎること;普及;浸透
pervasive	広がる,みなぎる;普及する
perverse	(人・人の考え方が)ひねくれた,片意地な,つむじ曲りの, 強情な; あいにくの; 邪悪な・(情況・運命などが)思い通りにならない,不利な・(行為が)道理に反する,誤った
perversion	(意味などを)ゆがめること,曲解 / 墜落,邪道,変態
perversity	つむじ曲がり,強情;〈C〉ひねくれた性格(行為)
perversive	誤らせる,邪道に誘う;曲解する,曲解的な
pervert	…の意味をゆがめる;…を曲解する / 〈人〉を墜落させる,誤った道に陥らせる / …を悪用する / 変態,性的倒錯者
perverted	異常な,変態の / 正道をはずれた,ゆがんだ
peseta	ペセタ(スペイン・スペイン領の貨幣単位;《略》『p.,Pta』)
pesky	やっかいな,うるさい
peso	ペソ(メキシコ・キューバ・フィリピンなどの貨幣単位;《略》『P.』)
pessary	ペッサリー(避妊用子宮せん);腟(ちつ)挿入座薬
pessimism	悲観[論],厭世(えんせい)主義
pessimist	悲観論者,厭世家;悲観的な人
