poilu	(第一次大戦中の)フランス兵
police constable	巡査(警察官の最下位)c.
police court	警察裁判所(軽犯罪を即決裁判する所)
police dog	警察犬
police magistrate	警察裁判所判事
police officer	警官
police state	警察国家(秘密警察が市民の行動を弾圧する国家)
police station	警察署
policeman	『警官』,巡査
policewoman	婦人警官
policy	〈C〉(政府・政党・企業などの)『方針』,方策,政策 / 〈U〉処世上の知恵,抜け目のなさ,思慮分別 / 保険証券(証書)
policyholder	保険契約者
polio	小児麻痺(まひ),ポリオ[poliomyelitisの短縮形]
poliomyelitis	小児麻痺
polish	…を『磨く』,光らせる,のつやを出す / 〈態度・言葉など〉を『洗練する』,上品にする / 〈文章・演技など〉に磨きをかける / 磨いてつやが出る,滑らかになる / 《a ~》光沢,つや / 〈U〉〈C〉つや出し,みがき粉 / 《a ~》磨きをかけること / 〈U〉(態度・ふるまいの)洗練,上品さ
polished	磨かれた / 洗練された,上品な
polisher	(金属・木工などの)みがき職人 / 《しばしば複合語を作って》つや出し(みがき)器具,光沢剤
polit.	political / politics
polite	『礼儀正しい』,『ていねいな』 / 『洗練された』,教養のある,上品な
politesse	(形式的な)礼儀正しさ・= politeness
politic	(態度・行動などが)賢明な / (人が)策をろうする
political	《名詞の前にのみ用いて》『国家の』,政府の;『政治の』,政治上の / 《名詞の前にのみ用いて》国家(政府)に有害な / 政治好きの,政治活動する / 政略的な
political asylum	(政治亡命者に与えられる)政府保護
political economy	社会科学,政治経済学;《古》経済学
political geography	政治地理[学](自然区分ではなく国境区分の地理研究)
political science	政治学
politician	『政治家』 / (利権をあさる)政略家,政治屋
politicize,politicise	…に政治色を帯びさせる / …に政治に関心を持たせる / 政治に関心を持つ
politick	政治運動(活動)をする
politicking	(個人的利益のために)政治活動に参加すること
politico	政治家,政治屋
politics	《単数扱い》『政治』;『政治学』 / 《単数・複数扱い》政治活動,政治問題 / 《単数・複数扱い》政治的手段,政略;(一般に)術策 / 《複数扱い》(個人の)政治的信条
polity	〈U〉政治形態 / 〈C〉(個々の)政体 / 〈U〉《集合的に》(ある政体下の)国民
polka	ポルカ(ボヘミアに起こったダンス;その曲)
polka dot	《複数形で》(布地の)水玉模様 / 水玉模様の布地
poll	〈U〉(選挙の)『投票』 / 《a ~》投票数 / 《米》《the polls》投票所 / 〈C〉選挙人名簿 / (またopinion poll)〈C〉世論調査 / (人の)頭(特に毛髪のある部分) / 〈一定数の投票〉を得る / 《通例受動態で》…に投票をさせる / (…について)〈人々〉の世論調査をする《+『on(about)』+『名』》 / 〈頭髪・羊毛など〉を刈る;〈樹木の枝先〉を刈り込む / 〈牛〉の角(つの)を切る / (…に)投票する《+『for』+『名』》
poll tax	人頭税(選挙権の行使の条件として国民一人一人に一律に課せられる税)
pollack	タラの一種
pollard	先端を切り込んだ木 / 角(つめ)のないやぎ(羊,鹿,牛など) / 〈木の先端〉を切り込む / 〈やぎ・羊など〉の角を切る
pollen	花粉
pollinate	〈めしべなど〉に授粉する
pollination	授粉[作用]
polling booth	投票用紙記入所
polling station	投票所
polliwog, pollywog	オタマジャクシ(tadpole)
pollster	世論調査屋
pollutant	汚染物質(特に産業廃棄物など)
pollute	(…で)〈水・空気・土など〉を『汚す』,『汚染する』,不潔にする《+『名』+『with』(『by』)+『名』(do『ing』)》 / (道徳的に)〈精神〉を汚す,堕落せせる / 〈聖地など〉を冒瀆(とく)する
pollution	(…を)『汚すこと』,汚染すること;(…が)『汚されていること』《+『of』+『名』》 / 汚染物質(地域)
pollywog	=polliwog
polo	馬上球技,ポロ / =water polo
polo neck	タートルネック(首にぴったりと沿う、折り返しのある襟の付いたセーターやシャツ)
