pectin	ペクチン,膠素,粘膠質
peeper	のぞき見する人;せんさく好き / 《複数形で》《俗》目 / ピーピー鳴く鳥・ピーピー[チューチュー]鳴く獣[鳥]; ひな・(かん高い声で鳴く) アマガエル科のカエル・めがね・覗(のぞ)き見をする人・(ふつう複数で)目
peephole	のぞき穴
peeping Tom	女性の裸をのぞき見する人,のぞき魔,出歯亀(でばがめ)
peepshow	ピープショー(のぞき穴を通して見せる見せ物)
peepul	インドボダイジュ(菩提樹) = pipal
peer	(…を)『じっと見つめる』《+『at』(『into, through』)+『名』》 / 見えてくる,一部見える《+『out』》 / (地位・階級・年齢・販力などが)『同等の人』,同輩 / (英国の)『貴族』(英国以外の)貴族 / …と肩を並べる,に匹敵する
peer of the realm	(一代貴族に対して)世襲貴族(=hereditary peer)
peerage	《集合的に》貴族;貴族階級 / 貴族の爵位 / 〈C〉(名前・家系などを記した)貴族名鑑
peeress	貴族の婦人;有爵の婦人
peerless	並ぶもののない,無比の;絶世の
peeve	〈人〉をじらす,腹だたせる,悩ます(annoy) / じらす(悩ます)もの
peevish	だだをこねる;気むずかしい
peewee	異常に小さい人(物),ちび / =pewee / ちびっこの,非常に小さい
peewit	=pewit
peg	(木などの,おもに木工に用いる)『くぎ』,掛けくぎ;(たるなどの)『せん』;(テントなどの)『くい』 / (弦楽器の弦をしめる)ねじ / 《話》(評価などの)段階)degree) / (議論などの)きっかけ,口実 / 《話》(おもに野球で)送球 / …を『木くぎ』(『くい』)『でとめる』,に木くぎ(木くいを打つ《+『名』+『down』,+『down』+『名』》 / 〈物価・賃金など〉を仰える,安定させる / 《話》(おもに野球で〈ボール〉を投げる / 《話》…を認める,見定める
peg leg	義足 / 義足をつけた人
pegboard	(ゲームなどに用いる)くぎ差し板 / (くぎなどを差し込む穴のある)構図版
pegmatite	巨晶花崗岩,文象花崗岩(断面に文字模様のついたもの)
peignoir	(婦人用)化粧着,部屋着;(水泳後・湯上りに着る)ガウン
pejorative	軽べつ的な;悪口として用いられる / 軽べつ語,誹謗(ひぼう)語
pekoe	《しばしばP-》ペコー(スリランカ・インド・ジャワ産の高級紅茶)
pelage	(哺乳動物の)毛,毛皮
pelagic	遠洋の,外洋に住む(で行う)
pelf	《通例軽べつして》金銭(money),(不正で得た)富(wealth)
pelican	ペリカン
pellagra	ペラグラ病(皮膚異常・中枢神経機能障害などを起こす)
pellet	(指で丸めたような)小球;小粒 / (空気銃の)小弾丸 / 丸薬,錠剤
pellmell,pell-mell	《まれ》混乱して,めちゃくちゃに;あわてふためいて / めちゃくちゃの;あわてふためいた
pellucid	(ガラス・流れなどが)透明な,澄んだ / (表現・文体が)明りょうな,明白な
pelmet	(カーテン上部の金具をかくす)上飾り(《米》valance)
pelt	〈石など〉を(…に)立て続けに投げる《+『名』〈石など〉+『at』+『名』》;…に(石などを)投げて攻撃する《+『名』+『with』+『名』〈石など〉》 / 〈打撃・砲弾・雨などが〉…を続けて打つ / 〈雨などが〉激しくたたきつけるように降る《+『down』》 / 急いで走る,疾走する / 強打 / (動物)生皮,毛皮
pelves	pelvisの複数形
pelvic	骨盤の
pelvis	骨盤
pemmican,pemican	ペミカン(乾操した肉の粉をこねた保存食料)
pen	〈C〉(インクを用いる筆記具全体をさして)『ペン』;万年筆,ボールペン,フェルトペン;ペン先 / 〈U〉《the~》文筆,著述 / 〈C〉《単数形で》《文》文筆家 / 《気どって》…を書く,著す(write) / 〈C〉(家畜などを入れる)『おり』 / 《集合的に》おりの中の動物 / 〈C〉(監禁・保護に使われる)囲い,幼児用遊びわく(playpen) / (囲い・ありなどに)…を入れる,閉じ込める,監禁する《+『名』+[『up』]『in』+『名』》 / 刑務所[penitentiaryの短縮形]
pen friend	=pen pal
pen pal	ペンパル,文通仲間(《英》pen friend)
pen pusher	《軽べつして》事務員,書記
pen-and-ink	《名詞の前にのみ用いて》ペンで書いた
penal	(特に,法的な)刑罰の / 刑事上の
penal servitude	(強制労働を伴う)懲役
penal settlement	犯罪者植民地,流刑地
penalization,penalisation	有罪;刑罰
penalize,penalise	(法律・規則などで)(…に対して)…を罰する,に有罪の宣告をする《+『名』+『for』+『名』(do『ing』)》 / (競技などで…に対して)…に罰(ペナルティー)を課す《+『名』+『for』+『名』(do『ing』)》
penalty	『刑罰』,処罰 / (ある行為・状態に伴う)不利益 / 『罰金』,違約金,反則金 / (スポーツ・競技で,反則に対する)『罰則』,ペナルティー;(前回の勝者に対する)ハンディキャップ
penalty area	(サッカーの)反則区域
penalty clause	罰則
penance	(罪の償いのための)ざんげ,(罪滅ぼしの)苦行《+『for』+『名』》 / (カトリックで)ざんげの秘跡,告解
pence	pennyの複数形
penchant	(…に対する)強い好み《+『for』+『名』(do『ing』)》
pencil	〈C〉〈U〉鉛筆 / 〈C〉鉛筆状のもの,(棒状の)化粧品 / …を鉛筆などで書く(描く,印をつける)
pendant	ペンダント(首飾り・耳輪などの垂れ飾り) / (屋根・天井などからの)つり飾り;つりランプ,シャンデリア / =pendent
pendent	ぶら下がった,垂れ下がった / 張り出た, 覆いかぶさった / 未決定の / =pendant
