paediatrician	=pediatrician
palm	(人・動物の)『手のひら』;(手袋の)手のひらの部分 / パーム(手のひらの幅を基準にした長さ;8‐10') / …を手で覆う,手の中に隠す / (また『palm tree』)ヤシ,シュロ(ヤシ科の植物) / (昔勝利・成功などの印として用いた)シュロの葉(枝)
palmate	(葉などが)手のひらの形をした
palmer	聖地巡礼者(聖地を訪れシュロの葉(palm)を持ち帰った)
palmetto	パルメット(葉が扇状のヤシの一種でその芽は食用;米国南部産)
palmist	手相見
palmistry	手相術
palmy	ヤシ(シュロ)の多い,繁栄する,勝利を得た,意気揚々とした,椰子の茂った,手のひらへのむち打ち
palpable	触ってみることができる / 明白な
palpably	明らかに
palpate	…を触診する
palpitate	〈心臓が〉動悸(どうき)を打つ,どきどきする / 《文》(…で)〈人・体が〉震える《+『with』+『名』》
palpitation	(平常より少し速い)鼓動,動悸(どうき)
palsy	麻痺(まひ),中風 / …を麻痺させる(paralyze)
palsy-walsy	親しい;(…と)仲が良い《+『with』+『名』》
palter	{動}〈自〉《palter with+名》(…を)いいかげんに言う(扱う)
paltry	取るに足りない,わずかな;無価値の
pam.	pamphlet
pampas	パンパス(南米,特にアルゼンチン付近の樹木のない大草原)
pampas grass	パンパスソウ(銀白色で羽毛状の花をつけるたけの高い植物)
pamper	…を甘やかす,大事にしすぎる
pamphlet	『パンフレット』,小冊子;(特に時事問題の)小論文
pamphleteer	パンフレットの著者(発行者)
pan	(通例ふたのない片柄の)『平なべ』 / 平なべ状の物;(はかりなどの)皿;(砂金などを砂利から分ける)選鉱なべ / 硬質地層 / …を平なべで煮る / 〈砂金など〉をえり分ける,選鉱する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 / 《話》…をこきおろす,酷評する / (…を得るために)選鉱なべで洗う《+『for』+『名』》 / (映画・テレビで,全景を写すために)〈カメラ〉を上下(左右)に動かす,パンする / カメラを上下(左右)に動かして撮る,パンする
panacea	万能薬
