popover	軽焼きマフィン・(軽い焼き菓子の一種)
pornographic	好色文学の,ポルノの,春画の
pornography	好色文学,春画,エロ写真,ポルノ映画
porosity	〈U〉有孔性,通気性 / 〈C〉多孔率
porous	多孔性の,穴の多い / 透過性の
porphyritic	斑岩(はんがん)の,斑岩のような
porphyry	斑岩(はんがん)(長石の細粒結晶を含む硬い岩石)
porpoise	ネズミイルカ(北太平洋,北大西洋にすむ鼻先の丸い種類のイルカ)
porridge	ポリッジ(水や牛乳で煮たオートミールでおもに朝食用)
porringer	深皿(特に小児のためのスープ・ポリッジ用)
port	〈C〉〈U〉『港』 / 〈C〉『港町』,『港市』 / (船の)左舷(さげん);(飛行機の)(機首に向かって)左側 / 左舷の,左側の / 〈かじなど〉を左舷に向ける / =porthole / (船の)荷役口 / (装甲車・城壁などの)銃眼,砲門 / ポートワイン(ポルトガル原産の甘口のぶどう酒で深紅色) / 控え銃(つつ)の姿勢(銃をからだの正面に斜めに保持し先端が左肩の近くにくる) / 〈銃など〉を控え銃にする
port of entry	税関[空]港 / 《入国者・輸入品の》 通関手続地, 通関港, 入国管理事務所のある港[空港] / 通関手続港(空港を含む),出入国許可所
portability	持ち運び(携帯)のできること,軽便さ
portable	『持ち運びのできる』,携帯用の / 携帯用器具,ポータブル(タイプ・ラジオなど)
portage	〈C〉〈U〉(2水路間の貨物の)陸上輸送,連水陸路運搬 / 〈C〉連水陸路 / 〈U〉《a~》その運賃 / 〈貨物など〉を連水陸送する
portal	〈C〉(堂々とした)門,入り口 / 《複数形》《文》(大きな建物の)正門,表玄関 / 《複数形》《文》(…の)発端《+『of』+『名』》
portal-to-portal	拘束時間払いの
portcullis	落とし門(攻撃に対して直ちに開閉できる鉄格子の城門など)
porte-cochere,porte-cochère	ひさし付き玄関(ポーチ,車寄せ)
portend	〈凶事など〉の前兆となる
portent	〈C〉(特に凶事・重大事の)きざし,前兆《+『of』+『名』》 / 〈U〉《文》(前兆的な)意味
portentous	前兆の,不吉な,縁起の悪い / 顕著な,異常な / おそれうやまわせる / もったいぶった,気どった
porter	(市場の)運搬人 / (駅,空港などの)『赤帽』 / 《米》(特等車・寝台車の)ボーイ / 《おもに英》(客の荷物を運ぶホテルなどの)ボーイ,玄関番 / 黒ビール
porterage	運搬人(赤帽)の仕事 / 運搬料,運び賃
porterhouse	腰上部とあばらの間の肉で作った最上のビーフステーキ
porters lodge	(学校・病院などの)守衛詰め所
portfolio	(書類などを入れる)折りかばん,書類かばん / 大臣の職務 / 有価証券の明細表・ポートフォリオ (金融資産の総体)
porthole	(また『port』)(船の)舷窓(げんそう) / (航空機の)丸窓
portico	柱廊玄関(大きな柱で屋根を支えた邸宅の玄関)
porticoed	柱廊玄関のある
portion	(…の)『部分』,一部分《+『of』+『名』》 / (…の)分け前,割り当て(share)《+『of』+『名』》 / (『食物の』)『1人前』,一盛り,1杯《+『of』+『名』》 / 《単数形》《おもに文》運命,定め / (人に)…を分ける,分割する,分配する《+『out』+『名』(+『名』+『out』)+『between』(『among』)+『名』〈人〉》
portliness	肥満,かっぷくのよいこと
portly	(特に年配の人が)でっぷり太った,かっぷくのよい
portmanteau	(特に両開きの)旅行かばん
portmanteau word	かばん語(2語が混交して1語になったもの;motorとhotelからできたmotelやsmokeとfogからできたsmogなど)
portrait	(…の)『肖像画』,肖像(人物)写真《+『of』+『名』》 / (人物などの)言葉による描写《+『of』+『名』》
portraitist	肖像画家,人物写真家
portraiture	肖像画法 / 肖像画
portray	〈人物・風景〉を絵(彫刻,写真)で描く / …を言葉で描写する(describe) / (舞台・映画で)…を演じる
portrayal	〈U〉(…についての)描写《+『of』+『名』》 / 〈C〉(…を)描写した絵(文)《+『of』+『名』》
portulaca	スベリヒユ(マツバボタンなどを含む植物)
pos.	position / positive
pose	(絵や写真のモデルとして)『姿勢をとる』《+『for』+『名』》 / (特に他人に印象づけようとして)気どる;(…の)ふりをする《+『as』+『名』》 / 〈モデルなど〉に姿勢をとらせる;〈被写体など〉を適当な位置に配する / 〈難問など〉が生じる / 〈要求・質問など〉を述べる,提出する / (絵や写真のためにとる)『ポーズ』,『姿勢』 / (人に見せるための)ポーズ,見せかけ,気どり
poser	難題,難問 / (絵・写真の)モデル / =poseur
poseur	気どり屋,すまし屋
posh	すばらしい,りっぱな / 高級な,豪華な
posit	(論争のために)仮定する,(事実として)断定する
position	〈C〉『位置;場所』;所在地 / 〈U〉所定の位置,適所 / 〈C〉『姿勢』,構え / 〈U〉有利な地位(立場) / 〈C〉《通例単数形で》(周囲の状況と関連する)『立場,境遇』;形勢,情況 / 〈C〉見解,態度 / 〈C〉(…としての)勤め口,職《+『as(of)+名』》 / 〈C〉(…の中の)地位《+『in+名』》 / 〈U〉(特に高い)社会的地位 / 《副詞[句]を伴って》…を適当な(特定の)場所に置く
positive	『肯定した,同意の』 / 『実際的な,』積極的な,建設的な / 《補語にのみ用いて》『確信のある』,自信のある / (事が)疑問の余地がない,明確な;(言葉が)はっきりした / 《名詞の前にのみ用いて》《話》全くの,文字どおりの / (生体の反応が)陽性の / (数が)正の,プラスの;(電気が)陽の;(写真で)陽画の / (形容詞・副詞の比較変化で)原級の / 明確(明白)なもの / (形容詞・副詞の)原級 / (写真の)陽画,ポジ / (数学で)正数
positive electrode	陽極(anode)
positively	『断固として;積極的に』 / 《話》『全く,本当に』 / 《米》(質問に答えて)そのとおり,もちろん
positiveness	明白さ,確実性;確信
positivism	実証主義 / 積極性,明確性
positron	陽電子,ポジトロン
poss.	possible
posse	(米国:保安官(sheriff)が犯人逮捕などのために召集する)武装隊・民兵隊・ 武装隊・捜索隊・《話》(通例共通の目的を持った)群衆・〔話〕 (大)集団・〔米〕 (麻薬犯罪などに関わる)ジャマイカ人暴力団
possess	(財産として)…を『所有する』,持っている / (性質・特性として)…を持っている,備えている / 《しばしば受動態で》〈悪霊・悪い考えなどが〉〈人〉に『とりつく』,に乗り移る
possessed	(強い感情・悪霊・狂気などに)とりつかれた,常軌を逸した / 《文》《補語にのみ用いて》《『be possessed of』+『名』》(…を)持っている
possession	〈U〉(…の)『所有』,所持《+『of』+『名』》 / 〈C〉《しばしば複数形で》『所有物』;財産(property) / 〈C〉領地,領土 / 〈U〉(悪魔などに)とりつかれること
possessive	所有の / 所有(独占)欲の強い;(…を)独占する《+『about』(『with』)+『名』》 / 所有格の / 《the ~》所有格(the possessive case) / 〈C〉所有格形の語
possessive adjective	所有形容詞(his book のhis, her nameのherなど)
possessive case	所有格
possessive pronoun	所有代名詞(That car is mine.のmineなど)
possessor	所有者,持ち主
posset	ミルク酒(熱い牛乳にワイン・ビールなどを入れた飲料)
possibility	〈C〉『可能性』,実現性;〈C〉《単数形で》『可能なこと』,ありうること,起こりそうなこと / 〈C〉実現可能な事柄 / 〈C〉(勝利・指名などの)見込みのある人;《話》まずまずの人(物) / 〈C〉《しばしば複数形で》将来性,見込み
possible	(物事が)『可能な』,実行できる / (物事が)『ありうる』,『起こりうる』 / 我慢できる,まずまずの / 《形容詞の最上級,all, everyなどを強調して》可能な限りの / 〈U〉《the ~》可能性 / 〈C〉可能性のある人(物,事),当選(勝利)の見込みのある人
possibly	《文全体を修飾して》『ひょっとしたら』,『ことによると』 / 《canと共に用いて》《肯定文で》『なんとかして』,できる限り;《疑問文で》なんとか,どうにかして;《否定文で》どうしても,とても
