potter's field	(貧困者などのための)共同墓地,無縁墓地,
power	〈U〉(名身が生れつき備えている,また物事を遂行できる)『能力』,『力』 / 〈U〉(…に対する)権力,支配権《+『over』+『名』》 / 〈C〉(法・官職などによる)権限 / 《複数形で》(生まれながらの)体力,知力,才能 / 〈C〉権力者,実力者;影響力のある集団;強国・大国〈U〉軍事力;国力 / 〈U〉強さ,力 / 〈C〉《通例複数形で》神;悪魔 / 〈U〉動力;工率,仕事率 / 〈U〉(電気などの)エネルギー,力 / 〈C〉(数学で)累乗 / 〈U〉(レンズの)倍率 / 〈U〉《a~》《話》(…の)多数,多量 / 〈機械〉に動力を供給する
power brakes	動力ブレーキ
power dive	(航空機の)動力急降下(エンジンを全開して急降下すること)
power of attorney	〈C〉委任状 / 〈U〉(委任状で付与された)権限
power plant	発電所(またpower house・power station) / 動力装置
power point	(電気の)コンセント,ソケット
power politics	武力外交
power station	=power plant
power-dive	〈航空機〉を動力急降下させる / 動力急降下する
powerboat	=motorboat
powerbroker	(政界の)黒幕
powerful	『強力な』,強い / 効果的な,ききめの強い / 勢力のある,有力な
powerfully	力強く,強力に,強烈に
powerhouse	=power plant / 《話》精力家
powerless	力の無い,無能な
powwow	(病気回復,猟の成功,戦いの勝利などを祈る)北米インディアンの儀式 / 北米インディアンの会議 / 《おどけて》(一般に長ったらしい)会議,集会 / 〈北米インディアンが〉儀式を行う / 《おどけて》会合する
pox	《古》発疹(はっしん)の出る病気(水痘(chicken pox),ほうそう(small pox)など) / 《the ~》《話》梅毒
pp.	pages / pianissimo
ppd.	postpaid / prepaid
ppm	parts per million
ppr.	(またp.pr.)present participle現在分詞
pptn.	precipitation
pr.	pair[s] / present / price / pronoun
practicability	実行できること,実用性
practicable	実行(実施)できる / (橋・道路などが)使用できる
practicably	実行可能に,実用的に
practical	『実際上の』,実地の / 『実用的な』,実際の役に立つ / 『良識』(『分別』)『のある』,経験豊かな / (人や考えが)『実際的な』,現実的な / 《名詞の前にのみ用いて》実際の経験から学んだ / 実質上の,事実上の
practical joke	(言葉だけでなく行動を伴った)悪ふざけ,いたずら
practical nurse	(正規の資格を持たない)付き添い看護婦
practicality	〈U〉実際的であること,実用性 / 〈C〉実際的なこと,実際問題
practically	『実質的には』,『事実上』,ほとんど(almost)・『実際的に』,実用的に,実際的な方法で
practice	〈U〉(絶えず繰り返す)『練習』,けいこ / 〈C〉〈U〉(1回の)練習の時間 / 〈U〉(練習で得た)熟練,腕前 / 〈U〉(理論に対して)(…の)『実行』,実施,実際《+『of』+『名』(do『ing』)》 / 〈C〉(…の)『習慣』,しきたり《+『of』+『名』(do『ing』)》 / 〈U〉(医師・弁護士などの)開業 / 〈C〉(医師・弁護士の)業務,仕事 / …を『練習する』,けいこする / (習慣的に)…を『実行する』,実践する / 〈弁護士・医師〉を開業する / (…を)練習する,けいこをする《+『at』(『on, with』)+『名』(do『ing』)》 / (弁護士・医者として)開業する,開業している《+『as』+『名』》
practiced,practised	経験が深い,熟練した / 《名詞の前にのみ用いて》練習を積んだ / わざとらしい
practise	=practice
practised	=practiced
practitioner	開業医;弁護士 / 技術者,工芸家
praesidium	=presidium
praetor,pretor	(古代ローマの)法務官(執務官consulに次ぐ官)
praetorian,pretorian	法務官の / 《P-》(ローマ皇帝を護衛する)近衛(このえ)兵の / =praetor / 《P-》近衛兵
pragmatic	実際的な実用的な / 実用主義の
pragmatically	実用的に,実用主義的に
pragmatism	(哲学の)実用主義,プラグマティズム / 実益主義,実用本位
pragmatist	実務家はだの人 / 実用主義者
prairie	(特にミシシッピー川流域の)『大草原』
prairie dog	プレーリードック(地中に穴を掘るマーモット(marmot)の一種;鳴き声が犬に似ている)
prairie schooner	(19世紀の開拓者たちの)大ほろ馬車・西部劇などとは異なって、実際には「馬車」よりも牛にひかせた「牛車」が多かった、とのことです。
praise	〈U〉(…を)『ほめること』,(…の)『賞賛』《+『of』+『名』》 / 〈U〉《文》(詩・歌などで)(神への)賛美 / 《複数形で》ほめ言葉 / 《複数形で》《文》神をたたえる言葉(歌) / …を『賞賛する』 / 《文》(詩・歌などで)〈神〉をたたえる
praiseworthily	賞賛に値して,殊勝にも
praiseworthiness	賞賛に値すること(状態),りっぱなこと
praiseworthy	(成功しなくても)賞賛に値する,感心な
praline	プラリータ(アーモンドなどの木の実を砂糖で煮つめた菓子)
pram	=perambulator
prance	〈馬が〉前脚を上げ後脚でけって跳び進む《+『along』》 / 〈人が〉意気揚々と(得意に)歩く / (馬の)飛び跳ね / 意気揚々とした歩きぶり
prank	(悪意のない)悪ふざけ,戯れ
prankster	いたずら(悪ふざけ)をする人
praseodymium	プラセオジム(希土類元素;化学記号はPr)
prat	まぬけ,ばか
prate	《『prate』 『about』+『名』》(…を)ぺちゃくちゃしゃべる,くどくどと話をする
pratfall	《俗》しりもち[をつくこと] / 《話》へま,失態
pratique	検疫済み入港許可証
prattle	《話》(…について)子供みたいにぺちゃくちゃしゃべる《+『on』 『about』+『名』(『wh-節』)》 / うわさ話をする / おしゃべり,むだ口
prawn	《おもに英》テナガエビ,クルマエビ / エビを捕まえる
prawn cocktail	エビカクテル(調理して冷やしたエビとレタスに辛いソースをかけた料理)
praxis	習慣,慣列 / 実習,練習
pray	(神に…を)『祈る』《『to』+『名』〈神〉+『for』+『名』》 / 《話》(物事を)心から望む《+『for』+『名』》 / 〈神〉に『祈願する』,祈る / 《『pray』+『that』『節』》…であることを心から望む / 《文》…を懇願する,請う / 《改まった命令文で》どうか(please);《疑問文で》ねえ,もし
prayer	〈U〉『祈ること』 / 〈C〉『願いごと』,祈り;嘆願 / 〈C〉(定められた)『祈りの言葉』,祈祷(きとう)文 / 〈U〉《しばしばP-》(教会の)礼拝,祈祷 / 〈C〉《通例複数形で》(家庭などの)おつとめ / 《米話》《通例否定文で》成功の機会 / 祈る人
prayer beads	ロザリオ;じゅず
prayer book	祈祷(きとう)書
