plastics	〈U〉プラスチック素材 / 〈C〉プラスチック製品
play	〈おもに子供が〉(…をして)『遊ぶ』,戯れる《『+at+名(doing)』》 / 『競技(試合)をする』;かけ事をする / 《状態を表す副詞を伴って》勝負する / (劇・映画・テレビで)『演ずる』,役をする / (劇場・テレビで)上演される;〈台本が〉上演できる / (楽器を)『演奏する』《『+on(upon)+名』》 / 〈楽器・音楽が〉演奏される,〈レコード・ラジオなどが〉鳴る / 〈人・動物,木の葉・炎,光・色彩などが〉遊び戯れるように動き回る / 〈水・砲火などが〉(…に)続けざまに放射する《『+on(upon)+名』》 / 〈機械の一部が〉自由に動く / (…と)浮気をする《+『around』(《英》『about』)『with』+『名』》 / (…と)〈競技・ゲーム〉を『する』《+『名』〈競技・ゲーム〉+『with』+『名』》 / 〈人・チーム〉と『試合する』,勝負する / 〈金〉をかける;〈競走馬など〉にかける / (競技・試合で)…のポジションを守る / (競技・勝負で)〈選手〉を起用する,〈カードなど〉を出す / …の『まねをして遊ぶ』,…ごっこをする / 〈役〉を『演ずる』,…の役を演じる / (実生活で)…の『役割を務める』,…らしくふるまう;…になりすます / 〈劇など〉を公演する;〈ある場所〉で興行する / 〈いたずら・詐欺など〉を『働く』,しかける / 〈楽器〉を『演奏する』,ひく;〈レコード・ラジオ〉をかける / 〈楽曲〉を『演奏する』,かける / (…に)〈水・砲火・光など〉を続けざまに浴びせる《『+名+on(over, along)+名』》 / 〈C〉『演劇』,芝居;『戯曲』,脚本 / 〈U〉『遊び』,遊戯 / 〈U〉冗談,戯れ,ふざけ(fun, jest) / 〈U〉『競技』,試合;かけ事 / 〈C〉(競技での個々の)動き,プレー;〈U〉競技の番 / 〈U〉試合ぶり;(一般に)行動,行為 / 〈U〉〈C〉遊び戯れるような軽快な動き / 〈U〉(思考力などの)豆き;(機械などの)活動 / 〈U〉動きの自由;(機械の)あそび
play hooky	学校[仕事]をサボる
play on words	《おもに単数形で》しゃれ,地口,語呂合わせ,言葉遊び,しゃれを言う,駄洒落を言う
play-by-play	(試合などの)実況[中継,放送] / 実況[放送]
playable	(競技場が)競技に適した / (クリケットで投球したボールが)打てる
playact	ふりをする,見せかける / 劇に出る
playacting	見せかけ / (劇への)出演
playbill	芝居のビラ / 芝居のプログラム
playboy	裕福で遊び好きな男,プレイボーイ
player	『競技者』,『選手』 / 『俳優』,役者(actor) / 『演奏者』 / 演奏装置,レコードプレーヤー
player piano	自動ピアノ
playfellow	遊び友達
playful	(人・動物が)遊び好きな,ふざけたがる / (言葉・態度が)冗談の,ふざけた
playgirl	遊び好きな若い女性,プレーガール
playgoer	よく劇場へ行く人,芝居の常連
playground	(おもに子供の)『遊び場』,運動場 / 行楽地
playhouse	劇場 / (中で遊べるようになった)子供の家 / おもちゃの家
playing card	(1枚の)カードゲームの札(カルタなど)
playing field	(フットボールやクリケットなどをする)広い運動場
playlet	短い芝居,寸劇
playmate	遊び友達
playoff	(引分け・同点の場合の)決勝試合(シリーズ),プレーオフ
playpen	ベビーサークル
playroom	(子供の)遊戯室
playsuit	プレースーツ(婦人・小供用スポーツ着);(小供の)遊び着
plaything	遊び道具,おもちゃ / 慰みもの
playtime	遊び時間 / 開演時間
playwright	劇作家,脚本家(dramatist)
plaza	(都市の)大広場
plea	(…に対する)『嘆願』,懇願《+『of』+『名』》 / 《単数形で》『弁解』,言い訳,口実(excuse) / (…の)抗弁,申し立て《+『of』+『名』》
pleach	(枝などを)からませる・組み合わせる・編む・〈生垣〉を技を組み合みわせて作る(修理する)
plead	嘆願する,懇願する / (訴訟で)(…を)弁護する《+『for』+『名』》;(…に)抗弁する,申し開きをする《+『against』+『名』》 / …を言い訳(理由)として述べる / (訴訟)…を弁護する,弁論する
pleader	申立て人;嘆願者 / 弁護人
pleading	〈U〉申し開き;弁護;嘆願 / 《複数形で》(原告と被告の)訴訟[書面]・(形容詞)申し立てをする;嘆願する
pleasant	(物事が)『人に喜びを与える』,楽しい,心地よい
pleasantly	心地よく,楽しく,愛想よく
pleasantness	心地よさ,楽しさ
pleasantry	〈C〉おどけた言葉(しぐさ),冗談 / 〈U〉(言葉の上の)戯れ,おどけ
please	〈人〉を『喜ばせる』,満足させる,の気に入る / 《as節,wh-節に用いて》…を好む,望む / 《副詞的に》『どうぞ』,どうか,ぜひ / 喜ばれる,気に入られる,気待ちがよい / 《as節,wh-節に用いて》好む
pleased	『喜んだ』,うれしい,満足した
pleasing	『楽しい』,気持ちのよい
pleasurable	(物・事が)楽しい,気持ちのよい,満足を与える
pleasurably	楽しく,愉快に
pleasure	(…の)『喜び』,『楽しみ』《+『of』+『名』(do『ing』)》 / 〈C〉『うれしい』(『楽しい』)『こと』 / 〈U〉〈C〉(とくに肉体的)快楽,悦楽 / 〈U〉《所有格の次に用いて》(…の)意志,希望
pleat	(布などに付けた)ひだ,プリーツ / …にひだをつける
pleb	庶民
plebeian	(特に古代ローマの)平民の / 《軽べつして》庶民の / (古代ローマの)平民 / 《軽べつして》庶民
plebiscite	(重要問題に対する)国民投票
plectrum	(ギター・マンドリンなどをひくための)つめ,ピック
pled	pleadの過去・過去分詞
pledge	〈C〉〈U〉『誓約』,固い約束 / 〈C〉(…の)担保,抵当品《+『of』(『for』)+『名』》 / 〈U〉『担保』,『抵当』,質入れ / 〈C〉(友情・忠誠などの)印,あかし《+『of』+『名』》 / 〈C〉《文》乾杯(toast) / …を『誓約する』,堅く約束する / 〈人・自分〉に誓約させる / …を担保(抵当)に入れる / 《文》…のために乾杯する
plena	plenumの複数形
plenary	(権力など)全部備えた,最大限の / (会議など)全員出席の
plenipotentiary	(特に外交使節などが)全権を有する / 全権大使(使節)
plenitude	豊富,十分
plenteous	= plentiful・『豊富な』,たっぷりの,たくさんの;豊富に生じる
plentiful	『豊富な』,たっぷりの,たくさんの;豊富に生じる
plenty	(数・量が)『たくさん』(の),『たっぷり』(の)《+『of』+『名』》 / (あり余るほどの)豊かさ,豊富(abundance) / たくさんの,十分な / 《話》全く(quite) / 《米話》とても(very)
plenum	高圧状態・物質が充満した空間・充満・ 総会
plethora	(…の)過多,過度(+『of』+『名』)
pleura	ろく膜,胸膜
pleural	ろく膜の,胸膜の
pleurisy	ろく膜炎
plexus	(神経・血管などの)網状組織
pliability	(物の)柔軟さ / (性質・性格の)柔軟さ,柔順
pliable	(物が)曲がりやすい,柔軟な / (人の性質などが)素直な,柔軟な
pliancy	(物の)柔軟さ,しなやかさ / (人の)柔順さ,順応性
pliant	(物が)曲げやすい,柔軟な,しなやかな / (人の性質などが)柔軟な,順応性のある
pliers	《複数形》やっとこ,ペンチ
plight	苦境,窮状 / …を誓う;〈人・自分〉に(…の)誓約をさせる《+『名』〈人〉+『to』+『名』》
plimsoll	《複数形で》《英》ゴム底ズック靴,運動靴(《米》sneaker)
plinth	(円柱の)方形台座;(彫像が置かれる)台石,台座
plod	《方向を表す副詞[句]を伴って》重い足取りで歩く,とぼとぼ歩く《+『on』(『along』,『away』》 / (…に)こつこつと取り組む《+『away』(『along』)『at』(『through』)+『名』》 / とぼとぼ歩くこと)
