P	parking / phosphorusの化学記号
PX,P.X.	post exchange
Pa	protactiniumの化学記号
Pa.,PA	Pennsylvania
Pac.	Pacific
Pacific	『太平洋』(the Pacific Ocean) / 『太平洋の』;太平洋[沿]岸の
Pacific Daylight Time	(米国の)太平洋沿岸諸州夏時間(日本との時差はマイナス16時間;《略》『PDT,P.D.T.』)
Pacific Ocean	『太平洋』
Pacific Standard Time	(米国の)太平洋標準時(日本との時差はマイナス17時間;《略》『PST,P.S.T.』)
Paddy	アイルランド人
Paddy wagon	囚人護送車
Pakistan	パキスタン(イスラム教共和国;首都はIslamabad)
Pakistani	パキスタンの;パキスタン人の / パキスタン人
Paleolithic	旧石器時代の
Paleozoic	古生代の / 《the~》古生代(魚類・昆・爬(は)虫類の出現した2億2千万‐6億年前の時期)
Palestine	パレスチナ(地中海東岸にあった古代イスラエルの国土でキリスト教の聖地;聖書名はCanaan;1948年にイスラエルとヨルダンに分割)
Pallas	パラス(ギリシア神話でAthensの守り神;女神Athenaの別名)
Palm Sunday	シュロの聖日(復活祭直前の日曜日で,キリストが受難を前にエルサレムにはいった記念日;キリストが通った路上に民衆がシュロの枝葉をまいて祝った)
Pan	牧羊神,パン(ギリシア神話でヤギの角と脚を持つ音楽好きな森・牧羊の神)
Pan-American	全米の,汎米の(北米,中米,南米のすべての国を含む)
Panama Canal	パナマ運河
Panamanian	パナマ人 / パナマ[人]の
Pancake Day	パンケーキの火曜日(灰の水曜日の前日でパンケーキを食べる慣習がある)
Panda car	(警察の)パトロールカー
Panda crossing	押しボタン式歩行者用横断道路
Pandora	パンドラ(ギリシア神話に出て来る地上最初の女性;人間を苦しめる災いの箱を開いた)
Pantheon	《the ~》(ローマのもろもろの神々を祭った)パンテオン,万神殿(現在はキリスト教会として使われている) / 《the ~》(一国の偉人を祭った)霊廟(れいびょう) / 《p-》《集合的に》神々;(神話中の)諸神
Paraguay	パラグアイ(南米中部の共和国;首都Asuncion) / 《the~》パラグアイ川
Parent-Teacher Association	父母と教師の会(《略》『P.T.A.』)
Paris	『パリ』(フランスの首都) / パリス(ギリシア神話のTroyの王子;Spartaの王妃Helenを奪ってTroy戦争を起こした)
Parkinson's disease	パーキンソン病(脳の病気の後遺症として起こる神経症)
Parmesan	パルメザンチーズ(イタリア産の堅く乾いたチーズ)
Parnassus	パルナッソス山(『Mount』(『Mt.』)~;ギリシア南部にある山;Apolloや芸術の女神Musesの霊山)
Parthenon	パルテノン神殿(ギリシアの女神Athenaを祭った殿堂;ドリス式建築の典型)
Passion Sunday	受難の主日(四旬節の第5日曜日;復活祭の前々週日曜日)
Passion Week	受難週間(復活祭の前週(Holy Week);Passion SundayからPalm Sundayまでの週)
Passion play	キリスト受難劇
Passover	過越(すぎこし)の祭り(ユダヤ人が神によりエジプト人の暴虐から救出されたことを記念するもの)
Pasteur	パスツール(1822‐95; フランスの化学者・細菌学者)
Pathan	アフガニスタン人(Afghan) / アフガニスタン人の 正確にはパサン族(パキスタン西北部とアフガニスタンとの国境地帯に住む部族)
Patrick	聖パトリック(Saint(St.)~;389?‐461;イギリスの伝道師でアイルランドのキリスト教布教に力を注ぎ,その守護聖人となる)
Paul	聖パウロ(『Saint』(『St.』)~;?‐67?;キリストの使徒で新約聖書の書簡の著者)
Paul Bunyan	ポール・バニヤン(伝説上の怪力無双の木材切出し人夫で米国民話の英雄)
Pb	lead(=ラテン語plumbum)の化学記号
Pd	palladiumの化学記号
Peace Corps	(米国の)平和部隊(発展途上国に米国から派遣される技術者・教育家などの集団)
Peach Melba	ビーチメルバ(モモにアイスクリームとイチゴジュースをかけたもの)
Pearl Harbor	真珠湾(ハワイのホノルル近くにある米海軍の基地)
Pegasus	ペガサス(ギリシア神話で詩神ミューズの乗る翼のある天馬) / ペガサス座
Pekinese	=Pekingese
Peking	ペキン(北京)(中華人民共和国の首都)
Peking man	北京原人
Pekingese	〈C〉北京人 / 〈U〉北京官話 / 〈C〉ペキニーズ(中国原産の愛玩用小型犬でチンに似ている) / 北京の
Peloponnesus	ペロポネソス半島(ギリシア南部の半島)
Pen.,pen.	peninsula
Penates	(ローマ神話で)家の守り神,ペナテス
Penn.,Penna.	Pennsylvania
Pennsylvania	ペンシルバニア州(米国東部の州で,州都はHarrisburg…《略》『Pa.,PA,Penn.,Penna.』)
Pennsylvanian	ペンシルバニア州の人(住民) / (地質時代の)ペンシルバニア紀[系] / ペンシルバニア州の / ペンシルバニア紀[系]の
Pentateuch	《the~》モーセの五書(旧約聖書の初めの5巻)
