prefabricated house	組み立て式住宅,プレハブ家屋
prep	〈U〉《英話》宿題;予習・準備 / 〈C〉《米話》=preparatory school / ・(形容詞)大学入学準備の・〈動詞〉(に)備えて準備する・(大学進学のための)私立高校に通う・予習する
prep school	=preparatory school
prep.	preposition
prepack	=prepackage
prepackage	〈食品など〉を販売前に包装する
prepaid	prepayの過去・過去分詞 / (運賃・郵税など)前払いの,支払い済みの
preparation	〈U〉《a ~》(…の)『用意』《+『of+名』》 / 〈C〉《複数形で》(…のための)準備《+『for+名』》 / 〈U〉準備されている状態 / 〈U〉《英》宿題;予習 / 〈C〉(調理した)食品,(調合した)薬剤
preparatory	『準備の』
preparatory school	(また《話》prep)《話》(名門大学進学を目的としてその準備をする,おもに全寮制の)私立高校 / 《英》(public schoolへの入学準備を目的とする)私立小学校
prepare	〈物事〉の『準備をする,用意をする』 / 〈人〉に『用意させる,心構えをさせる』 / 『準備する,用意する』,心構えをする
prepared	用意のできた,準備された / 《補語にのみ用いて》《be prepared to do》喜んで…する
prepay	…を前払いする,前納する
preponderance	(数量・勢力などにおいて)まさること;(…の)優勢,優位《+『of+名』》
preponderant	(数量・勢力などにおいて)優勢な,圧倒的な;(…に)まさっている《+『over+名』》
preponderate	(数量・勢力・重要性などにおいて)(…より)優位を占める《+『over』+『名』》
preposition	『前置詞』(《略》『perp.』)
prepositional	前置詞の,前置詞を含む
prepositional phrase	前置詞句(go to church, in front ofなど)
prepossess	《通例受動態で》〈感情・観念などが〉〈人〉に先入観を抱かせる / 〈人〉に第一印象で好感を与える
prepossessing	(人・性格などが)好感を与える,好ましい
prepossession	(…に対する良い・悪い)先入観《+『for』(『against』)+『名』》
preposterous	不合理な(absurd) / (態度・外見が)非常識な,ばかげた(ridiculous)
prepuce	(陰茎の)包皮
prerecord	〈番組の〉の録画(録音)をとる
prerequisite	必須の,あらかじめ必要な,条件として必要な;(…に)必須の《+『for』(『to』)+『名』》 / (…の)前提条件,前もって必要なもの《+『for』(『to』,『of』)+『名』(do『ing』)》
prerogative	(特定の人・階級の)特権,特典
pres.	present
pres.part.	present participle
presage	(…の)前兆,虫の知らせ,予感《+『of』+『名』》 / …の前兆となる;…を予言する
presbyopia	[老人性]遠視,老眼
presbyter	〈C〉(キリスト教の)長老(=elder) / 長老職の聖職者,司祭
presbytery	(教会堂の聖歌隊席裏の)内陣・(長老教会の)中会;中会管轄区域・(カトリック教の)司祭館・(キリスト教)長老会(管轄区)・(集合的) 中会管轄下の全教会; (教会の)司祭席
preschool	《名詞の前にのみ用いて》小学校入学前の,学齢未満の・幼稚園より手前の児童の通う幼稚園予科のような施設(保育園=day-care centerとは異なる)
prescience	予知,先見の明
prescient	予測できる,推測可能な
prescribe	〈守るべき規則・方針など〉を『規定する』,『勧める』,指示する / 《『prescribe』+『名』〈人〉+『名』〈薬〉=『prescribe』+『名』+『for』+『名』》〈人〉に〈薬〉を処方する / 規定する,資示する / (病人・病気に対して)処方を書く
prescribed	定められた / 処方された
prescript	規定,指令
prescription	〈U〉指示(規定)すること / 〈C〉規定,指示 / 〈C〉(薬などの)処方;処方せん;処方薬 / 〈U〉時効;長期間の使用による権利,慣行
prescription charge	処方薬の代金
