prayer meeting	(プロテスタントの)祈祷会
prediction	〈U〉予報(予言)すること / 〈C〉予報(予言)される事;(…という)予報,予言《+『that節』》
predigest	(病人食・幼児食用に)〈食物〉を消化しやすくする / 〈本〉を平易に書き直す
predilection	(…に対する)ひいき,偏愛《+『for』+『名』》
predispose	〈人〉に受けやすくする
predisposition	(特定の病気など悪い事に)かかりやすい素質《+『to』+『名』》;(…する)傾向,性癖《+『to』 do》
predominance	(…に対する)優勢,支配《+『over』+『名』》
predominant	優勢な;(…に対して)有力な《+『over』+『名』》 / 最も(ひんぱんに)目につく
predominantly	たいていは,主として
predominate	(…に)権力をふるう,影響を与える《+『over』+『名』》 / (他のものよりも)目立つ,優勢である《+『over』+『名』》
preemie	早産児,未熟児
preeminence	優位,卓越,傑出
preeminent	卓越した
preempt	《米》〈公共地など〉に先買権を得るために住みつく / …を他の人たちより早く手に入れる / (ラジオ・テレビで)〈通常番組〉の代わりに放送される
preemption	先買;先買権 / 敵国向け軍需品の買取り権[の行使] / 《米》(公共用地内での)居住権
preemptive	先買[権]の・先制の / (ブリッジで)相手を封じるため必要以上に高くビッドする
preen	〈鳥が〉〈羽〉をくちばしで整える / 〈自分〉の身づくろいをする
preexist	〈人が〉別界に先在する / 〈魂が〉肉体と合体する以前に存在する
preexistence	(霊魂の)先在・前世・生前の魂の存在
pref.	preface / preference / preferred / prefix
prefab	=prefabricated house
prefabricate	〈家〉をプレハブ方式で建てる(組み立て用の規格部品単位で製造すること) / 〈部品など〉を前もって作り上げる
prefabricated	プレハブ方式の
