pinkeye	はやり目,伝染性結膜炎
pirate	『海賊』,海賊船 / 著作(特許)権侵害者,剽窃(ひょうせつ)者 / …に海賊行為を働く;…から略奪する / 〈本・芸術作品・発明〉の著作(特許)権を侵害する / 海賊を働く / 著作(特許)権を侵害する
piratical	海賊の / 著作権を侵害する
pirouette	ピルエット(ダンス・バレエのつま先旋回) / つま先旋回する
piscatorial	漁夫の,漁業の,漁業に従事する
pismire	アリ
piss	おしっこする・…をおしっこでぬらす・「piss誰々off」で「誰々を怒らせる」
pissed	酔っぱらった
pissed off	激怒して・腹を立てている
pistachio	〈C〉ピスタチオの木(地中海地域・西アジア産で,小さな食用の実がなる) / (また『pistachio nut』)〈C〉ピスタチオの実 / (また『pistachio green』)〈U〉黄緑色 / 黄緑色の
pistil	めしべ
pistol	『ピストル』,拳銃(けんじゅう)
pistol-whip	〈頭など〉をピストルでぶんなぐる
piston	(エンジン・ポンプなどの)ピストン / ピストン(トランペットなど金管楽器の音の高さを変えるためのポンプ式弁装置)
piston ring	ピストンリング,ピストン輪
piston rod	ピストン棒
pit	(自然の,または掘った)『地面の穴』,『くぼみ』 / 《しばしば単数形で》《the pit》立て坑,採掘場 / 落とし穴 / 《単数形で》《the pit》《英》(劇場の)平土間(1階正面後部の安い料金の席全体を指す);平土間の観客;《米》(舞台手前の1段低くなった)オーケストラ席 / (身体や物の表面の自然にできた)くぼみ / 《しばしば複数形で》(傷・天然痘などでできた皮膚の)小さなくぼんだ跡,あばた / (動物を入れておく)囲い;闘鶏場(cockpit),闘犬場 / 《the ~》地獄(hell) / ピット / 自動車修理店などで,車体の下で作業するために床に設けたくぼみ / 《the pits》自動車レースで給油・タイヤ交換などの場所 / …に点々と穴をあける;…をあばたにする / (…と)…を取り組ませる,対抗させる《+『名』+『against』+『名』》 / (サクランボ・モモなどの)核,種(stone) / 〈果物〉から種を取り除く
pit pony	坑内馬(昔坑内で石炭の運搬に用いた小型の馬)
pit prop	坑道支柱
pit viper	マムシ亜科の毒蛇
pit-a-pat	パタパタ[と],どきどき[と] / パタパタいう音
pitch	ピッチ(石油・コールタールなどで蒸留後に残る黒いかす) / 松やに,樹脂 / …にピッチを塗る / 《方向を表す副詞[句]を伴って》…を『投げる』,ほうる,ほうり出す / (一時的に)〈キャンプなど〉を『設営する』,〈テント〉を張る(set up) / …を傾ける,傾斜させる(incline) / 〈楽器・声・曲など〉の音程(調子)をきめる / 《俗》…をペラペラしゃべる / 《方向を表す副詞[句]を伴って》(…に)『落ちる,倒れる』 / 下に向かって傾斜する / (野球で)〈投手が〉投球する / 〈船・飛行機が〉縦揺れをする / 〈U〉〈C〉(…の)『度合い,程度』(degree)《+『of』+『名』》 / 〈U〉〈C〉音(声)の高さ,調子 / 〈C〉投げること,投球;投げた距離 / 〈C〉《単数形で》《the ~》(船・飛行機の)縦揺れ / 〈U〉〈C〉(屋根などの)『こう配』,傾斜[度];傾斜面《+『of』+『名』》 / 〈C〉《おもに英》(露天商・新聞売り子などの)きまって店を出す場所 / 〈C〉ピッチ(クリケットで両ウィケット(wicket)の間の部分);ホッケーなどのスポーツを行うように指定された場所 / 〈C〉《俗》(売り込み・宣伝の)執拗(しつよう)な弁舌
pitch pipe	調子笛(調律に用いる)
pitch-and-toss	投げ銭遊び(硬貨を標的にいちばん近く投げた者が,全部の金を空中に投げ,表が出た分を取る)
pitch-black	まっ黒な
pitch-dark	まっ暗な
pitchblende	れきせいウラン鉱,ピッチブレンド(ウラニウムとラジウムの主要原鉱)
pitched battle	会戦;激戦
pitcher	(通例片手のついた)『水差し』;(ミルクなどの)水差し1杯の量 / 『投手』,ピッチャー
pitcher plant	ヘイシソウ属の植物(葉が水差しのような形で昆虫を捕らえる)
pitcherful	水差し1杯の量
pitchfork	干し草用二またのくま手
pitchman	行商人 / 《俗》露店商人
piteous	哀れな,悲しそうな
pitfall	(動物を捕らえる)落とし穴 / 《比喩(ひゆ)的に》隠された危険(困難)
pith	(植物の茎の中の)髄;(果実などの)やわらかい部分 / 《the ~》(…の)重要な部分,要点《+『of』+『名』》
pith helmet	日よけ用の軽いヘルメット
pithead	坑道入口
pithily	簡潔に
pithy	髄の;髄のある / 簡潔で要領を得た
pitiable	哀れな,悲しむべき
pitiably	哀れに
pitiful	哀れな,かわいそうな / 卑しむべき,あさましい / あわれみ深い,同情的な
pitiless	無慈悲な,薄情な
pitman	坑夫,炭坑夫
piton	ピトン(岩登りに用いるロープを通す環のついた金属クギ)
pitot tube	ピトー管(流体の速度を測る器具)
pittance	わずかの手当(収入)
pitted	あばたのある
