pitter-patter	(足音などの)パタパタ,(雨の)パラパラ / パタパタと,パラパラと
placekick	(アメリカンフットボールで)プレースキック(ボールを地に置いてけること) / (アメリカンフットボールで)〈地に置いてボール〉をける / プレースキックをする
placemat	プレースマット(食卓で各人用食器類の下に敷く小型のマット)
placement	置くこと,配置 / 職業紹介 / (アメリカンフットボールで)プレースキックのためボールを地に置くこと
placenta	胎盤
placid	静かな,穏やかな,落ち着いた(calm, peaceful)
placidity	平静,平穏
placket	(スカート・ドレス・ブラウスなどの)わきあき
plagiarism	〈U〉盗用,剽窃(ひょうせつ) / 〈C〉盗用した物,剽窃物
plagiarist	盗用する人,剽窃(ひょうせつ)者
plagiarize,plagiarise	〈他人の文章・思想など〉を盗用する,剽窃(ひょうせつ)する / 盗用する,剽窃する
plague	(死亡率の高い)『疾病』,流行病,悪疫;《the ~》(特に)ペスト / (広い地域に及ぶ)(…の)災い,災難,(いやなものが)はびこること《+『of』+『名』》 / 《話》やっかいな人(もの),悩みの種 / (…で)…を『悩ます』《+『名』+『with』+『名』(do『ing』)》
plaice	カレイ・ヒラメの類
plaid	〈U〉格子じま;格子じまの織物 / 〈C〉(スコットランド高地人の用いる)格子じまの肩掛け / 格子じまの
plain	『はっきり見える』(『聞こえる』) / 『はっきり理解できる』,明白な / 全くの(sheer) / 混ぜ物のない,生(き)のままの;飾りのない;無地の / ありのままの / 『質素な』,飾り(模様)のない / (食べ物が)淡白な / 平凡な,並みの,普通の;素朴な / 『平原』,平野;《the Great Plains》(北米の)大平原地帯 / (編みもので)平編みの,基本編みで作った / 平編み,基本編み
plain chocolate	ミルクを含まず極少量の砂糖入りのチョコレート
plain dealing	(商取引きなどでの)公明正大さ
plain flour	ふくらし粉のはいらない小麦粉
plain sailing	(一般に)順調な進行 / =plane sailing
plainchant	=plainsong2
plainclothes	(警官が勤務中に)私服を着ている
plainly	『はっきりと』,明白に / 『率直に』,ありのままに / 『簡素に』,質素に
plainness	明白さ / 率直さ / 地味 / 平凡
plainsman	平原(草原)の男の住民
plainsong	=Gregorian chant / (またplainchant)(中世の)無伴奏教会聖歌
plainspoken	遠慮なく(率直に)言った
plaint	〈C〉〈U〉不平,苦情 / 〈U〉《古》悲しみ,嘆き
plaintiff	(訴訟の)原告
plaintive	哀れな,悲しそうな
plait	(また『plat,』《おもに米》『braid』)(髪・麦わらなどの)編んだもの / =pleat / (また『plat,』《おもに米》『braid』)〈髪〉を編む;〈敷き物など〉を編んで作る / =pleat
plan	『計画』,『案』,プラン,設計 / 『設計図』,『図面』;(小区域の)地図,市街図 / …を『計画する』,の案を立てる / …の設計図をかく,を設計する / 計画を立てる
planar	(機何学で)平面の,平面上の
planchette	プランシェット(2個の脚輪と1本の鉛筆をつけた小さな板で死者で霊言を伝える占い板)
plane	『平面』,水平面 / 『水準』,程度 / 《話》『飛行機』 / (面が)平らな,平たんな / 平面の,平面図形の;平面上にある / 〈飛行機〉滑走する / かんな / …にかんなをかける;…を平らにする / かんなをかける / =plane tree
plane geometry	平面幾何学
plane sailing	平面航法(地域の湾曲性と無関係に船が平面上を航行しているものとして航路をとる)
plane tree	プラタナス,スズカケの木
planeload	(乗客を含めた)飛行機の積荷
planer	かんな工 / 平けずり盤
planet	『惑星』,遊星
planetarium	プラネタリウム(ドームの内面に星座を映写する装置) / プラネタリウム(天文館)
planetary	惑星の,遊星の / 惑星(遊星)のような
planetesimal	微惑星体(太陽系生成時に互いとの衝突・合体によって原始惑星に成長する小天体)
planetoid	小惑星・= asteroid
planetology	惑星学
plangency	《文》(音が)鳴り響くこと
plangent	(ベルなどの音が)訴えるように(もの悲しく)鳴り響く
plank	『厚板』 / 政党綱領項目(箇条) / (船から桟橋にかける)歩み板,タラップ / 〈床など〉を厚板で張る / 《米》〈肉・魚など〉を板にのせてあぶり焼きにして食卓に出す
planking	《集合的に》(床などの)張り板 / 〈U〉板を張ること
plankton	《集合的に》プランクトン,浮遊生物
planned	計画された
planned parenthood	計画出産,産児制限による家族計画
planner	計画者,立案者
plant	(動物に対して)『植物』,草木・(樹木に対して)『草』,草本(そうほん)( 木部があまり発達せず地上部が一年で枯れる植物)・苗,苗木・生産設備,工場,プラント設備,装置・《俗》(人をおとしいれる)わな,おとり / 〈苗など〉を『植える』,〈種〉をまく・(植物を) に植える《+『名』+『with』+『名』》 / (…に)〈思想など〉を植えつける《+『名』+『in』+『名』》・《場所の副詞[句]を伴って》(ある場所)…をしっかりと置く(すえる,立てる) / ・〈工場・生産設備など〉を建設する・《俗》〈スパイ〉を送りこむ,〈わな〉を仕掛ける・(嫌疑がかかるように)こっそり置く
plant louse	アブラムシ
plantain	バナナの一種(料理用) / オオバコ(山野・道端に多い雑草の一種)
plantar	足の裏の,足底の
plantation	(大規模な)『農場』,栽培場 / 植林地
planter	植える人,耕作者;種まき器 / (米国南部地方の)農場主 / 《米》植物栽培器,プランター
plaque	(金属・陶器などの)飾り額,飾り板
plash	〈C〉水が跳ねる音
plasma	(また『blood plasma』)血漿,リンパ漿 / 原形質
plaster	〈U〉『しっくい』,プラスター〈C〉こう薬 / 〈壁・天井など〉にしっくいを塗る / (…を)…にべたべた塗る(はる)《+『名』+『with』(『on』)+『名』》;(…に)…をべたべた塗る(はる)《+『名』+『on』+『名』》 / 〈体など〉にこう薬をはる / 《話》…を完敗させる
plaster cast	石膏模型像 / (骨折などで,脚などの固定に用いる)ギプス
plaster of Paris	焼石膏
plasterboard	プラスターボード(石膏(せっこう)を芯(しん)にした板紙;壁・天井用)
plastered	へべれけに酔った
plasterer	左官 / 石膏(せっこう)細工人
plastering	しっくい塗り / 《話》こっぴどい敗北
plastic	〈U〉『プラスチック』;〈C〉プラスチック製品 / 自由な形にできる,可塑(かそ)性の / 造形の,塑像の / プラスチック製の / 《話》人工的な
plastic credit	(銀行の)クレジットカードによる信用貸し
plastic explosive	プラスチック爆弾
plastic surgery	成形外科
plasticity	可塑性;柔軟性;適応性
