passive resistance	(権力などに対して暴力に頼らない)消極的抵抗
pat	(愛情・賞賛などを表して手のひらで)…を『軽くたたく』,ポンとたたく / (へらなどで)(…の形に)…を軽くたたいて整える《+『名』+『into』+『名』》 / 『軽くたたくこと』 / その音 / (バターなどの)小さいかたまり《+『of』+『名』》 / きっちりした,ぴったりの / きっちりに,ぴったりと / patent / patented
pat-ball	ボールたたき(へたなテニス・クリケットを言う)
pat.pend.	patent pending特許出願中
patch	(補修・補強のための)『つぎ当て』;当て布;当て板,当て金;(アップリケで縫いつけた)布切れ / (傷口などを覆う)『傷当て』 / (色などが周囲と区別できる)(…の)まだら,班点;断片,破片《+『of』+『名』》 / 小さな地面(畑) / (補修・補強のために)…に『つぎ当てる』;(装飾のために)…に当て布をする / …をつぎ合わせて作る
patch pocket	パッチポケット(衣服の外側に縫いつけたポケット)
patchwork	〈U〉〈C〉つぎはぎ細工 / 〈U〉《しばしば》寄せ集め,ごたまぜ
patchy	つぎはぎだらけの / 寄せ集めの;不調和な
pate	頭,脳天;頭脳
patella	=kneecap
paten	パテナ(聖体祭儀のときパンをのせる金属製の皿)
patent	『特許』,特許権,パテント / 『専売特許品』,特許となっている製法 / 専売特許証 / (一般に特権などを授ける)公式証書 / 《名詞の前にのみ用いて》専売特許の / 《名詞の前にのみ用いて》《英話》賢い,独特な,まねのできない / 明白な / …の特許[権]を取る / …に特許[権]を与える
patent leather	パテント皮,エナメル皮(靴・ハンドバッグなどに使う)
patent medicine	(製法の特許を得た)医薬品
patent office	特許局
patentee	専売特許権所有者
patently	明白に,明らかに
pater	おやじ,父
paterfamilias	家長,(大家族の)父
paternal	父の;父らしい;父親から受けた / 父方の
paternalism	父たること;(政治・雇用関係における)温情主義,家族主義
paternalistic	温情主義の,家族主義的な
paternity	父であること(fatherhood);父系
paternoster	主の祈り
path	(自然にできた)『小道』,細道;庭内の道 / (人・物の)『通り道』,通路,進路,軌道《+『of』+『名』》 / (行動の方針としての)(の)道《+『of』+『名』》への道程《+『to』+『名』》
path.	pathological / pathology, pathologic
pathetic fallacy	感情的虚偽,感傷的誤謬(特に文学で,無生物に感情を付与した表現など)
pathetic, pathetical	『哀れな』,悲しい,哀切な;『胸を打つ』 / 《軽べつして》ひどくまずい・無価値な
pathfinder	(未開地の)道路発見者,先導者 / (物事の)草分け,開拓者 / (他の飛行機に爆弾投下地を明示する)照明弾投下飛行機;その操縦者
pathless	道のない,だれも足を踏み入れたことのない
pathogen	病原菌,病原体
pathogenic	発病させる,病原性の
pathogenicity	病原性(微生物が病気を起こす能力)
pathological	病理学の;病気に関する;病理学的な
pathologist	病理学者
pathology	〈U〉病理学 / 〈C〉〈U〉病理,病状
pathos	(人生・文学などで)哀れを催させるもの,ペーソス,悲哀,哀切,哀愁
pathway	道,小道(path)
patience	(苦しみに耐える)『忍耐』,忍耐力,しんぼう / 《英》=solitaire
patient	(人が)『忍耐強い』,しんぼう強い,がまん強い / (行動が)根気のよい,忍耐を示す / 〈C〉『患者』,医者にかかっている人
patiently	忍耐強く,根気よく
patina	(青銅器などの)古さび,緑青(ろくしょう) / (時代物の家具などの)黒光り / (特に人の)貫ろく,威厳
patio	(スペイン風住宅の)中庭 / (戸外の食事や談笑のための)テラス
patois	お国なまり,方言(dialect)
patrial	(父母のどちらか,あるいは祖父母のどちらかが英国生まれのため)英国居住権をもつ人
patriarch	(男の)家長,族長 / (初期キリスト教会の)司教;(カトリック教会の)ローマ教皇;(教皇の次の)総大司教;(ギリシア教会の)主教 / 長老;古老
patriarchal	家長の,族長の;家長(族長)の支配する / 長老の,古老の;尊敬すべき / 主教の,司教の
patriarchate	patriarchの地位(職権・在位期間・支配区域)
patriarchy	家父長制度(社会)
patrician	(古代ローマの)貴族 / (一般に)貴族(aristocrat) / (古代ローマの)貴族の / 貴族的な;高貴な
patricidal	父殺しの
patricide	父殺しの行為;〈C〉父殺しをした人
patrimonial	父親譲りの,世襲の
patrimony	世襲財産,家督 / (一般に)財産,遺産(heritage) / (教会・僧院などの)基本財産
patriot	『愛国者』, 志士; (P-) パトリオット (米軍の地[艦]対空ミサイル装置)
patriotic	『愛国の』,愛国心の強い
patriotically	愛国的に
patriotism	愛国心
patrol	〈区域・場所など〉を巡回する,巡視する / 巡回する,巡視する,パトロールする / 〈C〉巡回者,巡視人;巡察隊,パトロール隊 / 偵察隊,哨戒(しょうかい)機隊,巡視艦隊 / 〈U〉巡回,巡視,パトロール / 〈C〉(ボーイスカウト・ガールスカウトの)班(通例8人から成る)
patrol wagon	〈C〉(警察の)パトロール用の車 / 護送車
patrolman	巡回者,巡視者 / 《米》巡回警官,パトロール巡査
patron	(個人・主義・事業などの)『後援者』,保護者,パトロール《+『of』,『名』》 / (商店・レストランなどの)『お得意』,顧客《+『of』+『名』》
patron saint	(個人・グループ・職業・土地・国家などの)守護聖人
patronage	(パトロンとしての)後援,保護,奨励 / 《しばしばa~》(店・ホテルなどの)ひいき,愛顧 / 恩着せがましい態度 / (官職の)任命権;(政府との契約などの)授与権《+『of』+『名』》 / (任命権内にある)官職;授与権事項
patroness	patronの女性形
patronize,patronise	〈芸術家・施設など〉を後援する,保護する,奨励する / 〈商店・ホテルなど〉をひいきにいるの得意客となる / 〈人〉に恩人ぶる,恩を着せる
patronizing,patronising	恩人ぶる,恩着せがましい;横柄な
