keel	(船などの)竜骨,キール
key	(…の)『かぎ』《+『to』+『名』》 / 《the ~》(達成・理解・解決などの)『かぎ』,手がかり,秘訣(ひけつ)《+『to』+『名』(do『ing』》 / (練習問題などの)解答の手引き(ヒント) / (辞書・地図などの)略語(発音)解,記号解 / 《the ~》(…への)重要地点,要所;(…にとって)重要な人(物)《+『to』+『名』》 / (時計のぜんまいを巻く)ねじ / (鍵盤(けんばん)楽器の)キー,鍵(けん);(タイプライター・計算機などの)キー / (音楽で長短)調 / (声の)調子 / 基本的な;重要な / (特定の状態・活動などに)〈言葉・行動など〉を合わせる,調節する《+『名』+『to』+『名』》 / (ある音程に)〈曲〉の調子を合わせる《+『名』+『to』+『名』》 / (西インド諸島・フロリダ沖の)岩礁群,砂州)
key club	会員制のナイトクラブ
key money	手付け金(借家人がかぎを受け取る時に家主に払う契約外の金)
key ring	(いくつかのかぎを通しておく)かぎ輪
key signature	調号(♯(sharp),♭(flat)など)
keyboard	(ピアノ・タイプライターなどの)鍵盤(けんばん) / (計算器・コンピューターなどの)キーをたたいて〈情報〉を入れる / (計算器・コンピューターなどの)キーをたたく
keyed	キーのある,有鍵(ゆうけん)の
keyhole	かぎ穴
keyless	(時計が)巻きねじの不要な;竜頭(りゅうず)巻きの
keynote	主音(音階の第1音) / (政策・演説などの)基調,主旨 / (話・文章で)…を強調する
keynote address	(政党大会などでの)基本政策演説
keypunch	キーパンチ(コンピューターに入れるカードに穴をあける機械;《英》cardpunch)
keypuncher	キーパンチャー
keystone	(アーチの頂上の)かなめ石,くさび石 / (…の)かなめ,根本原理《+『of』+『名』》
keyword	キーワード(意味の解釈,暗号文の解明などの際にかぎとなる主要な語)
kg.,kg	kilogram[s]
khaki	カーキ色の / 〈U〉カーキ色 / 〈U〉カーキ色の服地;《複数扱い》カーキ色の軍服
khalif	=caliph
khalifate	=califate
khan	汗(かん)(モンゴル族・ダッタン族の統領,中世の中国の皇帝の尊称;イラン・アフガニスタン・インドなどの大官の尊称) / (トルコなどの)隊商宿
khedive	(1867‐1914年にかけてトルコ政府派遣の)エジプト総督
kibble	〈穀物など〉をあらびきする
kibbutz	(イスラエルの)集団農場・キブツ
kibitzer	(特にカードゲーム)の見物人;おせっかい屋
kibosh	たわごと
kick	…を『ける』,け飛ばす / (フットボールで)〈ゴール〉にキックで球を入れる / (…を)ける《+『at』+『名』》 / (フットボールで)キックする / 〈発射した銃などが〉反動を与える,はね返る / 《話》(…に)文句を言う,はねつける《+『at』(『against』)+『名』(do『ing』)》 / 〈C〉『けること』,け飛ばし / 〈C〉(サッカーなどのボールの)けり,キック;けられたボール;けられたボールの飛んだ距離 / 〈U〉(銃などの)反動,はね返り / 〈U〉〈C〉《話》(アルコール飲料の)刺激性,強さ / 〈C〉〈U〉《俗》快い興奮;スリル / 《複数形で》苦情(不平)の種
kick-start	〈U〉オートバイなどペダルを強く踏んでエンジンを始動させること / (また『kick-starter』)〈C〉その装置
kickback	強い反動 / ぴんはね;リベート
kicker	ける人;(ボールの)けり手,キッカー;ける癖のある馬
kickoff	(フットボールで)キックオフ / 《話》始め,開始
kickshaw	見かけ倒しのもの / 《古》珍味,凝った(変わった)料理
kickstand	キックスタンド(自転車・オートバイなどを倒れないよう支える装置)
kid	〈C〉『子ヤギ』 / 〈U〉子ヤギの皮,キッド / 《おもに米話》《複数形で》子供(child),若者 / 子ヤギの皮製の / 《米俗》若い,年下の / 《話》〈他〉〈人〉をからかう;〈人〉をだます / 人をからかう
kid gloves	《複数形》キッドの手袋;やさしい(ていねいな)扱い
kid-glove	キッド革製の手袋をした / (やり方などが)いんぎんすぎる,なまぬるい / (みかんの皮が)むきやすい
kidder	だます人;からかう人
kiddie,kiddy	子供
kidnap	〈人〉を誘拐する
kidnaper,kidnapper	誘拐犯
kidney	腎臓;(食品としての)羊(豚など)の腎臓 / 《文》気質,性質,たち(nature)
kidney bean	インゲンマメ,ベニバナインゲン
kidney machine	人工腎臓
kidney stone	腎臓結石
kidney-shaped	腎臓の形をした
kidskin	子ヤギの皮(kid)
kidvid	子供向きテレビ番組, 子供向けビデオ
kieselguhr	珪藻(けいそう)土(diatomite)
kike	(極めて侮蔑的で差別的な表現でユダヤ人を指すが使用を避けるべき)
kill	〈人・動物〉を『殺す』,死亡させる / 〈植物〉を枯らす / …をだめにする,失わせる / 《話》…をひどく痛ませる(疲れさせる,不快にさせる) / 〈時間〉をつぶす / 〈記事など〉を没にする,握りつぶす / 人殺しをする / 殺すこと;(特に狩猟の)獲物をしとめること / (猟の)獲物
killer	殺人者;屠殺(とさつ)者;殺し屋
killer whale	サカマタ,シャチ(イルカの一種;鯨を襲って食べることもある)
killing	殺害;屠殺(とさつ) / 《話》(特に商売での)大もうけ / (仕事などが)疲労こんぱいさせる,ひどく骨の折れる
killjoy	興ざめな人(もの)
kiln	(れんが・陶器などを焼く)かま,炉
kilo	キログラム(kilogram) / キロメートル(kilometer)
kilocycle	キロサイクル(1000サイクル;《略》『kc.』)
kilogram,kilogramme	『キログラム』(《略》『kg.,kg』)
kilohertz	キロヘルツ(周波数の単位;《略》『kHz』)
kiloliter, kilolitre	キロリットル(《略》『kl.,kl』)
kilometer,kilometre	『キロメートル』(《略》『km.,km』)
kiloton	キロトン(1000トン) / キロトン(TNT火薬1000トンに相当する爆発力;100万トン相当をmegatonという)
kilowatt	キロワット(1000ワット;《略》『kw.,KW,K.W.』)
kilowatt-hour	キロワット時(1時間1キロワットの電力;《略》『kwh』[『r』]『,K.W.H.,kw-h,kwh,Kwh.』)
kilt	キルト(スコットランドの高地人や軍人のはく男子用スカート)
kilted regiment	(英軍隊の)スコットランド高地人連隊[kiltを制服の一部として着用するところから]
kilter	好調,健全
kin	《古・話》《複数扱い》親族,親類 / 〈U〉(…との)親類関係《+『to』+『名』》 / (…にとって)親類で,血族で;(…の)同類で《+『to』+『名』》
kind	『親切な』,『優しい』,思いやりのある / (…の)『種類』,部類(sort)《+『of』+『名』》
