mandarin duck	オシドリ(アジア原産のカモの一種)
maniple	腕帛(ばく)(ミサのときに司祭などが左腕にかける飾りバンド)
manipulable	操作できる,あやつることができる
manipulate	〈道具類〉を巧みに扱う(動かす),〈言葉〉をうまく使う / 〈人・世論など〉を巧みに操る,〈問題など〉をうまく処理する(maneuver) / (自分の利益のために)…をごまかす,小細工する
manipulation	(…の)巧妙な扱い,操作《+『of』+『名』》 / (自分の利益のための)ごまかし,小細工
manipulative	操作上の;ごまかしの
manipulator	(器具・機械などを)巧みに取り扱う人,操縦者 / ごまかし屋;小細工する人
manitou	マニトウ(アメリカインディアンの崇拝する超自然力を持つ霊・神)
mankind	《集合的に》『人類』(human race),人間(human beings) / 《まれ》《集合的に》『男性』,男子(men)
manlike	人間らしい,人間のような / 男らしい(manly);(女が)男まさりの
manliness	男らしさ,男性的であること
manly	『男らしい』,勇ましい;男性的な;男まさりの
manmade	人造の,人工の
manna	マナ(聖書で,昔イスラエル人が放浪中に,天から与えられたという食物) / 思いがけずにはいるありがたいもの
manned	(特に宇宙船が)有人の,人間が乗っている
mannequin	《ややまれ》マネキン,ファッションモデル / マネキン人形,モデル人形
manner	《単数形で》〈文〉『方法』,仕方 / 《単数形で》(他人に対する)『態度』,様子,挙動 / 《複数形で》『行儀』,『作法』 / 《複数形で》(国民・時代などの)『風習』,慣習 / 《単数形で》(文学・美術上の)『流儀』,様式,…ふう,手法 / 《文》《単数形で》(…の)種類《+『of』+『名』》
mannered	気どった,わざとらしい,いやみな(affected)
mannerism	〈C〉〈U〉マンネリズム(文学・芸術の表現手段が型にはまって新鮮味を欠いていること) / 〈C〉(言語,動作の)癖,特徴
mannerliness	礼儀正しいこと,ていねい
mannerly	礼儀正しい,ていねいな
mannish	(女が)男のような,男をまねた
manoeuvre	=maneuver
manometer	流体圧力測定器
manometric	流体圧力測定器の(で測った)
manor	(封建時代の領主の)領地;荘園 / (領主の)邸宅,(所有地・大農園などの)母屋(おもや)
manor house	荘園領主の邸宅,領主館(やかた)
manorial	荘園の,領地の
manorialism	(中世の)荘園制度
manpower	(肉体労働による)人力,人手 / 動員数;人的資源 / (効率単位としての)人力(1/10馬力(horse-power)に相当する)
mansard	(またmansard roof)マンサード屋根,二重こう配屋根 / マンサード屋根下,屋根裏部屋
manse	(特にスコットランド長老教会の)牧師館
manservant	下男,しもべ
mansion	(豪壮な)『大邸宅』 / (領主・地主の)邸宅 / 《通例『M-』》《複数形で》《英》マンション(貸しアパートから成る大きなビル)
manslaughter	殺人 / 故殺[罪],過失致死[罪]
manslayer	人殺し
mansuetude	温厚,温和
manta	マンタ(スペイン・ラテンアメリカの女性が身にまとう外衣) / (また『devilfish, manta ray』)〈C〉イトマキエイ
mantel	=mantelpiece
mantelet	短い外とう
mantelpiece	マントルピース,炉だな(炉の上部・前面・側面を含めていう;fireplaceは「だんろ」自体をいう)(また《英》chimney piece)
mantelshelf	炉だな
mantilla	マンテラ(スペイン・メキシコなどの婦人が頭・肩・背を覆うレースまたは絹のスカーフ)
mantis	=praying mantis
mantissa	(対数の)仮数
mantle	《古》(ゆったりしたそでのない)外とう,マント / 覆うもの,包み隠すもの / (ガス灯の)マントル / マントル,外とう部(地球内部の地殻と核との間の部分) / =mantelpiece / …をマントで覆う;《文》(マントで覆うように)…を覆う,包む,隠す
mantra	呪(じゅ)(ヒンズー教で吟唱される文句)
mantrap	人わな(かつて私有地不法侵入者を捕らえるのに使われた)
manual	手でする,手細工の / 便覧,手引き,案内書 / (オルガンの)けん盤
manual alphabet	(耳の不自由な人のための)指文字のアルファベット
manual training	(木細工などの)手工芸教育
manuf.	manufacture / manufacturer / manufacturing
manufactory	工場,製作所
manufacture	〈U〉(工場における大規模の)『製造』,製作;製造工業;(一般に)作ること,製造 / 〈C〉《しばしば複数形で》『製品』 / (工場で大規模に)(…から)…を製造する,製作する《+『名』+『from』+『名』》 / …を加工する,製品化する / 〈話・口実など〉をでっち上げる
manufacturer	(大規模な)『製造業者』,工場主;製作者
manumission	奴隷(どれい)(農奴)からの解放;解放証書
manumit	(特に古代ローマで)〈人〉を奴隷(農奴)から解放する
manure	肥料,こやし / 〈土地〉に肥料をやる
manuscript	〈C〉(手書きまたはタイプされた印刷用の)『原稿』;〈U〉原稿の状態(《略》『MS.,MS,ms.,ms』) / 〈C〉(特に印刷術発明以前で,手書きの)『写本』
many	『多くの』,『たくさんの』,多数の / 《many a(an)…の形で》《文》《単数名詞を従えて》多くの,多数の / 《複数扱い》 / (…の)『多数』《+『of』+『名』(複数形)》;多数の人(もの) / 《the~》『大多数』,大衆 / 心の狭い人,卑しい人
